Symbol,Worst_Capacity,Highest_Cost,Appearances
GIPCL,97.93,46.38,5
GANDHAR,97.97,44.55,5
SKMEGGPROD,98.34,52.22,5
CONFIPET,98.66,51.21,5
TIPSMUSIC,98.93,40.0,5
DEEPINDS,98.98,51.84,5
ANTELOPUS,99.06,53.26,5
BAJEL,99.31,52.6,5
AETHER,99.32,31.5,5
PTC,99.36,35.51,5
JINDRILL,99.43,52.56,5
BAJAJCON,99.49,34.71,5
CASTROLIND,99.56,31.56,4
GPIL,99.61,44.56,4
ACMESOLAR,99.62,38.8,4
PETRONET,99.65,30.0,4
CRAFTSMAN,99.66,33.81,3
REFEX,99.67,55.59,4
MGL,99.67,32.93,4
CESC,99.67,32.71,4
INOXGREEN,99.97,41.8,1
RRKABEL,99.97,33.76,1
ADANIPORTS,100.0,29.46,1
BPCL,100.0,26.8,1
POWERINDIA,100.0,32.01,1
POWERGRID,100.0,23.84,1
POLYCAB,100.0,28.14,1
ONGC,100.0,28.33,1
NTPC,100.0,23.99,1
