Sector,Average_Capacity,Worst_Capacity,Average_Cost_bps
Utilities,99.888,97.93,35.64011111111111
Energy,99.85473684210527,97.97,38.695684210526316
Consumer Defensive,99.8344,98.34,33.8368
Communication Services,99.812,98.93,35.501
Basic Materials,99.953,99.32,33.251428571428576
Consumer Cyclical,99.9648888888889,99.66,30.944888888888887
Industrials,99.9644,99.74,32.4534
Real Estate,99.94,99.82,30.024
Financial Services,99.9804,99.85,30.0348
Healthcare,99.97133333333333,99.86,26.021333333333338
Technology,99.97999999999999,99.9,36.501
