Symbol,Action,Shares,Execution_Value,Implementation_Shortfall,Shortfall_Bps
ANANDRATHI,BUY,2143,4372148.495361328,0.0,0.0
SYRMA,BUY,2743,3877504.7330322266,0.0,0.0
WELCORP,BUY,2326,4043285.9135742188,0.0,0.0
NAVINFLUOR,BUY,444,3364632.0,0.0,0.0
CUPID,BUY,19631,4682189.702163696,0.0,0.0
KEI,BUY,557,2997105.4912109375,0.0,0.0
FEDERALBNK,BUY,9288,3337178.2866210938,0.0,0.0
PHOENIXLTD,BUY,1657,3230155.8404541016,0.0,0.0
HINDALCO,BUY,2823,2842761.0,0.0,0.0
JSWSTEEL,BUY,2209,2841215.692138672,0.0,0.0
LAURUSLABS,BUY,2052,3759058.8500976562,0.0,0.0
TATASTEEL,BUY,14301,2719192.1312713623,0.0,0.0
ATHERENERG,BUY,2692,3911476.0,0.0,0.0
INDUSTOWER,BUY,6513,2535185.25,0.0,0.0
BHEL,BUY,7190,2935317.5,0.0,0.0
BHARATFORG,BUY,1386,3029796.0,0.0,0.0
BAJAJ-AUTO,BUY,266,3080014.0,0.0,0.0
ADANIPORTS,BUY,1442,2439864.0,0.0,0.0
POLYCAB,BUY,273,2494810.5,0.0,0.0
MAHABANK,BUY,21044,1649639.1471557617,0.0,0.0
NYKAA,SELL,-1165,-390682.7571105957,-0.0,0.0
AETHER,SELL,-1171,-1853107.5,-0.0,0.0
SHYAMMETL,SELL,-1614,-1646764.1802978516,-0.0,0.0
GPIL,SELL,-5798,-1422249.4176940918,-0.0,0.0
CRAFTSMAN,SELL,-184,-1876156.0,-0.0,0.0
KIRLOSENG,SELL,-883,-1994255.5,-0.0,0.0
ACUTAAS,SELL,-553,-1779443.4270019531,-0.0,0.0
BELRISE,SELL,-7783,-1875703.0,-0.0,0.0
JINDALSTEL,SELL,-1567,-1750025.6765136719,-0.0,0.0
RRKABEL,SELL,-842,-2223974.6411132812,-0.0,0.0
SONACOMS,SELL,-3090,-2439555.0,-0.0,0.0
ADANIENSOL,SELL,-1222,-2009334.6596679688,-0.0,0.0
HINDCOPPER,SELL,-3621,-1795291.7557983398,-0.0,0.0
MARICO,SELL,-2304,-1987545.65625,-0.0,0.0
WAAREEENER,SELL,-655,-1757037.5,-0.0,0.0
NATIONALUM,SELL,-5276,-1989052.0,-0.0,0.0
SAIL,SELL,-10854,-1859290.2331237793,-0.0,0.0
GRASIM,SELL,-643,-2010532.4313964844,-0.0,0.0
APARINDS,SELL,-137,-2089935.0,-0.0,0.0
BSE,SELL,-540,-1939842.0263671875,-0.0,0.0
TORNTPHARM,SELL,-488,-2447808.0,-0.0,0.0
TITAN,SELL,-543,-2652066.3530273438,-0.0,0.0
CGPOWER,SELL,-2466,-2165024.730102539,-0.0,0.0
NESTLEIND,SELL,-1622,-2377852.0,-0.0,0.0
GVT&D,SELL,-463,-2034422.0,-0.0,0.0
MOTHERSON,SELL,-15795,-2379832.621078491,-0.0,0.0
APOLLOHOSP,SELL,-270,-2391795.0,-0.0,0.0
ADANIPOWER,SELL,-10547,-2217506.75,-0.0,0.0
SBIN,SELL,-2294,-2368555.0,-0.0,0.0
POWERINDIA,SELL,-69,-2228010.0,-0.0,0.0
