Symbol,Action,Shares,ADV_Pct,Impact_Level
ANANDRATHI,BUY,2143,0.0025528279983777,LOW
SYRMA,BUY,2743,0.0026515292819486,LOW
WELCORP,BUY,2326,0.0028121506996358,LOW
NAVINFLUOR,BUY,444,0.0031390354072551,LOW
CUPID,BUY,19631,0.0014734914663581,LOW
KEI,BUY,557,0.0022691736546406,LOW
FEDERALBNK,BUY,9288,0.0005116471121639,LOW
PHOENIXLTD,BUY,1657,0.003791100947592,LOW
HINDALCO,BUY,2823,0.0004513503301419,LOW
JSWSTEEL,BUY,2209,0.0013937341987098,LOW
LAURUSLABS,BUY,2052,0.0012395312659423,LOW
TATASTEEL,BUY,14301,0.0004264219996391,LOW
ATHERENERG,BUY,2692,0.0006788491482024,LOW
INDUSTOWER,BUY,6513,0.0010030311644536,LOW
BHEL,BUY,7190,0.0006461625582855,LOW
BHARATFORG,BUY,1386,0.0015357480232416,LOW
BAJAJ-AUTO,BUY,266,0.0007896631933238,LOW
ADANIPORTS,BUY,1442,0.0007713749132837,LOW
POLYCAB,BUY,273,0.0011216240755573,LOW
MAHABANK,BUY,21044,0.0017283658671248,LOW
NYKAA,SELL,-1165,0.0001679556061206,LOW
AETHER,SELL,-1171,0.0033228716722161,LOW
SHYAMMETL,SELL,-1614,0.0022797340019964,LOW
GPIL,SELL,-5798,0.0011360890192055,LOW
CRAFTSMAN,SELL,-184,0.0032723873029832,LOW
KIRLOSENG,SELL,-883,0.0024631037918422,LOW
ACUTAAS,SELL,-553,0.0013077007194271,LOW
BELRISE,SELL,-7783,0.0015454182208299,LOW
JINDALSTEL,SELL,-1567,0.0017556406607346,LOW
RRKABEL,SELL,-842,0.0014266236388565,LOW
SONACOMS,SELL,-3090,0.0022587455871786,LOW
ADANIENSOL,SELL,-1222,0.0003580221186391,LOW
HINDCOPPER,SELL,-3621,0.0007761306923625,LOW
MARICO,SELL,-2304,0.0014011077462666,LOW
WAAREEENER,SELL,-655,0.0006468390967239,LOW
NATIONALUM,SELL,-5276,0.0003620610014963,LOW
SAIL,SELL,-10854,0.0004560815873801,LOW
GRASIM,SELL,-643,0.0007232646831109,LOW
APARINDS,SELL,-137,0.0011372964148686,LOW
BSE,SELL,-540,0.0002471516733095,LOW
TORNTPHARM,SELL,-488,0.0009461458134934,LOW
TITAN,SELL,-543,0.0006539279406857,LOW
CGPOWER,SELL,-2466,0.0006388851516056,LOW
NESTLEIND,SELL,-1622,0.0008010138899365,LOW
GVT&D,SELL,-463,0.0004775430295527,LOW
MOTHERSON,SELL,-15795,0.0005957927351737,LOW
APOLLOHOSP,SELL,-270,0.0005925542462601,LOW
ADANIPOWER,SELL,-10547,0.0002672286925948,LOW
SBIN,SELL,-2294,0.0002652451347568,LOW
POWERINDIA,SELL,-69,0.0003310501328233,LOW
