Symbol,Action,Shares
ANANDRATHI,BUY,2143
SYRMA,BUY,2743
WELCORP,BUY,2326
NAVINFLUOR,BUY,444
CUPID,BUY,19631
KEI,BUY,557
FEDERALBNK,BUY,9288
PHOENIXLTD,BUY,1657
HINDALCO,BUY,2823
JSWSTEEL,BUY,2209
LAURUSLABS,BUY,2052
TATASTEEL,BUY,14301
ATHERENERG,BUY,2692
INDUSTOWER,BUY,6513
BHEL,BUY,7190
BHARATFORG,BUY,1386
BAJAJ-AUTO,BUY,266
ADANIPORTS,BUY,1442
POLYCAB,BUY,273
MAHABANK,BUY,21044
NYKAA,SELL,-1165
AETHER,SELL,-1171
SHYAMMETL,SELL,-1614
GPIL,SELL,-5798
CRAFTSMAN,SELL,-184
KIRLOSENG,SELL,-883
ACUTAAS,SELL,-553
BELRISE,SELL,-7783
JINDALSTEL,SELL,-1567
RRKABEL,SELL,-842
SONACOMS,SELL,-3090
ADANIENSOL,SELL,-1222
HINDCOPPER,SELL,-3621
MARICO,SELL,-2304
WAAREEENER,SELL,-655
NATIONALUM,SELL,-5276
SAIL,SELL,-10854
GRASIM,SELL,-643
APARINDS,SELL,-137
BSE,SELL,-540
TORNTPHARM,SELL,-488
TITAN,SELL,-543
CGPOWER,SELL,-2466
NESTLEIND,SELL,-1622
GVT&D,SELL,-463
MOTHERSON,SELL,-15795
APOLLOHOSP,SELL,-270
ADANIPOWER,SELL,-10547
SBIN,SELL,-2294
POWERINDIA,SELL,-69
