Symbol,Action,Shares,Arrival_Price,Execution_Price,Slippage,Slippage_Pct,Slippage_Flag
ANANDRATHI,BUY,2143,1772.9000244140625,1772.9000244140625,0.0,0.0,OK
SYRMA,BUY,2743,1299.300048828125,1299.300048828125,0.0,0.0,OK
WELCORP,BUY,2326,1373.800048828125,1373.800048828125,0.0,0.0,OK
NAVINFLUOR,BUY,444,7315.5,7315.5,0.0,0.0,OK
CUPID,BUY,19631,164.88999938964844,164.88999938964844,0.0,0.0,OK
KEI,BUY,557,5386.5,5386.5,0.0,0.0,OK
FEDERALBNK,BUY,9288,320.6000061035156,320.6000061035156,0.0,0.0,OK
PHOENIXLTD,BUY,1657,1868.199951171875,1868.199951171875,0.0,0.0,OK
HINDALCO,BUY,2823,982.4000244140625,982.4000244140625,0.0,0.0,OK
JSWSTEEL,BUY,2209,1274.300048828125,1274.300048828125,0.0,0.0,OK
LAURUSLABS,BUY,2052,1376.4000244140625,1376.4000244140625,0.0,0.0,OK
TATASTEEL,BUY,14301,196.0,196.0,0.0,0.0,OK
ATHERENERG,BUY,2692,998.0499877929688,998.0499877929688,0.0,0.0,OK
INDUSTOWER,BUY,6513,411.75,411.75,0.0,0.0,OK
BHEL,BUY,7190,384.20001220703125,384.20001220703125,0.0,0.0,OK
BHARATFORG,BUY,1386,2012.300048828125,2012.300048828125,0.0,0.0,OK
BAJAJ-AUTO,BUY,266,9939.0,9939.0,0.0,0.0,OK
ADANIPORTS,BUY,1442,1822.0,1822.0,0.0,0.0,OK
POLYCAB,BUY,273,9591.5,9591.5,0.0,0.0,OK
MAHABANK,BUY,21044,88.19000244140625,88.19000244140625,0.0,0.0,OK
NYKAA,SELL,-1165,272.1499938964844,272.1499938964844,0.0,0.0,OK
AETHER,SELL,-1171,1177.699951171875,1177.699951171875,0.0,0.0,OK
SHYAMMETL,SELL,-1614,965.0999755859375,965.0999755859375,0.0,0.0,OK
GPIL,SELL,-5798,276.8500061035156,276.8500061035156,0.0,0.0,OK
CRAFTSMAN,SELL,-184,9326.0,9326.0,0.0,0.0,OK
KIRLOSENG,SELL,-883,1918.5,1918.5,0.0,0.0,OK
ACUTAAS,SELL,-553,2996.5,2996.5,0.0,0.0,OK
BELRISE,SELL,-7783,237.42999267578125,237.42999267578125,0.0,0.0,OK
JINDALSTEL,SELL,-1567,1139.800048828125,1139.800048828125,0.0,0.0,OK
RRKABEL,SELL,-842,2201.10009765625,2201.10009765625,0.0,0.0,OK
SONACOMS,SELL,-3090,598.6500244140625,598.6500244140625,0.0,0.0,OK
ADANIENSOL,SELL,-1222,1491.0999755859375,1491.0999755859375,0.0,0.0,OK
HINDCOPPER,SELL,-3621,511.75,511.75,0.0,0.0,OK
MARICO,SELL,-2304,808.4500122070312,808.4500122070312,0.0,0.0,OK
WAAREEENER,SELL,-655,3064.60009765625,3064.60009765625,0.0,0.0,OK
NATIONALUM,SELL,-5276,366.6499938964844,366.6499938964844,0.0,0.0,OK
SAIL,SELL,-10854,180.99000549316406,180.99000549316406,0.0,0.0,OK
GRASIM,SELL,-643,3140.300048828125,3140.300048828125,0.0,0.0,OK
APARINDS,SELL,-137,16168.0,16168.0,0.0,0.0,OK
BSE,SELL,-540,4162.39990234375,4162.39990234375,0.0,0.0,OK
TORNTPHARM,SELL,-488,4466.7001953125,4466.7001953125,0.0,0.0,OK
TITAN,SELL,-543,4338.0,4338.0,0.0,0.0,OK
CGPOWER,SELL,-2466,940.7000122070312,940.7000122070312,0.0,0.0,OK
NESTLEIND,SELL,-1622,1391.699951171875,1391.699951171875,0.0,0.0,OK
GVT&D,SELL,-463,4872.5,4872.5,0.0,0.0,OK
MOTHERSON,SELL,-15795,147.60000610351562,147.60000610351562,0.0,0.0,OK
APOLLOHOSP,SELL,-270,8390.5,8390.5,0.0,0.0,OK
ADANIPOWER,SELL,-10547,222.60000610351562,222.60000610351562,0.0,0.0,OK
SBIN,SELL,-2294,1015.2999877929688,1015.2999877929688,0.0,0.0,OK
POWERINDIA,SELL,-69,34740.0,34740.0,0.0,0.0,OK
