Security_ID,Symbol,Action,Current_Weight,Optimized_Weight,Weight_Change,Current_Value,Target_Value,Trade_Value,Shares,ADV_20D,ADV_Pct,Liquidity_Flag,Compliance_Status
SECE827CE80,ANANDRATHI,BUY,0.0123609172207041,0.0499999999999998,0.0376390827792957,1236091.72207041,4999999.99999998,3763908.27792957,2143,1474407316.2474976,0.0025528279983777235,OK,APPROVED
SECACB85887,SYRMA,BUY,0.0155099013018624,0.0499999999999999,0.0344900986981375,1550990.13018624,4999999.99999999,3449009.8698137505,2743,1300762504.6022766,0.0026515292819486104,OK,APPROVED
SECCDFD81E7,WELCORP,BUY,0.0175242701555916,0.05,0.0324757298444084,1752427.01555916,5000000.0,3247572.98444084,2326,1154836042.343451,0.002812150699635857,OK,APPROVED
SECE496E96D,NAVINFLUOR,BUY,0.0177534669117742,0.0499999999999998,0.0322465330882256,1775346.69117742,4999999.99999998,3224653.30882256,444,1027275226.45,0.003139035407255109,OK,APPROVED
SECF5E25039,CUPID,BUY,0.0186212549529847,0.0499999999999999,0.0313787450470152,1862125.49529847,4999999.99999999,3137874.50470152,19631,2129550510.7044053,0.0014734914663581211,OK,APPROVED
SEC262E8C48,KEI,BUY,0.0204306940716267,0.0499999999999999,0.0295693059283732,2043069.40716267,4999999.99999999,2956930.5928373197,557,1303086957.135327,0.0022691736546406388,OK,APPROVED
SEC17154FBC,FEDERALBNK,BUY,0.0206536566336229,0.0499999999999998,0.0293463433663769,2065365.66336229,4999999.99999998,2934634.33663769,9288,5735660901.565318,0.0005116471121639704,OK,APPROVED
SECBC710BBF,PHOENIXLTD,BUY,0.0209886656963214,0.0499999999999999,0.0290113343036785,2098866.56963214,4999999.99999999,2901133.43036785,1657,765248267.053009,0.0037911009475920673,OK,APPROVED
SEC1317061B,HINDALCO,BUY,0.0210850195258961,0.05,0.0289149804741039,2108501.95258961,5000000.0,2891498.04741039,2823,6406327533.871887,0.0004513503301419265,OK,APPROVED
SECE38F61AD,JSWSTEEL,BUY,0.0213423248739583,0.0499999999999999,0.0286576751260416,2134232.48739583,4999999.99999999,2865767.5126041602,2209,2056179374.2716308,0.0013937341987098346,OK,APPROVED
SECA722432A,LAURUSLABS,BUY,0.0214305474044527,0.0499999999999999,0.0285694525955472,2143054.74044527,4999999.99999999,2856945.25955472,2052,2304859375.517785,0.0012395312659423785,OK,APPROVED
SEC59D35B99,TATASTEEL,BUY,0.0217621045600958,0.0499999999999999,0.0282378954399041,2176210.45600958,4999999.99999999,2823789.5439904104,14301,6622054083.466818,0.0004264219996391336,OK,APPROVED
SEC98541475,ATHERENERG,BUY,0.0221580263123085,0.0499999999999999,0.0278419736876914,2215802.63123085,4999999.99999999,2784197.36876914,2692,4101349137.936835,0.0006788491482024176,OK,APPROVED
SECE103320D,INDUSTOWER,BUY,0.0225853370204692,0.0499999999999999,0.0274146629795307,2258533.70204692,4999999.99999999,2741466.2979530697,6513,2733181575.117189,0.0010030311644536553,OK,APPROVED
SECD1C4E177,BHEL,BUY,0.0229016950155881,0.05,0.0270983049844119,2290169.50155881,5000000.0,2709830.49844119,7190,4193728750.906015,0.0006461625582855728,OK,APPROVED
SEC7FE71EB3,BHARATFORG,BUY,0.0230926270847158,0.0499999999999999,0.0269073729152841,2309262.70847158,4999999.99999999,2690737.2915284103,1386,1752069513.2322204,0.0015357480232416887,OK,APPROVED
SEC458C7E09,BAJAJ-AUTO,BUY,0.0232284236961244,0.0499999999999999,0.0267715763038755,2322842.36961244,4999999.99999999,2677157.6303875498,266,3390252519.075879,0.00078966319332381,OK,APPROVED
SEC6ACA80F1,ADANIPORTS,BUY,0.0239763587470696,0.0499999999999998,0.0260236412529302,2397635.87470696,4999999.99999998,2602364.12529302,1442,3373669639.0795164,0.0007713749132837612,OK,APPROVED
SEC39245F03,POLYCAB,BUY,0.0240201377534145,0.05,0.0259798622465855,2402013.7753414502,5000000.0,2597986.22465855,273,2316271807.35,0.0011216240755573734,OK,APPROVED
SEC3FF4377F,MAHABANK,BUY,0.0137942996732158,0.0319548920606319,0.0181605923874161,1379429.96732158,3195489.20606319,1816059.23874161,21044,1050737736.3119464,0.0017283658671248601,OK,APPROVED
SEC2FE15581,NYKAA,SELL,0.021201270135853,0.0180451079393682,-0.0031561621964847,2120127.0135853,1804510.79393682,-315616.21964847,-1165,1879164541.978723,0.00016795560612064997,OK,APPROVED
SEC6E162A52,AETHER,SELL,0.0134897409599067,2.6355534972139896e-17,-0.0134897409599066,1348974.09599067,2.6355534972139895e-09,-1348974.0959906601,-1171,405966353.5218506,0.0033228716722161888,OK,APPROVED
SECDCBF746B,SHYAMMETL,SELL,0.0159280904807013,2.0720560696201032e-18,-0.0159280904807012,1592809.0480701302,2.0720560696201031e-10,-1592809.04807012,-1614,698681971.9648132,0.0022797340019964567,OK,APPROVED
SEC3BD55433,GPIL,SELL,0.0160770207770766,2.0479230414982025e-17,-0.0160770207770765,1607702.07770766,2.0479230414982023e-09,-1607702.0777076501,-5798,1415119810.6218064,0.0011360890192055348,OK,APPROVED
SEC681E0717,CRAFTSMAN,SELL,0.0162708392703216,3.9804143592457095e-18,-0.0162708392703215,1627083.92703216,3.9804143592457093e-10,-1627083.92703215,-184,497216183.9,0.003272387302983261,OK,APPROVED
SEC810017B2,KIRLOSENG,SELL,0.0165293663568896,3.4103148170246475e-17,-0.0165293663568895,1652936.63568896,3.4103148170246474e-09,-1652936.63568895,-883,671078758.9071411,0.0024631037918422197,OK,APPROVED
