Symbol,Yahoo_Symbol,PE,PB,ROE,ROCE,Debt_To_Equity,Revenue_Growth,EPS_Growth,Profit_Growth,Operating_Margin,Net_Margin,Market_Cap,Factor_Date
RELIANCE,RELIANCE.NS,22.210861,1.983549,0.09139,0.10475072523999839,36.653,0.125,-0.126,0.1597605099931082,0.099750005,0.0764,17931878531072.0,2026-06-19
HDFCBANK,HDFCBANK.NS,17.386211,2.0468442,0.13818,,,-0.018,0.075,0.08166893276325987,0.40539002,0.26834,11998534303744.0,2026-06-19
BHARTIARTL,BHARTIARTL.NS,42.70264,7.4177356,0.19358999,0.31689607425368577,99.718,0.157,-0.34,-0.20446058987784635,0.32227,0.12652999,11520800980992.0,2026-06-19
ICICIBANK,ICICIBANK.NS,18.043362,2.659245,0.16359,,,0.669,0.084,0.06228786655483527,0.33293998,0.24929,9668946558976.0,2026-06-19
SBIN,SBIN.NS,11.332128,1.6108712,0.15477,,,0.071,-0.031,0.07397300658448809,0.28959998,0.22114,9536613122048.0,2026-06-19
TCS,TCS.NS,15.255658,7.0060735,0.48395002,0.5817978391345157,10.389,0.096,0.122,0.013531604638230388,0.25288,0.18429,7513320718336.0,2026-06-19
BAJFINANCE,BAJFINANCE.NS,31.607143,5.260618,0.17907,,313.407,0.268,0.214,0.14302174203110743,0.60647,0.43383998,5998074920960.0,2026-06-19
LT,LT.NS,35.78425,5.260866,0.16951999,0.17124990520032657,97.64,0.117,-0.345,0.06961976071199852,0.10707,0.05515,5749743288320.0,2026-06-19
HINDUNILVR,HINDUNILVR.NS,48.33407,10.559883,0.21603,0.22668723562450352,3.016,0.043,0.214,0.4123391867781012,0.21136,0.23329,5146779582464.0,2026-06-19
LICI,LICI.NS,9.751321,2.3011966,0.42356,,,0.148,0.555,0.18900574561473402,0.055019997,0.06564,5605212815360.0,2026-06-19
INFY,INFY.NS,13.662064,4.510068,0.31439,0.40512353668801465,9.827,0.066,0.118,0.049081697276757444,0.20928,0.16434999,4206500511744.0,2026-06-19
SUNPHARMA,SUNPHARMA.NS,38.3969,5.266017,0.1472,0.19139521281364036,5.517,0.128,0.256,0.050359409426628504,0.18834,0.19635999,4396301418496.0,2026-06-19
ADANIPOWER,ADANIPOWER.NS,35.19667,6.9090962,0.20908001,0.16190293992269564,82.332,-0.001,0.888,-0.008074183249257851,0.25394,0.23662001,4486584074240.0,2026-06-19
AXISBANK,AXISBANK.NS,15.997161,1.9540021,0.13152,,,-0.112,0.064,-0.059534965287963586,0.39193,0.35406,4206303903744.0,2026-06-19
MARUTI,MARUTI.NS,28.76023,3.9395387,0.14434,0.19089009757937667,0.096,0.282,-0.064,0.012365346684873312,0.08406,0.08008,4221483089920.0,2026-06-19
