Symbol,Sector,Position_Value,ADV_20D,Maximum_Position,Capacity_Multiple,Capacity_NAV,Crowding_Risk
POLYCAB,Industrials,240201.3775341455,2316271807.35,231627180.735,964.3041314451804,9643041314.451803,LOW
ADANIPORTS,Industrials,239763.58747069648,3373669639.0795164,337366963.90795165,1407.0817319130417,14070817319.130417,LOW
POWERINDIA,Industrials,236957.23455681448,7157744736.0,715774473.6,3020.690526451857,30206905264.51857,LOW
SBIN,Financial Services,232725.99684859245,8773996818.526707,877399681.8526707,3770.0974267326565,37700974267.32656,LOW
ADANIPOWER,Utilities,232526.24001241545,8701394964.536728,870139496.4536729,3742.113132725205,37421131327.25205,LOW
BAJAJ-AUTO,Consumer Cyclical,232284.23696124443,3390252519.075879,339025251.90758795,1459.5275871610384,14595275871.610384,LOW
BHARATFORG,Consumer Cyclical,230926.27084715848,1752069513.2322204,175206951.32322204,758.7138123370338,7587138123.370338,LOW
APOLLOHOSP,Healthcare,229921.22933152845,3880171828.7,388017182.87,1687.609204239725,16876092042.39725,LOW
BHEL,Industrials,229016.95015588144,4193728750.906015,419372875.0906015,1831.187057574356,18311870575.74356,LOW
MOTHERSON,Consumer Cyclical,226576.84790621544,3802947477.0305176,380294747.7030518,1678.4360415344079,16784360415.344078,LOW
GVT&D,Industrials,226551.67454010245,4744110174.789648,474411017.4789648,2094.052133766013,20940521337.66013,LOW
INDUSTOWER,Communication Services,225853.37020469244,2733181575.117189,273318157.5117189,1210.15753390799,12101575339.0799,LOW
NESTLEIND,Consumer Defensive,224387.38535261844,2801292064.615503,280129206.4615503,1248.4178021921114,12484178021.921114,LOW
CGPOWER,Industrials,224267.06882935046,3510287698.27728,351028769.82772803,1565.2265473484795,15652265473.484795,LOW
TITAN,Consumer Cyclical,224050.24782387546,3426222277.4719973,342622227.7471998,1529.2204810080507,15292204810.080507,LOW
TORNTPHARM,Healthcare,222795.38995463547,2354768015.4289308,235476801.54289308,1056.9195421451034,10569195421.451035,LOW
ATHERENERG,Consumer Cyclical,221580.26312308543,4101349137.936835,410134913.7936835,1850.9541780165594,18509541780.165592,LOW
TATASTEEL,Basic Materials,217621.04560095846,6622054083.466818,662205408.3466818,3042.9290812292893,30429290812.292892,LOW
BSE,Financial Services,216850.7995311434,8773996818.526707,877399681.8526707,4046.0984407238093,40460984407.23809,LOW
LAURUSLABS,Healthcare,214305.47404452742,2304859375.517785,230485937.55177853,1075.5018675066096,10755018675.066097,LOW
JSWSTEEL,Basic Materials,213423.24873958342,2056179374.2716308,205617937.4271631,963.4280175261306,9634280175.261307,LOW
NYKAA,Consumer Cyclical,212012.7013585304,1879164541.978723,187916454.1978723,886.3452660795571,8863452660.79557,LOW
HINDALCO,Basic Materials,210850.19525896144,6406327533.871887,640632753.3871888,3038.3313261833982,30383313261.83398,LOW
APARINDS,Industrials,210343.34860252743,1849503312.0,184950331.20000002,879.2782487716738,8792782487.716738,LOW
PHOENIXLTD,Real Estate,209886.65696321442,765248267.053009,76524826.70530091,364.6007221827015,3646007221.827015,LOW
FEDERALBNK,Financial Services,206536.5663362294,5735660901.565318,573566090.1565318,2777.0680046205466,27770680046.205467,LOW
KEI,Industrials,204306.94071626742,1303086957.135327,130308695.71353272,637.8084623884597,6378084623.884597,LOW
GRASIM,Basic Materials,199667.5105820084,2760642338.060632,276064233.80606323,1382.6197011289767,13826197011.289766,LOW
SAIL,Basic Materials,199604.25500407338,4376503251.329583,437650325.13295835,2192.590158581675,21925901585.81675,LOW
NATIONALUM,Basic Materials,198467.43819672038,5481602198.980354,548160219.8980354,2761.9655137317814,27619655137.317814,LOW
WAAREEENER,Technology,197982.09346551937,3060762629.659045,306076262.96590453,1545.979525765601,15459795257.65601,LOW
MARICO,Consumer Defensive,188589.0922349914,1345999925.6837585,134599992.56837586,713.7209844600003,7137209844.600003,LOW
CUPID,Consumer Defensive,186212.54952984737,2129550510.7044053,212955051.07044053,1143.612778022282,11436127780.22282,LOW
HINDCOPPER,Basic Materials,184223.10696824238,2373609351.892441,237360935.1892441,1288.4427968645755,12884427968.645756,LOW
ADANIENSOL,Utilities,182435.73325210836,5095655373.06814,509565537.306814,2793.123519297857,27931235192.97857,LOW
SONACOMS,Consumer Cyclical,182001.04568211833,805761599.3373016,80576159.93373017,442.72360981081334,4427236098.108133,LOW
RRKABEL,Industrials,181104.83428838433,1269464695.2124023,126946469.52124023,700.9557200394529,7009557200.394529,LOW
JINDALSTEL,Basic Materials,179788.58162799635,1024062529.702185,102406252.97021851,569.5926406611798,5695926406.611797,LOW
NAVINFLUOR,Basic Materials,177534.66911774236,1027275226.45,102727522.64500001,578.6335883323743,5786335883.323743,LOW
