Symbol,Position_Value,Tradeable_ADV,Days_To_Liquidate,Daily_Exit_Value,Completion_Date_Days
POLYCAB,240201.3775341455,463254361.47,0.0005185086153791144,463254361.47,1.0
ADANIPORTS,239763.58747069648,674733927.8159033,0.0003553453851754649,674733927.8159033,1.0
POWERINDIA,236957.23455681448,1431548947.2,0.00016552506641165477,1431548947.2,1.0
SBIN,232725.99684859245,1754799363.7053413,0.0001326225673784042,1754799363.7053413,1.0
ADANIPOWER,232526.24001241545,1740278992.9073458,0.00013361434629740164,1740278992.9073458,1.0
BAJAJ-AUTO,232284.23696124443,678050503.8151759,0.0003425766010853977,678050503.8151759,1.0
BHARATFORG,230926.27084715848,350413902.6464441,0.0006590100138810855,350413902.6464441,1.0
APOLLOHOSP,229921.22933152845,776034365.74,0.0002962771231300864,776034365.74,1.0
BHEL,229016.95015588144,838745750.181203,0.0002730469276373734,838745750.181203,1.0
MOTHERSON,226576.84790621544,760589495.4061036,0.000297896367586879,760589495.4061036,1.0
GVT&D,226551.67454010245,948822034.9579296,0.0002387715147763697,948822034.9579296,1.0
INDUSTOWER,225853.37020469244,546636315.0234379,0.00041316934860979485,546636315.0234379,1.0
NESTLEIND,224387.38535261844,560258412.9231006,0.0004005069449682984,560258412.9231006,1.0
CGPOWER,224267.06882935046,702057539.6554561,0.0003194425758028501,702057539.6554561,1.0
TITAN,224050.24782387546,685244455.4943995,0.0003269639703428532,685244455.4943995,1.0
TORNTPHARM,222795.38995463547,470953603.08578616,0.00047307290674672333,470953603.08578616,1.0
ATHERENERG,221580.26312308543,820269827.587367,0.00027013094431964206,820269827.587367,1.0
TATASTEEL,217621.04560095846,1324410816.6933637,0.00016431536412869958,1324410816.6933637,1.0
BSE,216850.7995311434,1754799363.7053413,0.00012357583665476875,1754799363.7053413,1.0
LAURUSLABS,214305.47404452742,460971875.10355705,0.0004648992392353304,460971875.10355705,1.0
JSWSTEEL,213423.24873958342,411235874.8543262,0.0005189801323028668,411235874.8543262,1.0
NYKAA,212012.7013585304,375832908.3957446,0.0005641142556236327,375832908.3957446,1.0
HINDALCO,210850.19525896144,1281265506.7743776,0.00016456401436247417,1281265506.7743776,1.0
APARINDS,210343.34860252743,369900662.40000004,0.0005686482074343196,369900662.40000004,1.0
PHOENIXLTD,209886.65696321442,153049653.41060182,0.0013713631640846007,153049653.41060182,1.0
FEDERALBNK,206536.5663362294,1147132180.3130636,0.00018004600505572388,1147132180.3130636,1.0
KEI,204306.94071626742,260617391.42706543,0.0007839344089722552,260617391.42706543,1.0
GRASIM,199667.5105820084,552128467.6121265,0.00036163234155547295,552128467.6121265,1.0
SAIL,199604.25500407338,875300650.2659167,0.00022804079369006925,875300650.2659167,1.0
NATIONALUM,198467.43819672038,1096320439.7960708,0.00018103050074815515,1096320439.7960708,1.0
WAAREEENER,197982.09346551937,612152525.9318091,0.00032341954836199375,612152525.9318091,1.0
MARICO,188589.0922349914,269199985.1367517,0.0007005538731333491,269199985.1367517,1.0
CUPID,186212.54952984737,425910102.14088106,0.0004372109245444773,425910102.14088106,1.0
HINDCOPPER,184223.10696824238,474721870.3784882,0.0003880653461812582,474721870.3784882,1.0
ADANIENSOL,182435.73325210836,1019131074.613628,0.0001790110593196005,1019131074.613628,1.0
SONACOMS,182001.04568211833,161152319.86746034,0.001129372793589351,161152319.86746034,1.0
RRKABEL,181104.83428838433,253892939.04248047,0.0007133118194282769,253892939.04248047,1.0
JINDALSTEL,179788.58162799635,204812505.94043702,0.0008778203303673358,204812505.94043702,1.0
NAVINFLUOR,177534.66911774236,205455045.29000002,0.0008641046943731754,205455045.29000002,1.0
BELRISE,177010.18657958135,229077390.4354785,0.0007727091104149699,229077390.4354785,1.0
WELCORP,175242.70155591634,230967208.46869022,0.0007587341195218721,230967208.46869022,1.0
ACUTAAS,174012.09290296835,266134430.17633793,0.0006538503597135843,266134430.17633793,1.0
KIRLOSENG,165293.66356889636,134215751.78142822,0.00123155189592112,134215751.78142822,1.0
CRAFTSMAN,162708.39270321632,99443236.78,0.0016361936514916436,99443236.78,1.0
GPIL,160770.20777076628,283023962.1243613,0.0005680445096027718,283023962.1243613,1.0
SHYAMMETL,159280.9048070133,139736394.39296266,0.0011398670009982377,139736394.39296266,1.0
SYRMA,155099.0130186243,260152500.92045534,0.0005961849779258806,260152500.92045534,1.0
MAHABANK,137942.99673215827,210147547.2623893,0.0006564102152471151,210147547.2623893,1.0
AETHER,134897.40959906726,81193270.70437013,0.0016614358361081096,81193270.70437013,1.0
ANANDRATHI,123609.17220704124,294881463.2494995,0.00041918257880609944,294881463.2494995,1.0
