Symbol,Last_Close,Market_Cap,ADV_20D,ADV_60D,ADV_120D,Volume_Volatility,Optimized_Weight,Position_Value,Capacity_5pct_ADV,Capacity_10pct_ADV,Capacity_20pct_ADV,Days_To_Liquidate,Hours_To_Liquidate,Capacity_Bucket,Liquidity_Score,Liquidity_Flag
POLYCAB,9138.5,1428950146682.0,3437896518.325,3135767230.15,3552083186.5208335,1.4419713988004528,0.05,5000000.0,171894825.91625,343789651.8325,687579303.665,0.014543776909364575,0.09089860568352859,Excellent,70.0,LOW
BHEL,408.25,1296720372149.172,6070258312.864888,5507315981.501111,5614505481.346157,1.1156400480816737,0.05,5000000.0,303512915.64324445,607025831.2864889,1214051662.5729778,0.008236881763998977,0.051480511024993604,Excellent,88.0,LOW
WELCORP,1738.300048828125,366284755992.0,1807283789.470166,1488153970.0338156,1118540102.9170084,1.7094369423344697,0.05,5000000.0,90364189.4735083,180728378.9470166,361456757.8940332,0.027665826635150808,0.17291141646969255,Excellent,30.0,LOW
HINDALCO,1007.0,2295858389466.432,4516366424.071396,5844384464.362204,5855852610.478115,0.8757475081835121,0.05,5000000.0,225818321.2035698,451636642.4071396,903273284.8142792,0.011070846628721103,0.06919279142950689,Excellent,94.0,LOW
TATASTEEL,190.13999938964844,2461693342554.2534,3931216742.323419,5588109625.892149,5958286754.422369,0.6845925384448831,0.0499999999999999,4999999.99999999,196560837.11617097,393121674.23234195,786243348.4646839,0.01271870855190981,0.07949192844943631,Excellent,92.0,LOW
BAJAJ-AUTO,11579.0,2812545623043.0,5360020180.725,4201622870.2166667,3892737261.4041667,1.0397426046349156,0.0499999999999999,4999999.99999999,268001009.03625003,536002018.07250005,1072004036.1450001,0.009328323087253164,0.058302019295332276,Excellent,98.0,LOW
ATHERENERG,1453.0,401338390830.5786,7095747645.864856,5049417689.621043,4135457576.508575,1.4136064282426322,0.0499999999999999,4999999.99999999,354787382.2932428,709574764.5864856,1419149529.1729712,0.007046473817193609,0.04404046135746006,Excellent,78.0,LOW
KEI,5380.7998046875,507782560342.5,2131131337.8728516,1856420928.574642,2002676886.252474,1.7330618306451155,0.0499999999999999,4999999.99999999,106556566.89364259,213113133.78728518,426226267.57457036,0.023461716840927526,0.14663573025579704,Excellent,40.0,LOW
BHARATFORG,2186.0,921802679687.1144,1631148625.054895,2166909520.0745196,2588637576.54159,1.690684521504814,0.0499999999999999,4999999.99999999,81557431.25274475,163114862.5054895,326229725.010979,0.03065324595931115,0.1915827872456947,Excellent,38.0,LOW
SYRMA,1413.5999755859375,243709111494.88354,2024544762.4293885,1936880165.2711854,1514136582.6991613,2.0906415382776475,0.0499999999999999,4999999.99999999,101227238.12146944,202454476.24293888,404908952.48587775,0.024696910104374033,0.15435568815233772,Excellent,24.0,LOW
INDUSTOWER,389.25,1108015280054.4707,2308603176.159674,2576575652.9672766,2519364221.831726,2.31526250828172,0.0499999999999999,4999999.99999999,115430158.80798371,230860317.61596742,461720635.23193485,0.021658117998076275,0.1353632374879767,Excellent,46.0,LOW
CUPID,238.50999450683594,214594396188.70544,10036660174.235672,5524338900.053411,3685463291.061872,1.9234254707216374,0.0499999999999999,4999999.99999999,501833008.71178365,1003666017.4235673,2007332034.8471346,0.004981736865850156,0.031135855411563475,Excellent,57.99999999999999,LOW
LAURUSLABS,1831.9000244140625,755809166617.0,3653052410.971948,3323264951.8590455,2653272613.225293,1.3348011035201324,0.0499999999999999,4999999.99999999,182652620.54859743,365305241.09719485,730610482.1943897,0.013687183860221885,0.08554489912638678,Excellent,66.0,LOW
PHOENIXLTD,1949.4000244140625,623331592608.9569,1770576375.124225,1289073621.5783265,1052429760.4559968,2.436647020433536,0.0499999999999999,4999999.99999999,88528818.75621125,177057637.5124225,354115275.024845,0.028239391817532784,0.1764961988595799,Excellent,22.0,LOW
JSWSTEEL,1286.199951171875,3165996605790.6978,2106699139.419098,2092654593.7570617,2121349969.6177623,0.8878827459025285,0.0499999999999999,4999999.99999999,105334956.9709549,210669913.9419098,421339827.8838196,0.023733811375546924,0.14833632109716827,Excellent,75.0,LOW
ADANIPORTS,1692.0,4125469104629.799,3550218213.3575196,3888825498.406724,4274628097.6456766,1.1028327808307843,0.0499999999999998,4999999.99999998,177510910.667876,355021821.335752,710043642.671504,0.014083641341221585,0.0880227583826349,Excellent,82.0,LOW
FEDERALBNK,359.29998779296875,778449810214.7582,2505984933.9200883,3595834103.977477,2983590453.6020584,0.8664111361989855,0.0499999999999998,4999999.99999998,125299246.69600442,250598493.39200884,501196986.7840177,0.019952234877080956,0.12470146798175598,Excellent,68.0,LOW
ANANDRATHI,2040.199951171875,290821280902.0,629896874.3714111,1128043845.3653483,941016828.8788838,2.122871358975347,0.0499999999999998,4999999.99999998,31494843.718570556,62989687.43714111,125979374.87428223,0.07937807287882795,0.4961129554926747,Excellent,10.0,LOW
NAVINFLUOR,7578.0,371823202750.0,924147565.925,975961415.775,1347766829.1583333,1.837330352150454,0.0499999999999998,4999999.99999998,46207378.29625,92414756.5925,184829513.185,0.05410391353458112,0.338149459591132,Excellent,18.0,LOW
MAHABANK,78.38999938964844,659473904982.0659,1334585241.4925647,1292077424.1305084,1554887156.5613477,1.4865207200750021,0.0319548920606319,3195489.20606319,66729262.074628234,133458524.14925647,266917048.29851294,0.023943687572098728,0.14964804732561704,Excellent,28.000000000000004,LOW
NYKAA,335.3500061035156,771227796787.0096,1899194605.2648957,2173891089.9786525,1684661700.586341,2.1150597681430896,0.0180451079393682,1804510.79393682,94959730.2632448,189919460.5264896,379838921.0529792,0.009501452820760991,0.05938408012975619,Excellent,36.0,LOW
POWERINDIA,32290.0,1518803269225.0,3863967965.25,5601811597.083333,4642834709.616667,2.0789848042586514,2.0338682910689366e-16,2.0338682910689365e-08,193198398.26250002,386396796.52500004,772793593.0500001,5.263677932530024e-17,3.2897987078312648e-16,Excellent,72.0,LOW
MOTHERSON,150.6699981689453,1494697571482.7888,2274773377.1750593,3101572379.0485644,2880704727.3943887,2.343272013784653,1.5384886933460611e-16,1.538488693346061e-08,113738668.85875297,227477337.71750593,454954675.43501186,6.763261381477228e-17,4.2270383634232675e-16,Excellent,48.0,LOW
SONACOMS,789.5,366032582500.76935,2163371887.2574525,1454331782.78844,1341977515.1631987,2.1479753479506076,1.1629375306292424e-16,1.1629375306292424e-08,108168594.36287263,216337188.72574526,432674377.4514905,5.375578454537099e-17,3.3597365340856867e-16,Excellent,34.0,LOW
NESTLEIND,1466.0,2739749080011.9727,3622254834.6164184,3046302046.8139586,2608017520.5564647,0.9437624219916593,1.1135565778574834e-16,1.1135565778574834e-08,181112741.73082092,362225483.46164185,724450966.9232837,3.074208272746786e-17,1.9213801704667412e-16,Excellent,86.0,LOW
APOLLOHOSP,8858.5,1224398246683.5,2307916637.7,2937975024.616667,3133537677.1291666,1.1027231870948395,1.0478313497506851e-16,1.0478313497506851e-08,115395831.88499999,230791663.76999998,461583327.53999996,4.540161168017413e-17,2.8376007300108833e-16,Excellent,62.0,LOW
ACUTAAS,3217.800048828125,256395788769.78665,1385233860.1087036,1390560640.246635,1302551857.7101176,2.065010315304586,8.890220354196419e-17,8.890220354196418e-09,69261693.00543518,138523386.01087037,277046772.02174073,6.417847996798731e-17,4.0111549979992073e-16,Excellent,16.0,LOW
RRKABEL,2641.300048828125,243493536686.7297,1867598779.1901977,1633960988.3020303,1169465423.5149863,4.327772915393838,6.892669964155308e-17,6.892669964155308e-09,93379938.9595099,186759877.9190198,373519755.8380396,3.690658850796642e-17,2.3066617817479015e-16,Excellent,20.0,LOW
