Symbol,Last_Close,Market_Cap,ADV_20D,ADV_60D,ADV_120D,Volume_Volatility,Optimized_Weight,Position_Value,Capacity_5pct_ADV,Capacity_10pct_ADV,Capacity_20pct_ADV,Days_To_Liquidate,Hours_To_Liquidate,Capacity_Bucket,Liquidity_Score,Liquidity_Flag
PHOENIXLTD,1751.0,623331592608.9569,765248267.053009,876126991.9713541,825021564.7040883,2.3111016424292026,0.0499999999999999,4999999.99999999,38262413.352650456,76524826.70530091,153049653.41060182,0.06533827275761263,0.40836420473507895,Excellent,16.0,LOW
NAVINFLUOR,7268.5,371823202750.0,1027275226.45,1389328225.5416667,1372717022.225,1.876534588058599,0.0499999999999998,4999999.99999998,51363761.322500005,102727522.64500001,205455045.29000002,0.04867244796001456,0.304202799750091,Excellent,20.0,LOW
WELCORP,1396.5,366284755992.0,1154836042.343451,1058570965.1425842,748580505.2497889,1.669650593071239,0.05,5000000.0,57741802.117172554,115483604.23434511,230967208.46869022,0.04329618938679598,0.2706011836674749,Excellent,26.0,LOW
SYRMA,1257.5,243709111494.88354,1300762504.6022766,1537290479.8473277,1224936585.5049994,2.1066043609133493,0.0499999999999999,4999999.99999999,65038125.230113834,130076250.46022767,260152500.92045534,0.03843899237800369,0.24024370236252307,Excellent,18.0,LOW
KEI,5309.5,507782560342.5,1303086957.135327,1902841528.9373453,1735566023.6647482,1.745020774408279,0.0499999999999999,4999999.99999999,65154347.85676636,130308695.71353272,260617391.42706543,0.038370424725851456,0.2398151545365716,Excellent,30.0,LOW
ANANDRATHI,1756.0,290821280902.0,1474407316.2474976,1114283371.5146117,901678092.5064962,2.15004394467644,0.0499999999999998,4999999.99999998,73720365.81237487,147440731.62474975,294881463.2494995,0.03391193155989921,0.21194957224937006,Excellent,28.000000000000004,LOW
MAHABANK,86.30000305175781,659473904982.0659,1050737736.3119465,1550032068.4906158,1490169429.7989137,1.1162864884400623,0.0319548920606319,3195489.20606319,52536886.815597326,105073773.63119465,210147547.2623893,0.03041186297619088,0.19007414360119299,Excellent,36.0,LOW
BHARATFORG,1941.199951171875,921802679687.1144,1752069513.2322204,2361657748.41084,2281990456.086028,1.8050473916592826,0.0499999999999999,4999999.99999999,87603475.66161102,175206951.32322204,350413902.6464441,0.02853768051003857,0.17836050318774105,Excellent,42.0,LOW
JSWSTEEL,1297.0999755859375,3165996605790.6978,2056179374.2716308,2379970709.0200377,2132432084.765094,0.9554369337879555,0.0499999999999999,4999999.99999999,102808968.71358155,205617937.4271631,411235874.8543262,0.02431694463315566,0.15198090395722288,Excellent,64.0,LOW
CUPID,159.83999633789062,214594396188.70544,2129550510.7044053,1882019374.2519896,3049123769.2614517,1.8716197197932454,0.0499999999999999,4999999.99999999,106477525.53522027,212955051.07044053,425910102.14088106,0.023479133154470738,0.14674458221544212,Excellent,34.0,LOW
LAURUSLABS,1392.199951171875,755809166617.0,2304859375.5177855,2326232694.331966,2081213928.847494,1.013370714632519,0.0499999999999999,4999999.99999999,115242968.77588928,230485937.55177855,460971875.1035571,0.021693297444130368,0.1355831090258148,Excellent,52.0,LOW
POLYCAB,9523.0,1428950146682.0,2316271807.35,3467609468.075,3449608891.1833334,1.5174130032237998,0.05,5000000.0,115813590.3675,231627180.735,463254361.47,0.021586413063156,0.134915081644725,Excellent,54.0,LOW
INDUSTOWER,420.8999938964844,1108015280054.4707,2733181575.117189,2664637795.2641845,2810895131.1223364,2.561671343473011,0.0499999999999999,4999999.99999999,136659078.75585946,273318157.5117189,546636315.0234379,0.018293698616732433,0.1143356163545777,Excellent,46.0,LOW
ADANIPORTS,1804.0999755859375,4125469104629.799,3373669639.0795164,4856234372.905711,4152709079.972992,0.9799723926103932,0.0499999999999998,4999999.99999998,168683481.95397583,337366963.90795165,674733927.8159033,0.014820656836346896,0.09262910522716811,Excellent,87.0,LOW
BAJAJ-AUTO,10073.0,2812545623043.0,3390252519.075879,3717156927.334977,3331876965.305778,1.0909246999818805,0.0499999999999999,4999999.99999999,169512625.95379397,339025251.90758795,678050503.8151759,0.01474816395494604,0.09217602471841276,Excellent,82.0,LOW
