Symbol,Company_Name,Sector,Weight,Position_Value,ADV_20D,Tradeable_ADV,Dollar_Volume,Liquidity_Score,Days_To_Liquidate,Days_To_Build,Market_Impact,Forced_Sale_Cost,Liquidity_Risk_Score,Liquidity_Bucket
POLYCAB,Polycab India Limited,Industrials,0.02402013775341455,240201.3775341455,2316271807.35,463254361.47,2316271807.35,0.36355236577755573,0.0005185086153791144,0.0010370172307582288,1.7530698614687165e-06,0.4210897956383793,0.05185086153791144,VERY_LIQUID
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,0.02397635874706965,239763.58747069648,3373669639.0795164,674733927.8159033,3373669639.0795164,0.9120547488367067,0.0003553453851754649,0.0007106907703509298,1.109546963327319e-06,0.26602896039457535,0.03553453851754649,VERY_LIQUID
POWERINDIA,Hitachi Energy India Limited,Industrials,0.02369572345568145,236957.23455681448,7157744736.0,1431548947.2,7157744736.0,0.49485757101754807,0.00016552506641165477,0.00033105013282330953,1.6509487972397036e-06,0.3912042613888192,0.016552506641165476,VERY_LIQUID
SBIN,State Bank of India,Financial Services,0.023272599684859244,232725.99684859245,8773996818.526707,1754799363.7053413,13916173138.691809,1.6668236836684995,0.0001326225673784042,0.0002652451347568084,4.3750233333692486e-07,0.10181816664942102,0.01326225673784042,VERY_LIQUID
ADANIPOWER,Adani Power Limited,Utilities,0.023252624001241545,232526.24001241545,8701394964.536728,1740278992.9073458,8701394964.536728,1.0650272931659666,0.00013361434629740164,0.0002672286925948033,1.056834171047872e-06,0.2457416761103996,0.013361434629740165,VERY_LIQUID
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,0.023228423696124444,232284.23696124443,3390252519.075879,678050503.8151759,3390252519.075879,0.8256159320649117,0.0003425766010853977,0.0006851532021707954,1.3472922310127604e-06,0.3129547478446117,0.03425766010853977,VERY_LIQUID
BHARATFORG,Bharat Forge Limited,Consumer Cyclical,0.023092627084715846,230926.27084715848,1752069513.2322204,350413902.6464441,1752069513.2322204,0.04086809209135758,0.0006590100138810855,0.001318020027762171,2.435435469501991e-06,0.5624060308609933,0.06590100138810856,VERY_LIQUID
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,0.022992122933152843,229921.22933152845,3880171828.7,776034365.74,3880171828.7,0.7872201409403308,0.0002962771231300864,0.0005925542462601728,1.0777317061490245e-06,0.2477933987673493,0.029627712313008637,VERY_LIQUID
BHEL,Bharat Heavy Electricals Limited,Industrials,0.022901695015588145,229016.95015588144,4193728750.906015,838745750.181203,4193728750.906015,0.36577590602342785,0.0002730469276373734,0.0005460938552747468,1.7727006523589169e-06,0.4059784969425806,0.027304692763737343,VERY_LIQUID
MOTHERSON,Samvardhana Motherson International Limited,Consumer Cyclical,0.022657684790621545,226576.84790621544,3802947477.0305176,760589495.4061036,3802947477.0305176,0.26507665290917015,0.000297896367586879,0.000595792735173758,2.0728702786087766e-06,0.4696644138456552,0.0297896367586879,VERY_LIQUID
GVT&D,GE Vernova T&D India Ltd,Industrials,0.022655167454010246,226551.67454010245,4744110174.789648,948822034.9579296,4744110174.789648,0.02665837674778737,0.0002387715147763697,0.0004775430295527394,2.602728587723556e-06,0.5896525199221676,0.02387715147763697,VERY_LIQUID
INDUSTOWER,Indus Towers Limited,Communication Services,0.022585337020469245,225853.37020469244,2733181575.117189,546636315.0234379,2733181575.117189,0.4731223330841819,0.00041316934860979485,0.0008263386972195897,1.3711537438978576e-06,0.30967969412811286,0.04131693486097949,VERY_LIQUID
NESTLEIND,Nestlé India Limited,Consumer Defensive,0.022438738535261845,224387.38535261844,2801292064.615503,560258412.9231006,2801292064.615503,0.7492707893348742,0.0004005069449682984,0.0008010138899365968,1.4995013106834068e-06,0.336469178437074,0.04005069449682984,VERY_LIQUID
CGPOWER,CG Power and Industrial Solutions Limited,Industrials,0.022426706882935046,224267.06882935046,3510287698.27728,702057539.6554561,3510287698.27728,0.28592464777502025,0.0003194425758028501,0.0006388851516057002,2.4324536752021874e-06,0.5455192558007754,0.03194425758028501,VERY_LIQUID
TITAN,Titan Company Limited,Consumer Cyclical,0.022405024782387546,224050.24782387546,3426222277.4719973,685244455.4943995,3426222277.4719973,0.7546643013796811,0.0003269639703428532,0.0006539279406857064,1.4926513989051252e-06,0.3344289158393477,0.03269639703428532,VERY_LIQUID
TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare,0.022279538995463546,222795.38995463547,2354768015.4289308,470953603.08578616,2354768015.4289308,0.41477404559380027,0.00047307290674672333,0.0009461458134934467,2.304797370724014e-06,0.5134982289768752,0.047307290674672334,VERY_LIQUID
ATHERENERG,Ather Energy Limited,Consumer Cyclical,0.022158026312308544,221580.26312308543,4101349137.936835,820269827.587367,4101349137.936835,-0.19715246353475918,0.00027013094431964206,0.0005402618886392841,2.357706561499966e-06,0.5224212402641875,0.027013094431964205,VERY_LIQUID
