Scenario,Symbol,Sector,Position_Value,ADV_20D,Stressed_ADV,Stress_Days_To_Liquidate,Stress_Impact,Stress_Sale_Cost
MARKET_FREEZE,KIRLOSENG,Industrials,165293.66356889636,671078758.9071411,33553937.945357084,0.024631037918422378,0.00019744946303463932,32.63714511470691
MARKET_FREEZE,CRAFTSMAN,Consumer Cyclical,162708.39270321632,497216183.9,24860809.195000023,0.032723873029832845,0.000199878193276064,32.52185956437119
MARKET_FREEZE,APARINDS,Industrials,210343.34860252743,1849503312.0,92475165.60000008,0.011372964148686382,0.00010912852917549187,22.95446025484157
MARKET_FREEZE,BELRISE,Consumer Cyclical,177010.18657958135,1145386952.1773925,57269347.60886967,0.015454182208299387,0.00012690473224187575,22.46343033196624
MARKET_FREEZE,AETHER,Basic Materials,134897.40959906726,405966353.5218506,20298317.676092546,0.03322871672216217,0.0001606023686725799,21.664843509405422
MARKET_FREEZE,PHOENIXLTD,Real Estate,209886.65696321442,765248267.053009,38262413.352650486,0.027427263281691993,0.00010310192610940993,21.639718597572404
MARKET_FREEZE,RRKABEL,Industrials,181104.83428838433,1269464695.2124023,63473234.76062018,0.014266236388565522,0.00011061753453337328,20.0333702610562
MARKET_FREEZE,SONACOMS,Consumer Cyclical,182001.04568211833,805761599.3373016,40288079.966865115,0.022587455871787,0.00010983443680066961,19.98998234962841
MARKET_FREEZE,ACUTAAS,Basic Materials,174012.09290296835,1330672150.8816895,66533607.544084534,0.013077007194271677,0.00011051532856516395,19.23100362148338
MARKET_FREEZE,WELCORP,Basic Materials,175242.70155591634,1154836042.343451,57741802.1171726,0.015174682390437429,0.00010801227944752833,18.928363651597444
MARKET_FREEZE,KEI,Industrials,204306.94071626742,1303086957.135327,65154347.85676641,0.01567868817944509,8.906996232073259e-05,18.197611511462085
MARKET_FREEZE,NAVINFLUOR,Basic Materials,177534.66911774236,1027275226.45,51363761.32250005,0.01728209388746349,9.989155377885411e-05,17.73421394778603
MARKET_FREEZE,SHYAMMETL,Basic Materials,159280.9048070133,698681971.9648132,34934098.598240696,0.022797340019964734,9.80962329694283e-05,15.62485674553011
MARKET_FREEZE,SYRMA,Technology,155099.0130186243,1300762504.6022766,65038125.23011389,0.011923699558517601,8.614792412030705e-05,13.361458004662962
MARKET_FREEZE,NYKAA,Consumer Cyclical,212012.7013585304,1879164541.978723,93958227.09893623,0.011282285112472644,5.648751698854776e-05,11.97607106977789
MARKET_FREEZE,GVT&D,Industrials,226551.67454010245,4744110174.789648,237205508.7394826,0.00477543029552739,5.205457175447107e-05,11.79305039844334
MARKET_FREEZE,CUPID,Consumer Defensive,186212.54952984737,2129550510.7044053,106477525.53522035,0.008744218490889539,6.200288980892796e-05,11.545716189538666
MARKET_FREEZE,GPIL,Basic Materials,160770.20777076628,1415119810.6218064,70755990.53109038,0.011360890192055427,7.121024033770306e-05,11.448485134498723
MARKET_FREEZE,BHARATFORG,Consumer Cyclical,230926.27084715848,1752069513.2322204,87603475.6616111,0.013180200277621701,4.8708709390039775e-05,11.248120617219856
MARKET_FREEZE,JINDALSTEL,Basic Materials,179788.58162799635,1024062529.702185,51203126.4851093,0.0175564066073467,6.189193926186952e-05,11.12746397409762
