Execution_Rank,Symbol,Signal,Action,Signal_Score,Current_Weight,Target_Weight,Weight_Change,Priority_Score,Run_Timestamp
1,POWERINDIA,BUY,SELL,77.64018691588785,0.0236957234556814,0.004614870846111916,-0.019080852609569484,1.4814409631214813,2026-06-13 10:58:32.574815
2,POLYCAB,BUY,SELL,75.31041388518024,0.0240201377534145,0.004614870846111916,-0.019405266907302585,1.461418682341349,2026-06-13 10:58:32.574815
3,ADANIPOWER,BUY,SELL,80.61415220293725,0.0232526240012415,0.005768588557639895,-0.017484035443601605,1.4094606943720493,2026-06-13 10:58:32.574815
4,BHEL,BUY,SELL,76.40520694259013,0.0229016950155881,0.004614870846111916,-0.018286824169476183,1.3972085849915865,2026-06-13 10:58:32.574815
5,ADANIPORTS,BUY,SELL,71.45861148197596,0.0239763587470696,0.004614870846111916,-0.019361487900957684,1.3835450416275135,2026-06-13 10:58:32.574815
6,CGPOWER,BUY,SELL,76.30173564753004,0.022426706882935,0.004614870846111916,-0.017811836036823084,1.359074004678824,2026-06-13 10:58:32.574815
7,GVT&D,BUY,SELL,72.50667556742323,0.0226551674540102,0.004614870846111916,-0.018040296607898285,1.3080419332889668,2026-06-13 10:58:32.574815
8,APARINDS,BUY,SELL,79.39919893190921,0.0210343348602527,0.004614870846111916,-0.016419464014140784,1.3036922896140886,2026-06-13 10:58:32.574815
9,BHARATFORG,BUY,SELL,75.14352469959947,0.0230926270847158,0.005768588557639895,-0.017324038527075907,1.3017893169561412,2026-06-13 10:58:32.574815
10,BAJAJ-AUTO,HOLD,SELL,69.79639519359147,0.0232284236961244,0.0053598087658189835,-0.017868614930305414,1.2471649092377055,2026-06-13 10:58:32.574815
11,APOLLOHOSP,HOLD,SELL,69.70293724966622,0.0229921229331528,0.005305283890721401,-0.017686839042431398,1.2328246319195424,2026-06-13 10:58:32.574815
12,ATHERENERG,BUY,SELL,74.2690253671562,0.0221580263123085,0.005768588557639895,-0.016389437754668605,1.2172275683549103,2026-06-13 10:58:32.574815
13,LAURUSLABS,BUY,SELL,77.716955941255,0.0214305474044527,0.005768588557639895,-0.015661958846812808,1.2171997656515,2026-06-13 10:58:32.574815
14,BSE,BUY,SELL,76.0781041388518,0.0216850799531143,0.005768588557639895,-0.015916491395474405,1.2108964899100403,2026-06-13 10:58:32.574815
15,MOTHERSON,BUY,SELL,70.28704939919892,0.0226576847906215,0.005768588557639895,-0.016889096232981606,1.1870847412354024,2026-06-13 10:58:32.574815
16,TORNTPHARM,HOLD,SELL,69.19225634178905,0.0222795389954635,0.005140859748748903,-0.017138679246714597,1.1858638877983765,2026-06-13 10:58:32.574815
17,NESTLEIND,HOLD,SELL,67.09946595460615,0.0224387385352618,0.005177594014495383,-0.017261144520766415,1.1582135791087025,2026-06-13 10:58:32.574815
18,KEI,BUY,SELL,72.51335113484647,0.0204306940716267,0.004614870846111916,-0.015815823225514784,1.1468583430384136,2026-06-13 10:58:32.574815
19,NYKAA,BUY,SELL,74.2423230974633,0.021201270135853,0.005768588557639895,-0.015432681578213106,1.1457581319899672,2026-06-13 10:58:32.574815
20,JSWSTEEL,HOLD,SELL,67.91388518024031,0.0213423248739583,0.004924603642453966,-0.016417721231504333,1.1149912346375788,2026-06-13 10:58:32.574815
21,SBIN,HOLD,SELL,61.41522029372497,0.0232725996848592,0.005370002089944504,-0.017902597594914693,1.0994919751215968,2026-06-13 10:58:32.574815
22,TATASTEEL,HOLD,SELL,65.65086782376501,0.0217621045600958,0.005021465094221265,-0.016740639465874535,1.0990375088594333,2026-06-13 10:58:32.574815
23,FEDERALBNK,BUY,SELL,73.71495327102805,0.0206536566336229,0.005768588557639895,-0.014885068075983006,1.0972520976571587,2026-06-13 10:58:32.574815
24,HINDALCO,BUY,SELL,70.01001335113484,0.0210850195258961,0.005768588557639895,-0.015316430968256207,1.0723035365793523,2026-06-13 10:58:32.574815
25,SAIL,HOLD,SELL,69.74966622162884,0.0199604255004073,0.004605739285890925,-0.015354686214516374,1.0709842384003627,2026-06-13 10:58:32.574815
26,GRASIM,HOLD,SELL,67.1128170894526,0.0199667510582008,0.004607198867503256,-0.015359552190697543,1.0308228167501852,2026-06-13 10:58:32.574815
27,CUPID,BUY,SELL,79.66955941255007,0.0186212549529847,0.005768588557639895,-0.012852666395344804,1.0239662689936087,2026-06-13 10:58:32.574815
28,NATIONALUM,HOLD,SELL,67.01935914552737,0.019846743819672,0.004579507972182807,-0.015267235847489194,1.0232003624223482,2026-06-13 10:58:32.574815
29,INDUSTOWER,HOLD,SELL,58.61815754339119,0.0225853370204692,0.005211420668268773,-0.017373916352200425,1.0184269658789848,2026-06-13 10:58:32.574815
30,TITAN,HOLD,SELL,58.691588785046726,0.0224050247823875,0.005169814783732752,-0.01723520999865475,1.0115618578649703,2026-06-13 10:58:32.574815
31,RRKABEL,BUY,SELL,73.52136181575435,0.0181104834288384,0.004614870846111916,-0.013495612582726482,0.9922158156198807,2026-06-13 10:58:32.574815
32,PHOENIXLTD,HOLD,SELL,59.94325767690253,0.0209886656963214,0.004842999071037144,-0.016145666625284258,0.9678238548847796,2026-06-13 10:58:32.574815
33,MARICO,HOLD,SELL,65.25367156208279,0.0188589092234991,0.004351571518249856,-0.014507337705249247,0.9466570498585541,2026-06-13 10:58:32.574815
34,HINDCOPPER,HOLD,SELL,66.49198931909213,0.0184223106968242,0.004250829227639485,-0.014171481469184715,0.942289994484742,2026-06-13 10:58:32.574815
