Symbol,Current_Weight,Target_Weight,Trade_Weight,Action,Estimated_Cost_bps,Estimated_Cost,Priority_Score,Priority
NTPC,0.0,0.05769360534481282,0.05769360534481282,BUY,5.5769360534481285,0.0005576936053448129,0.05769360534481282,1
POWERGRID,0.0,0.05549678046421241,0.05549678046421241,BUY,5.554967804642124,0.0005554967804642124,0.05549678046421241,2
COALINDIA,0.0,0.04821333114623302,0.04821333114623302,BUY,5.48213331146233,0.000548213331146233,0.04821333114623302,3
IOC,0.0,0.04604346137235471,0.04604346137235471,BUY,5.460434613723547,0.0005460434613723547,0.04604346137235471,4
ONGC,0.0,0.03705959382601532,0.03705959382601532,BUY,5.370595938260153,0.0005370595938260153,0.03705959382601532,5
BPCL,0.0,0.03681130549343583,0.03681130549343583,BUY,5.3681130549343585,0.0005368113054934359,0.03681130549343583,6
GAIL,0.0,0.0336435439954785,0.0336435439954785,BUY,5.336435439954785,0.0005336435439954785,0.0336435439954785,7
PETRONET,0.0,0.03172834403916441,0.03172834403916441,BUY,5.317283440391644,0.0005317283440391644,0.03172834403916441,8
ADANIENT,0.0,0.03142564622245262,0.03142564622245262,BUY,5.3142564622245265,0.0005314256462224527,0.03142564622245262,9
HINDPETRO,0.0,0.030430182234578617,0.030430182234578617,BUY,5.304301822345786,0.0005304301822345786,0.030430182234578617,10
ADANIGREEN,0.0,0.028938295596610878,0.028938295596610878,BUY,5.289382955966109,0.0005289382955966108,0.028938295596610878,11
NLCINDIA,0.0,0.028525263702806315,0.028525263702806315,BUY,5.285252637028063,0.0005285252637028063,0.028525263702806315,12
NHPC,0.0,0.027034345066197302,0.027034345066197302,BUY,5.270343450661973,0.0005270343450661973,0.027034345066197302,13
JSWENERGY,0.0,0.025970418377053432,0.025970418377053432,BUY,5.259704183770534,0.0005259704183770534,0.025970418377053432,14
CESC,0.0,0.02553157141232632,0.02553157141232632,BUY,5.255315714123263,0.0005255315714123263,0.02553157141232632,15
POLYCAB,0.0240201377534145,0.0,-0.0240201377534145,SELL,5.240201377534145,0.0005240201377534145,0.0240201377534145,16
ADANIPORTS,0.0239763587470696,0.0,-0.0239763587470696,SELL,5.239763587470696,0.0005239763587470696,0.0239763587470696,17
GANDHAR,0.0,0.02375765181007266,0.02375765181007266,BUY,5.2375765181007266,0.0005237576518100726,0.02375765181007266,18
POWERINDIA,0.0236957234556814,0.0,-0.0236957234556814,SELL,5.236957234556814,0.0005236957234556814,0.0236957234556814,19
CASTROLIND,0.0,0.02335497352303545,0.02335497352303545,BUY,5.233549735230355,0.0005233549735230355,0.02335497352303545,20
SBIN,0.0232725996848592,0.0,-0.0232725996848592,SELL,5.232725996848592,0.0005232725996848593,0.0232725996848592,21
BAJAJ-AUTO,0.0232284236961244,0.0,-0.0232284236961244,SELL,5.232284236961244,0.0005232284236961244,0.0232284236961244,22
BHARATFORG,0.0230926270847158,0.0,-0.0230926270847158,SELL,5.230926270847158,0.0005230926270847158,0.0230926270847158,23
APOLLOHOSP,0.0229921229331528,0.0,-0.0229921229331528,SELL,5.229921229331528,0.0005229921229331528,0.0229921229331528,24
BHEL,0.0229016950155881,0.0,-0.0229016950155881,SELL,5.229016950155881,0.000522901695015588,0.0229016950155881,25
MOTHERSON,0.0226576847906215,0.0,-0.0226576847906215,SELL,5.226576847906215,0.0005226576847906215,0.0226576847906215,26
GVT&D,0.0226551674540102,0.0,-0.0226551674540102,SELL,5.226551674540102,0.0005226551674540102,0.0226551674540102,27
INDUSTOWER,0.0225853370204692,0.0,-0.0225853370204692,SELL,5.225853370204692,0.0005225853370204691,0.0225853370204692,28
GIPCL,0.0,0.02255781878414588,0.02255781878414588,BUY,5.225578187841458,0.0005225578187841458,0.02255781878414588,29
NESTLEIND,0.0224387385352618,0.0,-0.0224387385352618,SELL,5.224387385352618,0.0005224387385352619,0.0224387385352618,30
CGPOWER,0.022426706882935,0.0,-0.022426706882935,SELL,5.22426706882935,0.0005224267068829351,0.022426706882935,31
TITAN,0.0224050247823875,0.0,-0.0224050247823875,SELL,5.224050247823875,0.0005224050247823875,0.0224050247823875,32
TORNTPHARM,0.0222795389954635,0.0,-0.0222795389954635,SELL,5.222795389954635,0.0005222795389954636,0.0222795389954635,33
CHENNPETRO,0.0,0.022216731796456037,0.022216731796456037,BUY,5.22216731796456,0.000522216731796456,0.022216731796456037,34
BAJAJCON,0.0,0.0221989306120379,0.0221989306120379,BUY,5.221989306120379,0.0005221989306120378,0.0221989306120379,35
ATHERENERG,0.0221580263123085,0.0,-0.0221580263123085,SELL,5.221580263123085,0.0005221580263123086,0.0221580263123085,36
TATASTEEL,0.0217621045600958,0.0,-0.0217621045600958,SELL,5.217621045600958,0.0005217621045600958,0.0217621045600958,37
OIL,0.0,0.021696525922044477,0.021696525922044477,BUY,5.216965259220445,0.0005216965259220445,0.021696525922044477,38
BSE,0.0216850799531143,0.0,-0.0216850799531143,SELL,5.216850799531143,0.0005216850799531143,0.0216850799531143,39
LAURUSLABS,0.0214305474044527,0.0,-0.0214305474044527,SELL,5.214305474044527,0.0005214305474044526,0.0214305474044527,40
JSWSTEEL,0.0213423248739583,0.0,-0.0213423248739583,SELL,5.213423248739583,0.0005213423248739583,0.0213423248739583,41
NYKAA,0.021201270135853,0.0,-0.021201270135853,SELL,5.21201270135853,0.000521201270135853,0.021201270135853,42
HINDALCO,0.0210850195258961,0.0,-0.0210850195258961,SELL,5.210850195258961,0.0005210850195258961,0.0210850195258961,43
APARINDS,0.0210343348602527,0.0,-0.0210343348602527,SELL,5.210343348602527,0.0005210343348602527,0.0210343348602527,44
PHOENIXLTD,0.0209886656963214,0.0,-0.0209886656963214,SELL,5.209886656963214,0.0005209886656963213,0.0209886656963214,45
FEDERALBNK,0.0206536566336229,0.0,-0.0206536566336229,SELL,5.206536566336229,0.000520653656633623,0.0206536566336229,46
ACMESOLAR,0.0,0.0206237544712219,0.0206237544712219,BUY,5.206237544712219,0.0005206237544712219,0.0206237544712219,47
KEI,0.0204306940716267,0.0,-0.0204306940716267,SELL,5.204306940716267,0.0005204306940716268,0.0204306940716267,48
AEGISLOG,0.0,0.020259187784577255,0.020259187784577255,BUY,5.202591877845773,0.0005202591877845773,0.020259187784577255,49
PTC,0.0,0.020032674370226055,0.020032674370226055,BUY,5.20032674370226,0.000520032674370226,0.020032674370226055,50
GRASIM,0.0199667510582008,0.0,-0.0199667510582008,SELL,5.199667510582008,0.0005199667510582007,0.0199667510582008,51
SAIL,0.0199604255004073,0.0,-0.0199604255004073,SELL,5.199604255004073,0.0005199604255004072,0.0199604255004073,52
NATIONALUM,0.019846743819672,0.0,-0.019846743819672,SELL,5.19846743819672,0.000519846743819672,0.019846743819672,53
MGL,0.0,0.019830520881598524,0.019830520881598524,BUY,5.198305208815985,0.0005198305208815986,0.019830520881598524,54
WAAREEENER,0.0197982093465519,0.0,-0.0197982093465519,SELL,5.197982093465519,0.000519798209346552,0.0197982093465519,55
MARICO,0.0188589092234991,0.0,-0.0188589092234991,SELL,5.188589092234991,0.0005188589092234991,0.0188589092234991,56
