Metric,Value
Worst_Scenario,LIQUIDITY_SHOCK
Worst_Return,-0.02500751540272658
Worst_Loss,-250075.1540272658
Best_Scenario,SMALL_CAP_SELLOFF
Best_Return,0.021782025604130346
Best_Gain,217820.25604130345
Factor_VaR_95,-0.022096313914410075
Factor_CVaR_95,-0.02500751540272658
Risk_Score,2.500751540272658
Resilience_Score,97.49924845972734
Diversification_Score,89.99999999999999
Effective_Factors,4.499999999999999
Scenario_Dispersion,0.016129085983897683
Risk_Level,LOW
Run_Date,2026-06-13
Engine_Version,1.0.0
