Metric,Value
Current_Regime,SIDEWAYS_LOW_VOL
Portfolio_Holdings,50
Target_Holdings,50
Buy_Orders,15
Sell_Orders,8
Portfolio_Turnover,0.135364
Buy_Turnover,0.119403
Sell_Turnover,0.015962
New Exposure Added,0.130961
Exposure Exited,0.484029
Existing Exposure Reallocated,0.176534
Portfolio_HHI,0.020197
Effective_Holdings,49.51
Active_Share,0.525631
Portfolio_Stability,0.5
Rebalance_Efficiency,0.5832
Efficiency_Grade,C
New_Holdings_Pct,0.5
Exited_Holdings_Pct,0.5
Churn_Ratio,1.0
Top_Trade_Share,0.231633
Execution_Complexity,100
Turnover_Reconciled,True
Top5_Weight,0.122832
Top10_Weight,0.231633
Gross_Buy_Weight,0.238805
Gross_Sell_Weight,0.031923
Net_Flow,0.206882
Retention_Ratio,0.5
Replacement_Rate,0.08
Turnover_Flag,LOW
Turnover_Scaling_Factor,1.0
Capacity_Score,50.6
Average_Cost_BPS,20.94
Approval_Score,80.06388236535182
Approval_Status,CONDITIONAL_APPROVAL
Execution_Score,90
Execution_Status,READY
Governance_Status,PASS
Liquidity_Breaches,0
Average_Liquidity_Usage,0.0
Liquidity_Execution_Capacity,100.0
Sector_Drift_Score,79.25190133677386
Rebalance_Health_Score,73.68689548707202
Breadth_Score,0.9902262935706019
Liquidity_Pressure,0.0036924761499187173
Portfolio_Execution_Capacity,50.41316070681411
Crowding_Score,0.018530650092341373
Regime_Alignment,100
Risk_Flag_Count,2
ADV_Coverage,100.0
MarketCap_Coverage,100.0
Sector_Coverage,97.0
Universe_Health_Score,99.0
Universe_Quality_Grade,A
Average_Signal_Age,N/A
Average_Alpha_Decay,N/A
Persistence_Score,N/A
Signal_Stability,50.0
Portfolio_Beta,1.0
Benchmark_Beta,1.0
Beta_Drift,-0.0
Beta_Alignment_Score,100.0
Engine_Version,2.2.0
