Metric,Value
Universe_Size,2266
Tradable_Universe,500
Risk_Free_Rate,0.06
Engine_Version,1.0.0
MinVar_Return,0.3123988707065583
MinVar_Volatility,4.4721359549995795e-05
RiskParity_Return,0.3123988707065583
RiskParity_Volatility,4.4721359549995795e-05
MaxSharpe_Return,0.5585496008383152
MaxSharpe_Volatility,8.942923468575319e-05
MaxSharpe_Sharpe,5574.794446024016
Institutional_Return,0.4600893087856124
Institutional_Volatility,7.375046905567876e-05
Institutional_Sharpe,5424.905277328615
Best_Strategy,Minimum_Variance
Best_Sharpe,5643.810323440447
Institutional_Effective_Holdings,367.70575074927007
Run_Date,2026-08-04
