Metric,Value
Portfolio_Holdings,50
Risk_Assets,50
Missing_Factor_Loadings,0
Engine_Version,1.0.0
Portfolio_Volatility,0.2037006908525265
Effective_Holdings,45.97863466118617
Effective_Risk_Positions,41.70877015981309
Largest_Risk_Position,BHEL.NS
Largest_Risk_Contribution,3.775358047560627
Parametric_VaR_95,0.02110853698727353
Historical_VaR_95,0.01906730777985177
CVaR_95,0.030996153231350222
Max_Drawdown,0.3565229525175765
Sharpe_Ratio,1.9160612894044238
Risk_Level,High
Tracking_Error,0.008094441490937056
Dominant_Factor,PC_1
Dominant_Factor_Pct,83.49446919789378
