Symbol,Start_Date,End_Date,Observations,Coverage_Years,Pass_Min_History,Coverage_Score
20MICRONS,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
360ONE,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
3MINDIA,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1632,6.476190476190476,True,100.0
5PAISA,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
63MOONS,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
AADHARHFC,2024-05-15 00:00:00+05:30,2026-08-04 00:00:00+05:30,553,2.1944444444444446,True,43.888888888888886
AARTIDRUGS,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
AARTIIND,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
AARTIPHARM,2023-01-30 00:00:00+05:30,2026-08-04 00:00:00+05:30,868,3.4444444444444446,True,68.88888888888889
AARTISURF,2020-07-14 00:00:00+05:30,2026-08-04 00:00:00+05:30,1501,5.9563492063492065,True,100.0
AAVAS,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ABB,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ABBOTINDIA,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ABCAPITAL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ABDL,2024-07-02 00:00:00+05:30,2026-08-04 00:00:00+05:30,520,2.0634920634920637,True,41.269841269841265
ABFRL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ABREL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ABSLAMC,2021-10-11 00:00:00+05:30,2026-08-04 00:00:00+05:30,1192,4.73015873015873,True,94.6031746031746
ABSMARINE,2024-05-21 00:00:00+05:30,2026-07-31 00:00:00+05:30,547,2.1706349206349205,True,43.41269841269841
ACC,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ACCELYA,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ACCENTMIC,2023-12-15 00:00:00+05:30,2026-07-31 00:00:00+05:30,648,2.5714285714285716,True,51.42857142857142
ACE,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ACI,2022-11-21 00:00:00+05:30,2026-08-04 00:00:00+05:30,916,3.634920634920635,True,72.6984126984127
ACMESOLAR,2024-11-13 00:00:00+05:30,2026-08-04 00:00:00+05:30,428,1.6984126984126984,True,33.96825396825397
ACUTAAS,2021-09-14 00:00:00+05:30,2026-08-04 00:00:00+05:30,1211,4.805555555555555,True,96.11111111111111
ADANIENSOL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ADANIENT,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ADANIGREEN,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ADANIPORTS,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ADANIPOWER,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ADFFOODS,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ADOR,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ADSL,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
ADVENZYMES,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
AEGISLOG,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1632,6.476190476190476,True,100.0
AEGISVOPAK,2025-06-02 00:00:00+05:30,2026-08-04 00:00:00+05:30,294,1.1666666666666667,True,23.333333333333332
AEROENTER,2022-11-21 00:00:00+05:30,2026-08-04 00:00:00+05:30,916,3.634920634920635,True,72.6984126984127
AEROFLEX,2023-08-31 00:00:00+05:30,2026-08-04 00:00:00+05:30,723,2.869047619047619,True,57.38095238095238
AETHER,2022-06-03 00:00:00+05:30,2026-08-04 00:00:00+05:30,1032,4.095238095238095,True,81.9047619047619
AFCONS,2024-11-04 00:00:00+05:30,2026-08-04 00:00:00+05:30,435,1.7261904761904763,True,34.523809523809526
AFFLE,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
AFSL,2022-12-23 00:00:00+05:30,2026-08-04 00:00:00+05:30,891,3.5357142857142856,True,70.71428571428572
AGARIND,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1632,6.476190476190476,True,100.0
AGARWALEYE,2025-02-04 00:00:00+05:30,2026-08-04 00:00:00+05:30,369,1.4642857142857142,True,29.28571428571429
AGI,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
AGIIL,2024-07-15 00:00:00+05:30,2026-08-04 00:00:00+05:30,512,2.0317460317460316,True,40.63492063492063
AHLUCONT,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
AIAENG,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1632,6.476190476190476,True,100.0
AIIL,2024-04-23 00:00:00+05:30,2026-08-04 00:00:00+05:30,568,2.253968253968254,True,45.07936507936508
AIMTRON,2024-06-06 00:00:00+05:30,2026-07-31 00:00:00+05:30,535,2.123015873015873,True,42.46031746031746
AJANTPHARM,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1633,6.48015873015873,True,100.0
AJAXENGG,2025-02-17 00:00:00+05:30,2026-08-04 00:00:00+05:30,361,1.4325396825396826,True,28.65079365079365
AJMERA,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
AKUMS,2024-08-06 00:00:00+05:30,2026-08-04 00:00:00+05:30,494,1.9603174603174602,True,39.20634920634921
ALBERTDAVD,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1632,6.476190476190476,True,100.0
ALEMBICLTD,2020-01-01 00:00:00+05:30,2026-08-04 00:00:00+05:30,1634,6.484126984126984,True,100.0
