Section,Metric,Value
Forecast,Decision,APPROVE
Forecast,Forecast_Regime,BULL
Forecast,Forecast_Recommendation,OVERWEIGHT
Forecast,Forecast_Confidence,76.7241599682883
Forecast,Expected_Return_12M,0.3695181329490239
Forecast,Committee_View,STRONG_BUY
Forecast,Investment_Decision,OVERWEIGHT
Scenario,Best_Scenario,BULL
Scenario,Best_Scenario_Score,99.47714563932038
Scenario,Worst_Scenario,CRISIS
Scenario,Worst_Scenario_Score,0.0
Stress,Best_Stress,RATE_HIKE_SHOCK
Stress,Best_Stress_Score,56.78072531796096
Stress,Worst_Stress,2008_GFC
Stress,Worst_Stress_Score,0.0
Stress,Rejected_Stress_Scenarios,4
Governance,Committee_Score,90.0
Governance,Governance_Score,96.0
Governance,Risk_Score,95.0
Alert_Governance,Alert_Health_Score,0
Alert_Governance,Alert_Escalation,ESCALATING
Alert_Governance,Governance_View,CRITICAL
Alert_Governance,Trend_Direction,INSUFFICIENT_HISTORY
Alert_Governance,Top_Category,STRESS
Alert_Governance,Total_Alerts,24
Surveillance,Total_Alerts,1
Surveillance,Critical_Alerts,0
Surveillance,Warning_Alerts,1
Surveillance,Surveillance_Health,HEALTHY
