Metric,Value
Expected_Return_1M,0.02309488330931399
Expected_Return_3M,0.06928464992794198
Expected_Return_12M,0.2771385997117679
Expected_Volatility,0.18275052180787488
Expected_Sharpe,1.1881695196473645
Expected_Information_Ratio,3.707977498752867
Expected_Max_Drawdown,0.13580855364754957
Rolling_Confidence,61.92
Regime_Confidence,90.0
Alpha_Confidence,79.78079984144149
Forecast_Confidence,71.59732797463064
Forecast_Regime,BULL
Forecast_Risk_Grade,LOW
Forecast_Recommendation,UNDERWEIGHT
Macro_Score,48.82
Macro_Regime,RISK_OFF
Macro_Confidence,91.09
Macro_Recommendation,UNDERWEIGHT
Regime_Probability,50.176150761353014
