Section,Metric,Value
Forecast,Decision,APPROVE
Forecast,Forecast_Regime,BULL
Forecast,Forecast_Recommendation,UNDERWEIGHT
Forecast,Forecast_Confidence,71.59732797463064
Forecast,Expected_Return_12M,0.2771385997117679
Forecast,Committee_View,STRONG_BUY
Forecast,Investment_Decision,UNDERWEIGHT
Scenario,Best_Scenario,BULL
Scenario,Best_Scenario_Score,93.66394947594468
Scenario,Worst_Scenario,CRISIS
Scenario,Worst_Scenario_Score,0.0
Stress,Best_Stress,RATE_HIKE_SHOCK
Stress,Best_Stress_Score,53.08554398847072
Stress,Worst_Stress,2008_GFC
Stress,Worst_Stress_Score,0.0
Stress,Rejected_Stress_Scenarios,4
Governance,Committee_Score,90.0
Governance,Governance_Score,96.0
Governance,Risk_Score,95.0
Alert_Governance,Alert_Health_Score,72.04
Alert_Governance,Alert_Escalation,STABLE
Alert_Governance,Governance_View,WATCH
Alert_Governance,Trend_Direction,IMPROVING
Alert_Governance,Top_Category,STRESS
Alert_Governance,Total_Alerts,49
Governance_Command_Center,Governance_Score,66.84
Governance_Command_Center,Risk_Level,MODERATE
Governance_Command_Center,Executive_Action,MAINTAIN_NEUTRAL
Governance_Command_Center,Overall_Status,WATCH
Governance_Command_Center,Pack_Score,69.16
Governance_Command_Center,Recommendation,OVERWEIGHT
Governance_Command_Center,Forecast_Regime,BULL
Surveillance,Total_Alerts,1
Surveillance,Critical_Alerts,0
Surveillance,Warning_Alerts,1
Surveillance,Surveillance_Health,HEALTHY
