Sector,Portfolio_Weight,Benchmark_Weight,Active_Weight,Portfolio_Return,Benchmark_Return,Active_Return,Portfolio_Contribution,Benchmark_Contribution,Contribution_Difference,Portfolio_Securities,Benchmark_Securities,Sector_Rank,Allocation_Effect,Selection_Effect,Interaction_Effect,Total_Effect,Contribution_Pct,Attribution_Rank
Consumer Defensive,0.05991890271174572,0.0753543845676591,-0.015435481855913376,2.3429112446632123,-0.06666840071064911,2.4095796453738614,0.14038467093123008,-0.00502375630566105,0.14540842723689112,3.0,9.0,2,0.0022906320519616927,0.1815723912439056,-0.03719302289654643,0.14667000039932088,23.450053439015456,1
Consumer Cyclical,0.18691501929850257,0.10141226851083673,0.08550275078766584,0.9145349531169474,0.18628395317827603,0.7282509999386714,0.17094031841100937,0.018891478278975467,0.1520488401320339,9.0,12.0,1,0.008939477606217095,0.07385358594906588,0.062267463758624665,0.14506052731390764,23.192725902649183,2
Basic Materials,0.2585383367732018,0.08860773515979366,0.16993060161340817,0.5382137875173106,0.1636512559962715,0.37456253152103913,0.13914889745313094,0.01450076714988522,0.12464813030324573,14.0,11.0,3,0.013920584498698464,0.0331891375937981,0.06364963632321134,0.11075935841570791,17.708548896488878,3
Industrials,0.21578066802630666,0.10995245597833479,0.10582821204797187,0.5759238440686766,0.23273742219790522,0.34318642187077136,0.12427323180541751,0.025590051168726292,0.09868318063669121,10.0,14.0,4,0.015980631376769774,0.03773418994310822,0.03631880542572472,0.09003362674560272,14.3948547947405,4
Financial Services,0.09176655316551648,0.2757770124150817,-0.18401045924956522,0.48134524501131576,0.04886705590354337,0.43247818910777236,0.04417139401729946,0.01347641068259997,0.030694983334699492,5.0,24.0,5,0.0060474977406904,0.11926754292682618,-0.07958051019314151,0.045734530474375076,7.312178228079845,5
Healthcare,0.06670220933306914,0.04943188868248766,0.017270320650581483,0.5266928588798374,0.14579442733500866,0.3808984315448287,0.035131577327235555,0.007206893902551184,0.02792468342468437,3.0,8.0,6,0.0011063782596276834,0.01882852886745812,0.006578238048082753,0.026513145175168555,4.239003678334729,6
Technology,0.03530811064841437,0.07326354121854858,-0.037955430570134216,0.2923839899411349,-0.16729219761802214,0.45967618755915707,0.010323526268666465,-0.01225641881572954,0.022579945084396005,2.0,6.0,7,0.009451821526685274,0.03367750531442557,-0.017447207621645578,0.025682119219465265,4.10613667746615,7
Utilities,0.04149619732645238,0.06295975764470474,-0.02146356031825236,0.8763592898757333,0.34988139309882843,0.5264778967769048,0.03636557802155311,0.02202844771389391,0.0143371303076592,2.0,7.0,8,-0.005755440173346354,0.03314692078636781,-0.011300090093697738,0.016091390519323713,2.572741300599021,8
Energy,0.0,0.112473123842853,-0.112473123842853,0.0,-0.019682486090503628,0.019682486090503628,0.0,-0.002213750695592446,0.002213750695592446,0.0,6.0,10,0.011406406672212729,0.002213750695592446,-0.002213750695592446,0.01140640667221273,1.8236915884795313,9
Real Estate,0.02098866569632144,0.005298340089696528,0.015690325606624915,0.2920201228308208,-0.17976672158644358,0.4717868444172644,0.006129112734694822,-0.0009524652277747683,0.0070815779624695905,1.0,1.0,9,-0.004103000452723141,0.0024996871515674105,0.007402489205828968,0.0057991759046732375,0.9271901854270936,10
Communication Services,0.022585337020469245,0.04546949189000345,-0.022884154869534202,0.014200136478303094,0.010652536697782293,0.003547599780520801,0.0003207148680991346,0.00048436543098777607,-0.00016365056288864145,1.0,2.0,11,0.0016265939790599427,0.00016130755944936858,-8.118382279256356e-05,0.0017067177157167478,0.2728753087196244,11
