Sector,Weight,Contribution,Contribution_Pct
Consumer Defensive,0.05000000000000006,0.016400795749141724,1.6400795749141723
Technology,0.049999999999999926,0.012052800394769279,1.2052800394769279
Financial Services,0.13195489206063157,0.00909696706679223,0.9096967066792231
Consumer Cyclical,0.16804510793936822,0.005018117424396845,0.5018117424396845
Healthcare,0.05,0.00259141647216975,0.25914164721697497
Industrials,0.20000000000000004,0.0014642189500134802,0.14642189500134803
Real Estate,0.0499999999999999,0.0003595053206787428,0.03595053206787428
Utilities,9.534065427401668e-18,1.3859354344345886e-18,1.3859354344345886e-16
Basic Materials,0.24999999999999978,-0.0005356275086236105,-0.05356275086236104
Communication Services,0.0499999999999999,-0.00107520633863196,-0.10752063386319599
