Rank,Symbol,Company_Name,Sector,Security_Return,Weight_Portfolio,Weight_Benchmark,Active_Weight,Portfolio_Contribution,Benchmark_Contribution,Active_Contribution
1,CUPID,Cupid Limited,Consumer Defensive,6.882434031960835,0.018621254952984737,0.0,0.018621254952984737,0.1281595588062414,0.0,0.1281595588062414
2,ATHERENERG,Ather Energy Limited,Consumer Cyclical,2.2362699543711813,0.022158026312308544,0.0,0.022158026312308544,0.049551328490381664,0.0,0.049551328490381664
3,ACUTAAS,Acutaas Chemicals Limited,Basic Materials,1.8047583224133872,0.017401209290296836,0.0,0.017401209290296836,0.03140497728672036,0.0,0.03140497728672036
4,LAURUSLABS,Laurus Labs Limited,Healthcare,1.092783879718851,0.021430547404452743,0.0,0.021430547404452743,0.02341895673713662,0.0,0.02341895673713662
5,BELRISE,BELRISE INDUSTRIES LTD,Consumer Cyclical,1.1841348270811767,0.017701018657958135,0.0,0.017701018657958135,0.020960392667701937,0.0,0.020960392667701937
6,NATIONALUM,National Aluminium Company Limited,Basic Materials,1.0510774322652159,0.01984674381967204,0.0,0.01984674381967204,0.02086046453280643,0.0,0.02086046453280643
7,SYRMA,Syrma SGS Technology Limited,Technology,1.337776189219933,0.01550990130186243,0.0,0.01550990130186243,0.0207487766587828,0.0,0.0207487766587828
8,GVT&D,GE Vernova T&D India Ltd,Industrials,1.1298896850057103,0.022655167454010246,0.004684334373569225,0.01797083308044102,0.025597840018363256,0.005292781089813553,0.020305058928549703
9,APARINDS,APAR Industries Limited,Industrials,0.8866790741698543,0.021034334860252742,0.0,0.021034334860252742,0.01865070455966759,0.0,0.01865070455966759
10,KIRLOSENG,Kirloskar Oil Engines Limited,Industrials,1.0655831107185243,0.016529366356889636,0.0,0.016529366356889636,0.01761341362078058,0.0,0.01761341362078058
11,HINDCOPPER,Hindustan Copper Limited,Basic Materials,0.942584889633076,0.018422310696824238,0.0,0.018422310696824238,0.01736459169495231,0.0,0.01736459169495231
12,POWERINDIA,Hitachi Energy India Limited,Industrials,0.9151449101717781,0.02369572345568145,0.00567704289084123,0.01801868056484022,0.021685020713304897,0.005195316906380229,0.016489703806924667
13,NAVINFLUOR,Navin Fluorine International Limited,Basic Materials,0.6523594307298097,0.017753466911774235,0.0,0.017753466911774235,0.011581641568045553,0.0,0.011581641568045553
14,POLYCAB,Polycab India Limited,Industrials,0.5601645703658629,0.02402013775341455,0.005341186337929729,0.01867895141548482,0.013455230144770304,0.002991943350230423,0.01046328679453988
15,FEDERALBNK,The Federal Bank Limited,Financial Services,0.5063866893271061,0.02065365663362294,0.0,0.02065365663362294,0.010458736805199143,0.0,0.010458736805199143
16,BHARATFORG,Bharat Forge Limited,Consumer Cyclical,0.4520599454762211,0.023092627084715846,0.0,0.023092627084715846,0.010439251740819352,0.0,0.010439251740819352
17,RRKABEL,R R Kabel Limited,Industrials,0.5741481242331357,0.018110483428838434,0.0,0.018110483428838434,0.010398100089622874,0.0,0.010398100089622874
18,ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,0.7752803858210588,0.012360917220704124,0.0,0.012360917220704124,0.009583176671969664,0.0,0.009583176671969664
19,CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,0.5827406732441895,0.016270839270321632,0.0,0.016270839270321632,0.009481679830635225,0.0,0.009481679830635225
20,KEI,KEI Industries Limited,Industrials,0.4010296170811918,0.020430694071626742,0.0,0.020430694071626742,0.008193313420247447,0.0,0.008193313420247447
21,BHEL,Bharat Heavy Electricals Limited,Industrials,0.4495951136875411,0.022901695015588145,0.004846932660261426,0.018054762355326718,0.010296490174170746,0.002179157240426092,0.008117332933744654
