Security_ID,Symbol,Company_Name,Sector,Rank,Alpha_Adjusted,Weight_Portfolio,Last_Close,Market_Cap,ADV_20D,Portfolio_Date,Engine_Version,Security_Return,Weight_Benchmark,Portfolio_Contribution,Benchmark_Contribution,Active_Weight,Active_Contribution
SECF5E25039,CUPID,Cupid Limited,Consumer Defensive,1,0.8644444444444446,0.018621254952984737,159.83999633789062,214594396188.70544,2129550510.7044053,2026-08-03,1.0.0,6.930770739721364,0.0,0.12905964896503813,0.0,0.018621254952984737,0.12905964896503813
SEC98541475,ATHERENERG,Ather Energy Limited,Consumer Cyclical,2,0.8651162790697674,0.022158026312308544,1034.1500244140625,401338390830.5786,4101349137.936835,2026-08-03,1.0.0,3.2018509291270263,0.0,0.07094669713568622,0.0,0.022158026312308544,0.07094669713568622
SEC604401C1,ACUTAAS,Acutaas Chemicals Limited,Basic Materials,3,0.8441634241245136,0.017401209290296836,3147.10009765625,256395788769.78665,1330672150.8816895,2026-08-03,1.0.0,1.636892501904129,0.0,0.02848390901135136,0.0,0.017401209290296836,0.02848390901135136
SEC810017B2,KIRLOSENG,Kirloskar Oil Engines Limited,Industrials,4,0.8230283911671923,0.016529366356889636,1872.0,268952896400.0,671078758.9071411,2026-08-03,1.0.0,1.4527585034110553,0.0,0.024013177530968034,0.0,0.016529366356889636,0.024013177530968034
SECA722432A,LAURUSLABS,Laurus Labs Limited,Healthcare,5,0.8746031746031747,0.021430547404452743,1392.199951171875,755809166617.0,2304859375.517785,2026-08-03,1.0.0,1.078280105558378,0.0,0.023108132917447125,0.0,0.021430547404452743,0.023108132917447125
SECD3E0F146,NATIONALUM,National Aluminium Company Limited,Basic Materials,6,0.8418287937743191,0.01984674381967204,376.2000122070313,692685667257.1392,5481602198.980354,2026-08-03,1.0.0,1.0146421747602203,0.0,0.020137343311101,0.0,0.01984674381967204,0.020137343311101
SEC7FE71EB3,BHARATFORG,Bharat Forge Limited,Consumer Cyclical,7,0.9193798449612404,0.023092627084715846,1941.199951171875,921802679687.1144,1752069513.2322204,2026-08-03,1.0.0,0.7912159589226004,0.0,0.018271255082875464,0.0,0.023092627084715846,0.018271255082875464
SEC40D715C2,HINDCOPPER,Hindustan Copper Limited,Basic Materials,8,0.8346303501945526,0.018422310696824238,508.7000122070313,491635005865.7538,2373609351.892441,2026-08-03,1.0.0,0.9191019008310444,0.0,0.01693198077915124,0.0,0.018422310696824238,0.01693198077915124
SEC3F90165F,RRKABEL,R R Kabel Limited,Industrials,9,0.8264984227129338,0.018110483428838434,2150.39990234375,243493536686.7297,1269464695.2124023,2026-08-03,1.0.0,0.8661155880095113,0.0,0.01568577200410491,0.0,0.018110483428838434,0.01568577200410491
SEC17154FBC,FEDERALBNK,The Federal Bank Limited,Financial Services,10,0.9012269938650308,0.02065365663362294,315.95001220703125,778449810214.7582,5735660901.565318,2026-08-03,1.0.0,0.7554231026483855,0.0,0.015602249375205853,0.0,0.02065365663362294,0.015602249375205853
SECCDFD81E7,WELCORP,Welspun Corp Limited,Basic Materials,11,0.8494163424124513,0.017524270155591635,1396.5,366284755992.0,1154836042.343451,2026-08-03,1.0.0,0.8461130988734553,0.0,0.014827514526843248,0.0,0.017524270155591635,0.014827514526843248
SECA6E1B437,BELRISE,BELRISE INDUSTRIES LTD,Consumer Cyclical,12,0.8315891472868218,0.017701018657958135,227.44000244140625,201700020917.55493,1145386952.1773925,2026-08-03,1.0.0,0.8093093507625673,0.0,0.014325599917908188,0.0,0.017701018657958135,0.014325599917908188
SEC6E162A52,AETHER,Aether Industries Limited,Basic Materials,13,0.8342412451361868,0.013489740959906727,1151.800048828125,153424754893.93665,405966353.5218506,2026-08-03,1.0.0,1.0601444375493134,0.0,0.014301073842626253,0.0,0.013489740959906727,0.014301073842626253
SECACB85887,SYRMA,Syrma SGS Technology Limited,Technology,14,0.8542452830188679,0.01550990130186243,1257.5,243709111494.88354,1300762504.6022766,2026-08-03,1.0.0,0.8528081171356587,0.0,0.013226969726201201,0.0,0.01550990130186243,0.013226969726201201
SEC813579CA,SONACOMS,Sona BLW Precision Forgings Limited,Consumer Cyclical,15,0.8135658914728684,0.018200104568211833,589.0,366032582500.76935,805761599.3373016,2026-08-03,1.0.0,0.7114676368782549,0.0,0.012948785388082805,0.0,0.018200104568211833,0.012948785388082805
SECD1C4E177,BHEL,Bharat Heavy Electricals Limited,Industrials,16,0.8473186119873817,0.022901695015588145,376.8999938964844,1296720372149.172,4193728750.906015,2026-08-03,1.0.0,0.6894268996956072,0.004846932660261426,0.015789044592371276,0.003341605756997417,0.018054762355326718,0.012447438835373859
SEC31D4BC12,GVT&D,GE Vernova T&D India Ltd,Industrials,17,0.832807570977918,0.022655167454010246,4890.0,1253219765557.5,4744110174.789648,2026-08-03,1.0.0,0.6919522525991528,0.004684334373569225,0.015676294152813405,0.0032413357217188667,0.01797083308044102,0.012434958431094538
SEC3069B975,APARINDS,APAR Industries Limited,Industrials,18,0.8430599369085173,0.021034334860252742,15300.0,612255341400.0,1849503312.0,2026-08-03,1.0.0,0.5776410362479962,0.0,0.012150294985463744,0.0,0.021034334860252742,0.012150294985463744
SEC2FE15581,NYKAA,FSN E-Commerce Ventures Limited,Consumer Cyclical,19,0.8439922480620154,0.021201270135853042,271.0,771227796787.0096,1879164541.978723,2026-08-03,1.0.0,0.5682286375165564,0.0,0.01204716884291623,0.0,0.021201270135853042,0.01204716884291623
SECE6819099,ADANIENSOL,Adani Energy Solutions Limited,Utilities,20,0.8333333333333335,0.018243573325210836,1493.0999755859375,1792553899736.021,5095655373.06814,2026-08-03,1.0.0,0.9957519117656428,0.006700278817637036,0.018166073016015374,0.0066718154420249195,0.011543294507573802,0.011494257573990455
