Symbol,Weight
SHAIVAL.NS,0.043787993
JAKHARIA.NS,0.040849347
PGINVIT.NS,0.031655222
LAURUSLABS.NS,0.030849745
AHLWEST.NS,0.030242167
MANAV.NS,0.027837448
FEDERALBNK.NS,0.0272627
ASCOM.NS,0.026506733
STYLAMIND.NS,0.024416067
VEDL.NS,0.02427536
CUMMINSIND.NS,0.024193596
PARIN.NS,0.023274586
WHEELS.NS,0.022631656
GESHIP.NS,0.021306554
TORNTPHARM.NS,0.020769652
RELIABLE.NS,0.020509912
MINDPOOL.NS,0.020359887
MAFANG.NS,0.02032253
MCX.NS,0.0201964
NAVINFLUOR.NS,0.020102605
ABCAPITAL.NS,0.019630197
ACCORD.NS,0.019432975
EICHERMOT.NS,0.018818958
MAHICKRA.NS,0.018778823
SBIN.NS,0.018583437
VENUSREM.NS,0.018331824
BAJAJCON.NS,0.01820838
CRAFTSMAN.NS,0.017990952
ADANIPOWER.NS,0.017763674
SHIVAUM.NS,0.017276514
SEAMECLTD.NS,0.016285256
LUMAXIND.NS,0.016273519
KIRLOSENG.NS,0.01605032
KINGFA.NS,0.015912449
NAM-INDIA.NS,0.015472228
BAFNAPH.NS,0.015260755
WINSOME.NS,0.014943679
JSWSTEEL.NS,0.014865037
SHRIRAMFIN.NS,0.014513519
THANGAMAYL.NS,0.014432284
KARURVYSYA.NS,0.014385078
GVPIL.NS,0.014239666
ASTERDM.NS,0.014201565
TFCILTD.NS,0.014150993
GABRIEL.NS,0.014056247
GLENMARK.NS,0.0139910765
MTARTECH.NS,0.0139153255
EASTSILK.NS,0.01376765
KAPSTON.NS,0.013745841
POWERINDIA.NS,0.013371612
