Symbol,Weight
SHAIVAL.NS,0.16145949
PGINVIT.NS,0.06479765
INDIGRID.NS,0.053027797
MINDSPACE.NS,0.040122725
BIRET.NS,0.03729447
NESTLEIND.NS,0.02170906
EMBASSY.NS,0.020767678
MAFANG.NS,0.019437429
MARICO.NS,0.018333832
WINSOME.NS,0.018299574
SUNPHARMA.NS,0.017573737
AHIMSA.NS,0.01683644
ASIANPAINT.NS,0.01657692
ALKEM.NS,0.016358977
TORNTPHARM.NS,0.015367232
SBILIFE.NS,0.0153609635
ULTRACEMCO.NS,0.015155391
SHIVAUM.NS,0.015115878
BHARTIARTL.NS,0.014985863
BAJAJ-AUTO.NS,0.014807251
ANURAS.NS,0.014478751
KIMS.NS,0.014273465
TATACONSUM.NS,0.014104564
POWERGRID.NS,0.0140898945
JAKHARIA.NS,0.014060336
NTPC.NS,0.014042888
TITAN.NS,0.014033102
LT.NS,0.01393429
MARUTI.NS,0.013624618
ALIVUS.NS,0.013620727
ZYDUSWELL.NS,0.013493868
GRASIM.NS,0.013385458
ZYDUSLIFE.NS,0.0133616915
DIVISLAB.NS,0.013356827
HEROMOTOCO.NS,0.012648713
LUPIN.NS,0.012526838
VERA.NS,0.012498191
AHLWEST.NS,0.012421002
SHYAMMETL.NS,0.012362953
GRETEX.NS,0.012333507
EICHERMOT.NS,0.012235419
3MINDIA.NS,0.012179952
DMART.NS,0.012031418
AIAENG.NS,0.011982905
MINDPOOL.NS,0.011842888
BOSCHLTD.NS,0.0117701655
SBIN.NS,0.011506787
TVSMOTOR.NS,0.011491004
ZFCVINDIA.NS,0.011475565
AJANTPHARM.NS,0.011443989
