Metric,Value
risk_budget_score,44.57
risk_regime,CAUTIOUS
target_cash_level,28.8
target_gross_exposure,71.2
target_net_exposure,67.64
position_size_scaler,0.71
max_position_size,3.55
sector_risk_budget,7.12
turnover_budget,17.75
portfolio_leverage_limit,0.85
governance_status,HIGH_RISK
Cash_Buffer,28.8
Target_Gross_Exposure,71.2
Target_Net_Exposure,67.64
Long_Exposure_Limit,71.2
Short_Exposure_Limit,3.56
Portfolio_Leverage_Limit,0.85
Max_Position_Weight,3.5
Target_Position_Weight,2.45
Min_Position_Weight,0.35
Position_Size_Scaler,0.71
Max_Sector_Weight,7.12
Target_Sector_Weight,6.05
Min_Sector_Weight,1.07
Target_Number_of_Holdings,60
Max_Portfolio_Beta,0.85
Volatility_Target,12
Tracking_Error_Budget,6
Risk_Budget_Score,44.57
Minimum_Diversification,60
Maximum_Concentration,3.5
Investable_Capital,71.2
Investment_Committee_Approval,False
Override_Allowed,False
Constraint_Health_Score,100
Constraint_Status,EXCELLENT
Constraint_ID,D92DA1087256
Generated_Timestamp,2026-08-04T11:03:11+00:00Z
Constraint_Version,1.0.0
Policy_Version,InstitutionalPolicy-2026.1
Source_Engine,PortfolioConstraintEngine
