Symbol,Weight
SHAIVAL.NS,0.060498226
PGINVIT.NS,0.038325734
INDIGRID.NS,0.034670703
MINDSPACE.NS,0.03015824
BIRET.NS,0.02907589
NESTLEIND.NS,0.022183565
EMBASSY.NS,0.021697257
MAFANG.NS,0.020990862
MARICO.NS,0.020386254
WINSOME.NS,0.0203672
SUNPHARMA.NS,0.019959189
AHIMSA.NS,0.019536015
ASIANPAINT.NS,0.019384865
ALKEM.NS,0.019257013
TORNTPHARM.NS,0.01866417
SBILIFE.NS,0.018660361
ULTRACEMCO.NS,0.018535078
SHIVAUM.NS,0.018510899
BHARTIARTL.NS,0.018431118
BAJAJ-AUTO.NS,0.018320952
ANURAS.NS,0.018116586
KIMS.NS,0.017987696
TATACONSUM.NS,0.017880954
POWERGRID.NS,0.017871654
JAKHARIA.NS,0.017852897
NTPC.NS,0.017841818
TITAN.NS,0.017835598
LT.NS,0.017772693
MARUTI.NS,0.017574096
ALIVUS.NS,0.017571587
ZYDUSWELL.NS,0.017489567
GRASIM.NS,0.01741917
ZYDUSLIFE.NS,0.017403698
DIVISLAB.NS,0.017400531
HEROMOTOCO.NS,0.016933005
LUPIN.NS,0.01685123
VERA.NS,0.01683195
AHLWEST.NS,0.01677989
SHYAMMETL.NS,0.016740637
GRETEX.NS,0.016720688
EICHERMOT.NS,0.016654065
3MINDIA.NS,0.016616274
DMART.NS,0.016514644
AIAENG.NS,0.016481316
MINDPOOL.NS,0.016384743
BOSCHLTD.NS,0.01633436
SBIN.NS,0.016150571
TVSMOTOR.NS,0.016139489
ZFCVINDIA.NS,0.016128646
AJANTPHARM.NS,0.01610644
