Symbol,First_Date,Last_Date,History_Days,Last_Close
20MICRONS.NS,2020-01-01,2026-06-19,1602,184.13999938964844
360ONE.NS,2020-01-01,2026-06-19,1602,1145.0999755859375
3MINDIA.NS,2020-01-01,2026-06-19,1601,33125.0
5PAISA.NS,2020-01-01,2026-06-19,1602,325.20001220703125
63MOONS.NS,2020-01-01,2026-06-19,1603,670.4500122070312
AADHARHFC.NS,2024-05-15,2026-06-19,522,515.0999755859375
AARTIDRUGS.NS,2020-01-01,2026-06-19,1603,370.3500061035156
AARTIIND.NS,2020-01-01,2026-06-19,1603,484.5
AARTIPHARM.NS,2023-01-30,2026-06-19,837,691.7999877929688
AARTISURF.NS,2020-07-14,2026-06-19,1470,386.70001220703125
AAVAS.NS,2020-01-01,2026-06-19,1603,1471.9000244140625
ABB.NS,2020-01-01,2026-06-19,1603,7248.0
ABBOTINDIA.NS,2020-01-01,2026-06-19,1603,26215.0
ABCAPITAL.NS,2020-01-01,2026-06-19,1603,375.8999938964844
ABDL.NS,2024-07-02,2026-06-19,489,631.25
ABFRL.NS,2020-01-01,2026-06-19,1603,60.63999938964844
ABREL.NS,2020-01-01,2026-06-19,1603,1279.5
ABSLAMC.NS,2021-10-11,2026-06-19,1161,1180.5999755859375
ACC.NS,2020-01-01,2026-06-19,1603,1343.300048828125
ACCELYA.NS,2020-01-01,2026-06-19,1603,1127.699951171875
ACE.NS,2020-01-01,2026-06-19,1603,975.6500244140625
ACI.NS,2022-11-21,2026-06-19,885,527.75
ACMESOLAR.NS,2024-11-13,2026-06-19,397,337.6499938964844
ACUTAAS.NS,2021-09-14,2026-06-19,1180,3246.199951171875
ADANIENSOL.NS,2020-01-01,2026-06-19,1603,1507.4000244140625
ADANIENT.NS,2020-01-01,2026-06-19,1603,3038.39990234375
ADANIGREEN.NS,2020-01-01,2026-06-19,1603,1502.4000244140625
ADANIPORTS.NS,2020-01-01,2026-06-19,1603,1835.300048828125
ADANIPOWER.NS,2020-01-01,2026-06-19,1603,231.75999450683594
ADFFOODS.NS,2020-01-01,2026-06-19,1603,306.8500061035156
ADOR.NS,2020-01-01,2026-06-19,1603,1216.4000244140625
ADSL.NS,2020-01-01,2026-06-19,1603,123.83000183105469
ADVENZYMES.NS,2020-01-01,2026-06-19,1603,373.70001220703125
AEGISLOG.NS,2020-01-01,2026-06-19,1601,1007.7999877929688
AEGISVOPAK.NS,2025-06-02,2026-06-19,263,238.35000610351562
AEROENTER.NS,2022-11-21,2026-06-19,885,135.8699951171875
AEROFLEX.NS,2023-08-31,2026-06-19,692,507.25
AETHER.NS,2022-06-03,2026-06-19,1001,1162.300048828125
AFCONS.NS,2024-11-04,2026-06-19,404,313.45001220703125
AFFLE.NS,2020-01-01,2026-06-19,1603,1463.699951171875
AFSL.NS,2022-12-23,2026-06-19,860,201.02000427246094
AGARIND.NS,2020-01-01,2026-06-19,1601,547.7999877929688
AGARWALEYE.NS,2025-02-04,2026-06-19,338,466.6499938964844
AGI.NS,2020-01-01,2026-06-19,1602,731.1500244140625
AGIIL.NS,2024-07-15,2026-06-19,481,375.6499938964844
AHLUCONT.NS,2020-01-01,2026-06-19,1603,838.7999877929688
AIAENG.NS,2020-01-01,2026-06-19,1601,4687.0
AIIL.NS,2024-04-23,2026-06-19,537,543.7999877929688
