Security_ID,Symbol,Yahoo_Symbol,Company_Name,Sector,Industry,Market_Cap,Market_Cap_Category,Last_Close,ADV,History_Days,Missing_Close,Exchange,Country,Currency,Asset_Type,Universe_Flag,Is_Active,Created_Date,Last_Updated
SECDB5ED21A,RELIANCE,RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,17274201318577.5,Large Cap,1272.4000244140625,17101876593.442516,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SEC6ED3E973,HDFCBANK,HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,11779119316350.0,Large Cap,754.5,20194394673.08966,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SEC3536398B,BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,11056629986929.332,Large Cap,1790.199951171875,13381980801.137247,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SECABC5313E,ICICIBANK,ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,9573305787285.0,Large Cap,1325.0999755859375,18541665379.5912,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SEC10D35CD2,SBIN,SBIN.NS,State Bank of India,Financial Services,Banks - Regional,9329385306848.637,Large Cap,1003.6500244140624,15816422339.74649,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SECB0B6FC80,TCS,TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,7798787645049.0,Large Cap,2138.5,5389644920.485057,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SEC47F7A3D4,BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,5546034873797.011,Large Cap,873.7000122070312,9653875368.334532,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SECC5626071,LT,LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,5464841809297.5,Large Cap,3882.0,8580767497.526656,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SEC3300AE36,HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,5059844782717.0,Large Cap,2154.800048828125,3690311345.129688,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SECF63D70F8,LICI,LICI.NS,Life Insurance Corporation of India,Financial Services,Insurance - Life,5006868025692.711,Large Cap,393.6499938964844,1638868839.20736,1008.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SECBA2E8C5E,INFY,INFY.NS,Infosys Limited,Technology,Information Technology Services,4524720842451.505,Large Cap,1120.9000244140625,8227374246.224291,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SEC5189EE84,SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,4341596628215.0,Large Cap,1799.0,4907572254.314217,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SEC23029172,ADANIPOWER,ADANIPOWER.NS,Adani Power Limited,Utilities,Utilities - Independent Power Producers,4205798997590.7886,Large Cap,218.1000061035156,11033335791.401651,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SEC69C34B0A,AXISBANK,AXISBANK.NS,Axis Bank Limited,Financial Services,Banks - Regional,4179866654206.567,Large Cap,1333.0999755859375,12010069146.000006,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SECD0A85045,MARUTI,MARUTI.NS,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,4169606936388.0,Large Cap,13191.0,7258839226.628432,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SEC6ACA80F1,ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,4125469104629.799,Large Cap,1812.5999755859373,10411468439.359137,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SEC7850A2C2,KOTAKBANK,KOTAKBANK.NS,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,3987537737746.596,Large Cap,395.1499938964844,7913237984.458948,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SECFF5B2699,ADANIENT,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,3787316140402.608,Large Cap,2947.5,8707572537.728191,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SEC8084428B,TITAN,TITAN.NS,Titan Company Limited,Consumer Cyclical,Luxury Goods,3657287606980.0,Large Cap,4057.5,4623362683.031098,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SEC74B4A6F9,M&M,M&M.NS,Mahindra & Mahindra Limited,Consumer Cyclical,Auto Manufacturers,3604087935396.0,Large Cap,3000.0,9073079033.117931,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SECB4F1594C,ITC,ITC.NS,ITC Limited,Consumer Defensive,Tobacco,3564633711719.5,Large Cap,281.8999938964844,4780057881.448667,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
SECF3AF7C83,NTPC,NTPC.NS,NTPC Limited,Utilities,Utilities - Regulated Electric,3423892871099.1533,Large Cap,352.1000061035156,4958704533.359623,1238.0,0.0,NSE,India,INR,Equity,1,1,2026-06-12,2026-06-12
