Symbol,Yahoo_Symbol,Company_Name,Sector,Industry,Last_Updated,Market_Cap,Last_Close,Avg_Volume,ADV,History_Days,Missing_Close,Exchange,Country,Currency,Asset_Class,Metadata_Source,Market_Cap_Category,Liquidity_Category
RELIANCE,RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,2026-06-20,17274201318577.5,1284.199951171875,13436959.55528652,17255742804.79741,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
HDFCBANK,HDFCBANK.NS,HDFC Bank Limited,Financial Services,Banks - Regional,2026-06-20,11779119316350.0,770.2999877929688,26764331.56174334,20616564275.297863,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
BHARTIARTL,BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,Telecom Services,2026-06-20,11056629986929.332,1817.0,7472436.845843422,13577417748.8975,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
ICICIBANK,ICICIBANK.NS,ICICI Bank Limited,Financial Services,Banks - Regional,2026-06-20,9573305787285.0,1339.5999755859375,13991687.253430186,18743263903.10115,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
SBIN,SBIN.NS,State Bank of India,Financial Services,Banks - Regional,2026-06-20,9329385306848.637,1014.5,15753427.121065374,15981851814.320822,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
TCS,TCS.NS,Tata Consultancy Services Limited,Technology,Information Technology Services,2026-06-20,7798787645049.0,2153.60009765625,2519590.593220339,5426190547.613091,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,Credit Services,2026-06-20,5546034873797.011,906.2000122070312,11047027.60613398,10010816551.530024,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
LT,LT.NS,Larsen & Toubro Limited,Industrials,Engineering & Construction,2026-06-20,5464841809297.5,4020.0,2210372.124293785,8885695939.661018,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
HINDUNILVR,HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,Household & Personal Products,2026-06-20,5059844782717.0,2163.0,1711898.3066989507,3702836037.389831,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
LICI,LICI.NS,Life Insurance Corporation of India,Financial Services,Insurance - Life,2026-06-20,5006868025692.711,398.0499877929688,4160603.456888008,1656128155.225655,1009,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
INFY,INFY.NS,Infosys Limited,Technology,Information Technology Services,2026-06-20,4524720842451.505,1114.800048828125,7337361.972558515,8179691485.277861,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
SUNPHARMA,SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2026-06-20,4341596628215.0,1807.199951171875,2726454.0573042776,4927247639.232651,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
ADANIPOWER,ADANIPOWER.NS,Adani Power Limited,Utilities,Utilities - Independent Power Producers,2026-06-20,4205798997590.7886,220.47000122070312,50562118.58757062,11147430346.723032,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
AXISBANK,AXISBANK.NS,Axis Bank Limited,Financial Services,Banks - Regional,2026-06-20,4179866654206.567,1349.800048828125,9006408.704600485,12156850909.235785,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
MARUTI,MARUTI.NS,Maruti Suzuki India Limited,Consumer Cyclical,Auto Manufacturers,2026-06-20,4169606936388.0,13365.0,550155.4907183212,7352828133.450362,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,2026-06-20,4125469104629.799,1804.0999755859373,5740428.436642454,10356306802.399471,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
KOTAKBANK,KOTAKBANK.NS,Kotak Mahindra Bank Limited,Financial Services,Banks - Regional,2026-06-20,3987537737746.596,403.4500122070313,20020901.560129136,8077432978.829871,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
ADANIENT,ADANIENT.NS,Adani Enterprises Limited,Energy,Thermal Coal,2026-06-20,3787316140402.608,2920.199951171875,2953231.6037126714,8624026784.960981,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
TITAN,TITAN.NS,Titan Company Limited,Consumer Cyclical,Luxury Goods,2026-06-20,3657287606980.0,4124.0,1139125.9757869248,4697755524.145278,1239,0.0,NSE,India,INR,Equity,Institutional_Quant_Platform,Large Cap,Highly Liquid
