Symbol,Yahoo_Symbol,Company_Name,Sector,Industry,Market_Cap
20MICRONS,20MICRONS.NS,,,,0
21STCENMGM,21STCENMGM.NS,,,,0
360ONE,360ONE.NS,,,,0
3BBLACKBIO,3BBLACKBIO.NS,,,,0
3IINFOLTD,3IINFOLTD.NS,,,,0
3MINDIA,3MINDIA.NS,,,,0
3PLAND,3PLAND.NS,,,,0
5PAISA,5PAISA.NS,,,,0
63MOONS,63MOONS.NS,,,,0
A2ZINFRA,A2ZINFRA.NS,,,,0
AAATECH,AAATECH.NS,,,,0
AADHARHFC,AADHARHFC.NS,,,,0
AAKASH,AAKASH.NS,,,,0
AAREYDRUGS,AAREYDRUGS.NS,,,,0
AARNAV,AARNAV.NS,,,,0
AARON,AARON.NS,,,,0
AARTECH,AARTECH.NS,,,,0
AARTIDRUGS,AARTIDRUGS.NS,,,,0
AARTIIND,AARTIIND.NS,,,,0
AARTIPHARM,AARTIPHARM.NS,,,,0
AARTISURF,AARTISURF.NS,,,,0
AARVI,AARVI.NS,,,,0
AATMAJ,AATMAJ.NS,,,,0
AAVAS,AAVAS.NS,,,,0
ABAN,ABAN.NS,,,,0
ABANSENT,ABANSENT.NS,,,,0
ABB,ABB.NS,,,,0
ABBOTINDIA,ABBOTINDIA.NS,,,,0
ABCAPITAL,ABCAPITAL.NS,,,,0
ABCOTS,ABCOTS.NS,,,,0
ABDL,ABDL.NS,,,,0
ABFRL,ABFRL.NS,,,,0
ABGSEC,ABGSEC.NS,,,,0
ABINFRA,ABINFRA.NS,,,,0
ABLBL,ABLBL.NS,,,,0
ABMINTLLTD,ABMINTLLTD.NS,,,,0
ABMKNO,ABMKNO.NS,,,,0
ABREL,ABREL.NS,,,,0
ABSLAMC,ABSLAMC.NS,,,,0
ABSMARINE,ABSMARINE.NS,,,,0
ACC,ACC.NS,,,,0
ACCELYA,ACCELYA.NS,,,,0
ACCENTMIC,ACCENTMIC.NS,,,,0
ACCORD,ACCORD.NS,,,,0
ACCURACY,ACCURACY.NS,,,,0
ACE,ACE.NS,,,,0
ACEINTEG,ACEINTEG.NS,,,,0
ACI,ACI.NS,,,,0
ACL,ACL.NS,,,,0
ACMESOLAR,ACMESOLAR.NS,,,,0
ACSTECH,ACSTECH.NS,,,,0
ACUTAAS,ACUTAAS.NS,,,,0
ADANIENSOL,ADANIENSOL.NS,,,,0
ADANIENT,ADANIENT.NS,,,,0
ADANIGREEN,ADANIGREEN.NS,,,,0
ADANIPORTS,ADANIPORTS.NS,,,,0
ADANIPOWER,ADANIPOWER.NS,,,,0
ADFFOODS,ADFFOODS.NS,,,,0
ADL,ADL.NS,,,,0
ADOR,ADOR.NS,,,,0
ADROITINFO,ADROITINFO.NS,,,,0
ADSL,ADSL.NS,,,,0
ADVAIT,ADVAIT.NS,,,,0
ADVANCE,ADVANCE.NS,,,,0
ADVANIHOTR,ADVANIHOTR.NS,,,,0
ADVENTHTL,ADVENTHTL.NS,,,,0
ADVENZYMES,ADVENZYMES.NS,,,,0
AEGISLOG,AEGISLOG.NS,,,,0
AEGISVOPAK,AEGISVOPAK.NS,,,,0
AEPL,AEPL.NS,,,,0
AEQUS,AEQUS.NS,,,,0
AEROENTER,AEROENTER.NS,,,,0
AEROFLEX,AEROFLEX.NS,,,,0
AERONEU,AERONEU.NS,,,,0
AETHER,AETHER.NS,,,,0
AFCONS,AFCONS.NS,,,,0
AFFLE,AFFLE.NS,,,,0
AFFORDABLE,AFFORDABLE.NS,,,,0
AFIL,AFIL.NS,,,,0
AFSL,AFSL.NS,,,,0
AGARIND,AGARIND.NS,,,,0
AGARWALEYE,AGARWALEYE.NS,,,,0
AGARWALFT,AGARWALFT.NS,,,,0
AGI,AGI.NS,,,,0
AGIIL,AGIIL.NS,,,,0
AGNI,AGNI.NS,,,,0
AGRITECH,AGRITECH.NS,,,,0
AGROPHOS,AGROPHOS.NS,,,,0
AGUL,AGUL.NS,,,,0
AHCL,AHCL.NS,,,,0
AHIMSA,AHIMSA.NS,,,,0
AHLADA,AHLADA.NS,,,,0
AHLEAST,AHLEAST.NS,,,,0
AHLUCONT,AHLUCONT.NS,,,,0
AHLWEST,AHLWEST.NS,,,,0
AIAENG,AIAENG.NS,,,,0
AIIL,AIIL.NS,,,,0
AILIMITED,AILIMITED.NS,,,,0
AIMTRON,AIMTRON.NS,,,,0
AIRAN,AIRAN.NS,,,,0
AIROLAM,AIROLAM.NS,,,,0
AISL,AISL.NS,,,,0
AJANTPHARM,AJANTPHARM.NS,,,,0
AJAXENGG,AJAXENGG.NS,,,,0
AJMERA,AJMERA.NS,,,,0
AJOONI,AJOONI.NS,,,,0
AKASH,AKASH.NS,,,,0
AKCAPIT,AKCAPIT.NS,,,,0
AKG,AKG.NS,,,,0
AKI,AKI.NS,,,,0
AKIKO,AKIKO.NS,,,,0
AKSHAR,AKSHAR.NS,,,,0
AKSHARCHEM,AKSHARCHEM.NS,,,,0
AKSHOPTFBR,AKSHOPTFBR.NS,,,,0
AKUMS,AKUMS.NS,,,,0
ALANKIT,ALANKIT.NS,,,,0
ALBERTDAVD,ALBERTDAVD.NS,,,,0
ALEMBICLTD,ALEMBICLTD.NS,,,,0
ALGOQUANT,ALGOQUANT.NS,,,,0
ALICON,ALICON.NS,,,,0
ALIVUS,ALIVUS.NS,,,,0
ALKALI,ALKALI.NS,,,,0
ALKEM,ALKEM.NS,,,,0
ALKYLAMINE,ALKYLAMINE.NS,,,,0
ALLCARGO,ALLCARGO.NS,,,,0
ALLDIGI,ALLDIGI.NS,,,,0
ALLETEC,ALLETEC.NS,,,,0
ALLTIME,ALLTIME.NS,,,,0
ALMONDZ,ALMONDZ.NS,,,,0
ALOKINDS,ALOKINDS.NS,,,,0
ALPA,ALPA.NS,,,,0
ALPEXSOLAR,ALPEXSOLAR.NS,,,,0
ALPHA,ALPHA.NS,,,,0
ALPHAGEO,ALPHAGEO.NS,,,,0
ALUWIND,ALUWIND.NS,,,,0
AMAGI,AMAGI.NS,,,,0
AMANTA,AMANTA.NS,,,,0
AMBALALSA,AMBALALSA.NS,,,,0
AMBER,AMBER.NS,,,,0
AMBEY,AMBEY.NS,,,,0
AMBICAAGAR,AMBICAAGAR.NS,,,,0
AMBIKCO,AMBIKCO.NS,,,,0
AMBUJACEM,AMBUJACEM.NS,,,,0
AMDIND,AMDIND.NS,,,,0
AMEYA,AMEYA.NS,,,,0
AMIABLE,AMIABLE.NS,,,,0
AMIRCHAND,AMIRCHAND.NS,,,,0
AMJLAND,AMJLAND.NS,,,,0
AMNPLST,AMNPLST.NS,,,,0
AMRUTANJAN,AMRUTANJAN.NS,,,,0
ANANDRATHI,ANANDRATHI.NS,,,,0
ANANTRAJ,ANANTRAJ.NS,,,,0
ANDHRAPAP,ANDHRAPAP.NS,,,,0
ANDHRSUGAR,ANDHRSUGAR.NS,,,,0
ANGELONE,ANGELONE.NS,,,,0
ANIKINDS,ANIKINDS.NS,,,,0
ANKITMETAL,ANKITMETAL.NS,,,,0
