Date,Regime,Close,DMA200,VOL20,BREADTH_SCORE
2017-01-02,SIDEWAYS,,,,61.47
2017-01-03,SIDEWAYS,,,,61.47
2017-01-03,SIDEWAYS,8192.25,,,61.47
2017-01-04,SIDEWAYS,8190.5,,,61.47
2017-01-04,SIDEWAYS,,,,61.47
2017-01-05,SIDEWAYS,8273.7998046875,,,61.47
2017-01-05,SIDEWAYS,,,,61.47
2017-01-06,SIDEWAYS,8243.7998046875,,,61.47
2017-01-06,SIDEWAYS,,,,61.47
2017-01-09,SIDEWAYS,,,,61.47
2017-01-09,SIDEWAYS,8236.0498046875,,,61.47
2017-01-10,SIDEWAYS,,,,61.47
2017-01-10,SIDEWAYS,8288.599609375,,,61.47
2017-01-11,SIDEWAYS,,,,61.47
2017-01-11,SIDEWAYS,8380.650390625,,,61.47
2017-01-12,SIDEWAYS,,,,61.47
2017-01-12,SIDEWAYS,8407.2001953125,,,61.47
2017-01-13,SIDEWAYS,8400.349609375,,,61.47
2017-01-13,SIDEWAYS,,,,61.47
2017-01-16,SIDEWAYS,8412.7998046875,,,61.47
2017-01-16,SIDEWAYS,,,,61.47
2017-01-17,SIDEWAYS,,,,61.47
2017-01-17,SIDEWAYS,8398.0,,,61.47
2017-01-18,SIDEWAYS,,,,61.47
2017-01-18,SIDEWAYS,8417.0,,,61.47
2017-01-19,SIDEWAYS,8435.099609375,,,61.47
2017-01-19,SIDEWAYS,,,,61.47
2017-01-20,SIDEWAYS,,,,61.47
2017-01-20,SIDEWAYS,8349.349609375,,,61.47
2017-01-23,SIDEWAYS,,,,61.47
2017-01-23,SIDEWAYS,8391.5,,,61.47
2017-01-24,SIDEWAYS,8475.7998046875,,,61.47
2017-01-24,SIDEWAYS,,,,61.47
2017-01-25,SIDEWAYS,,,,61.47
2017-01-25,SIDEWAYS,8602.75,,,61.47
2017-01-27,SIDEWAYS,,,,61.47
2017-01-27,SIDEWAYS,8641.25,,,61.47
2017-01-30,SIDEWAYS,8632.75,,,61.47
2017-01-30,SIDEWAYS,,,,61.47
2017-01-31,SIDEWAYS,,,,61.47
2017-01-31,SIDEWAYS,8561.2998046875,,,61.47
2017-02-01,SIDEWAYS,8716.400390625,,,61.47
2017-02-01,SIDEWAYS,,,,61.47
2017-02-02,SIDEWAYS,,,,61.47
2017-02-02,SIDEWAYS,8734.25,,,61.47
2017-02-03,SIDEWAYS,,,,61.47
2017-02-03,SIDEWAYS,8740.9501953125,,,61.47
2017-02-06,SIDEWAYS,,,,61.47
2017-02-06,SIDEWAYS,8801.0498046875,,,61.47
2017-02-07,SIDEWAYS,,,,61.47
2017-02-07,SIDEWAYS,8768.2998046875,,,61.47
2017-02-08,SIDEWAYS,,,,61.47
2017-02-08,SIDEWAYS,8769.0498046875,,,61.47
2017-02-09,SIDEWAYS,,,,61.47
2017-02-09,SIDEWAYS,8778.400390625,,,61.47
2017-02-10,SIDEWAYS,8793.5498046875,,,61.47
2017-02-10,SIDEWAYS,,,,61.47
2017-02-13,SIDEWAYS,8805.0498046875,,,61.47
2017-02-13,SIDEWAYS,,,,61.47
2017-02-14,SIDEWAYS,8792.2998046875,,,61.47
2017-02-14,SIDEWAYS,,,,61.47
2017-02-15,SIDEWAYS,8724.7001953125,,,61.47
2017-02-15,SIDEWAYS,,,,61.47
2017-02-16,SIDEWAYS,,,,61.47
2017-02-16,SIDEWAYS,8778.0,,,61.47
2017-02-17,SIDEWAYS,8821.7001953125,,,61.47
2017-02-17,SIDEWAYS,,,,61.47
2017-02-20,SIDEWAYS,8879.2001953125,,,61.47
2017-02-20,SIDEWAYS,,,,61.47
2017-02-21,SIDEWAYS,,,,61.47
2017-02-21,SIDEWAYS,8907.849609375,,,61.47
2017-02-22,SIDEWAYS,8926.900390625,,,61.47
2017-02-22,SIDEWAYS,,,,61.47
2017-02-23,SIDEWAYS,,,,61.47
2017-02-23,SIDEWAYS,8939.5,,,61.47
2017-02-27,SIDEWAYS,,,,61.47
2017-02-27,SIDEWAYS,8896.7001953125,,,61.47
2017-02-28,SIDEWAYS,8879.599609375,,,61.47
2017-02-28,SIDEWAYS,,,,61.47
2017-03-01,SIDEWAYS,,,,61.47
2017-03-01,SIDEWAYS,8945.7998046875,,,61.47
2017-03-02,SIDEWAYS,8899.75,,,61.47
2017-03-02,SIDEWAYS,,,,61.47
2017-03-03,SIDEWAYS,8897.5498046875,,,61.47
2017-03-03,SIDEWAYS,,,,61.47
2017-03-06,SIDEWAYS,,,,61.47
2017-03-06,SIDEWAYS,8963.4501953125,,,61.47
2017-03-07,SIDEWAYS,,,,61.47
2017-03-07,SIDEWAYS,8946.900390625,,,61.47
2017-03-08,SIDEWAYS,,,,61.47
2017-03-08,SIDEWAYS,8924.2998046875,,,61.47
2017-03-09,SIDEWAYS,8927.0,,,61.47
2017-03-09,SIDEWAYS,,,,61.47
2017-03-10,SIDEWAYS,,,,61.47
2017-03-10,SIDEWAYS,8934.5498046875,,,61.47
2017-03-14,SIDEWAYS,,,,61.47
2017-03-14,SIDEWAYS,9087.0,,,61.47
2017-03-15,SIDEWAYS,9084.7998046875,,,61.47
2017-03-15,SIDEWAYS,,,,61.47
2017-03-16,SIDEWAYS,,,,61.47
2017-03-16,SIDEWAYS,9153.7001953125,,,61.47
2017-03-17,SIDEWAYS,,,,61.47
2017-03-17,SIDEWAYS,9160.0498046875,,,61.47
2017-03-20,SIDEWAYS,,,,61.47
2017-03-20,SIDEWAYS,9126.849609375,,,61.47
2017-03-21,SIDEWAYS,,,,61.47
2017-03-21,SIDEWAYS,9121.5,,,61.47
2017-03-22,SIDEWAYS,,,,61.47
2017-03-22,SIDEWAYS,9030.4501953125,,,61.47
2017-03-23,SIDEWAYS,9086.2998046875,,,61.47
2017-03-23,SIDEWAYS,,,,61.47
2017-03-24,SIDEWAYS,,,,61.47
2017-03-24,SIDEWAYS,9108.0,,,61.47
2017-03-27,SIDEWAYS,,,,61.47
2017-03-27,SIDEWAYS,9045.2001953125,,,61.47
2017-03-28,SIDEWAYS,,,,61.47
2017-03-28,SIDEWAYS,9100.7998046875,,,61.47
2017-03-29,SIDEWAYS,,,,61.47
2017-03-29,SIDEWAYS,9143.7998046875,,,61.47
2017-03-30,SIDEWAYS,,,,61.47
2017-03-30,SIDEWAYS,9173.75,,,61.47
2017-03-31,SIDEWAYS,9173.75,,,61.47
2017-03-31,SIDEWAYS,,,,61.47
2017-04-03,SIDEWAYS,,,,61.47
2017-04-03,SIDEWAYS,9237.849609375,,,61.47
2017-04-05,SIDEWAYS,9265.150390625,,,61.47
2017-04-05,SIDEWAYS,,,,61.47
2017-04-06,SIDEWAYS,9261.9501953125,,,61.47
2017-04-06,SIDEWAYS,,,,61.47
2017-04-07,SIDEWAYS,9198.2998046875,,,61.47
2017-04-07,SIDEWAYS,,,,61.47
