Factor,1,3,6,12,Persistence_Score,Grade,Rank
Market_Cap,0.07685218276136284,0.10219297558661085,0.14409836979131246,0.1814067782996811,0.5045503064389673,Exceptional,1
Momentum_12M,0.0384644834920459,0.06147641535385128,0.08116713522946112,0.07843607334106585,0.25954410741642414,Exceptional,2
Distance_52W_High,0.03322849828117196,0.049585842729641894,0.0824406065840036,0.086591804788032,0.2518467523828495,Exceptional,3
Distance_SMA200,0.014576901459553768,0.0384689706726896,0.07879245580973597,0.09800781459521185,0.22984614253719118,Strong,4
Momentum_6M,0.014293693247855031,0.030553613089671798,0.07027937265340863,0.09295670438591122,0.20808338337684668,Strong,5
Max_Drawdown_252D,0.031245238057974203,0.028502571825973082,0.03890030259604458,0.028897494860597034,0.1275456073405889,Good,6
Momentum_3M,-0.0031812975009758173,0.01451697678249895,0.034733716518315055,0.0798308977213146,0.12590029352115278,Good,7
Distance_SMA50,-0.016058257797934437,-0.00048643331177782327,0.023010935743455113,0.06239456572513945,0.06886081035888231,Moderate,8
Momentum_1M,-0.013500455999372723,-0.00325126043357093,0.015641012975758654,0.042060848194546155,0.04095014473736115,Weak,9
Volatility_20D,-0.02464554229726239,-0.01154005583525428,-0.00255158928133602,0.01338815060074553,-0.025349036813107156,Weak,10
Volatility_60D,-0.031206533886176908,-0.01446304099194358,-0.010272210488292856,0.01839951271209172,-0.03754227265432162,Weak,11
ADV_20D,0.003065539416369664,-0.024404225203167713,-0.0315378370000026,-0.057683627413434746,-0.1105601502002354,Moderate,12
Dollar_Volume,0.003065539416369664,-0.024404225203167713,-0.0315378370000026,-0.057683627413434746,-0.1105601502002354,Moderate,13
ATR_14,-0.02849267015658898,-0.0615160308544002,-0.08529374514613919,-0.12862116016612318,-0.30392360632325155,Exceptional,14
