Factor,Horizon_Months,Avg_IC,IC_Std,Positive_Months,ICIR,Abs_IC
ADV_20D,1,0.003065539416369664,0.13833077164781662,0.5208333333333334,0.022160936282307288,0.003065539416369664
ADV_20D,3,-0.024404225203167713,0.12548707073186977,0.43478260869565216,-0.19447601303334758,0.024404225203167713
ADV_20D,6,-0.0315378370000026,0.11855959077411922,0.3953488372093023,-0.2660083152622276,0.0315378370000026
ADV_20D,12,-0.057683627413434746,0.09724900962372503,0.21621621621621623,-0.5931538802978427,0.057683627413434746
ATR_14,1,-0.02849267015658898,0.1402884642244763,0.4791666666666667,-0.2031005921555867,0.02849267015658898
ATR_14,3,-0.0615160308544002,0.13061892997125826,0.3695652173913043,-0.47095800637730195,0.0615160308544002
ATR_14,6,-0.08529374514613919,0.1364396402908035,0.2558139534883721,-0.6251390355790045,0.08529374514613919
ATR_14,12,-0.12862116016612318,0.1450891191857446,0.13513513513513514,-0.8864976290982994,0.12862116016612318
Distance_52W_High,1,0.03322849828117196,0.15844841160570533,0.625,0.2097117790228166,0.03322849828117196
Distance_52W_High,3,0.049585842729641894,0.1358972618764057,0.7391304347826086,0.364877423172357,0.049585842729641894
Distance_52W_High,6,0.0824406065840036,0.09829774638586139,0.7906976744186046,0.8386825702024578,0.0824406065840036
Distance_52W_High,12,0.086591804788032,0.04373666045235901,1.0,1.9798449148250303,0.086591804788032
Distance_SMA200,1,0.014576901459553768,0.13524138304762628,0.6458333333333334,0.10778432703856926,0.014576901459553768
Distance_SMA200,3,0.0384689706726896,0.11637658690496973,0.6956521739130435,0.3305559279213302,0.0384689706726896
Distance_SMA200,6,0.07879245580973597,0.0978895973225091,0.7674418604651163,0.8049114304775891,0.07879245580973597
Distance_SMA200,12,0.09800781459521185,0.09034189700792784,0.8918918918918919,1.0848545120389856,0.09800781459521185
Distance_SMA50,1,-0.016058257797934437,0.1226682577433564,0.5416666666666666,-0.13090801233625687,0.016058257797934437
Distance_SMA50,3,-0.00048643331177782327,0.10404357252197496,0.5652173913043478,-0.004675284594587369,0.00048643331177782327
Distance_SMA50,6,0.023010935743455113,0.08060370960528895,0.6744186046511628,0.28548234139766204,0.023010935743455113
Distance_SMA50,12,0.06239456572513945,0.06602751109046495,0.8108108108108109,0.9449783082032583,0.06239456572513945
Dollar_Volume,1,0.003065539416369664,0.13833077164781662,0.5208333333333334,0.022160936282307288,0.003065539416369664
Dollar_Volume,3,-0.024404225203167713,0.12548707073186977,0.43478260869565216,-0.19447601303334758,0.024404225203167713
Dollar_Volume,6,-0.0315378370000026,0.11855959077411922,0.3953488372093023,-0.2660083152622276,0.0315378370000026
