Factor,Exposure,Contribution,Abs_Contribution,Contribution_%,Rank,Exposure_Rank,Factor_Group
Dollar_Volume,0.07065808659926685,-0.007517171266596597,0.007517171266596597,20.713977523353535,1,8.333333333333332,Liquidity
Volatility_60D,-0.03737083043825111,0.0066898577032238225,0.0066898577032238225,18.434269645388962,2,100.0,Risk
Max_Drawdown_252D,0.018098644030971875,0.0036457250335153995,0.0036457250335153995,10.045995191853047,3,25.0,Risk
Distance_SMA50,-0.018588296260540114,-0.0029498860784747095,0.0029498860784747095,8.128572804706554,4,58.333333333333336,Technical
Momentum_12M,-0.019599920081672023,-0.0028861738289051,0.0028861738289051,7.953010208253343,5,66.66666666666666,Momentum
Distance_52W_High,-0.011568470301957389,-0.002878573586675175,0.002878573586675175,7.932067324136511,6,41.66666666666667,Technical
Momentum_1M,-0.029288636990539366,-0.0026647263459771446,0.0026647263459771446,7.342799529090557,7,91.66666666666666,Momentum
Distance_SMA200,-0.02070963430831816,-0.002010114725755187,0.002010114725755187,5.538981323157518,8,75.0,Technical
Volatility_20D,-0.008175157197968245,0.0018920330404964705,0.0018920330404964705,5.213600766080473,9,33.33333333333333,Risk
Momentum_3M,-0.017328537522087545,-0.0014347596917628621,0.0014347596917628621,3.9535589854992255,10,50.0,Momentum
ATR_14,0.029104985936725968,-0.0009693490270778683,0.0009693490270778683,2.6710943847187867,11,16.666666666666664,Technical
Momentum_6M,-0.028231664943644843,-0.0007519619272424725,0.0007519619272424725,2.072072313761487,12,83.33333333333334,Momentum
