Factor,Avg_IC,IC_Std,IC_Min,IC_Max,Positive_Months,ICIR,Abs_IC,Grade
ADV_20D,0.003065539416369664,0.13833077164781662,-0.3032431218607152,0.34031728613242757,0.5208333333333334,0.022160936282307288,0.003065539416369664,Noise
ATR_14,-0.02849267015658898,0.1402884642244763,-0.2876921508426212,0.29671580665354774,0.4791666666666667,-0.2031005921555867,0.02849267015658898,Weak
Distance_52W_High,0.03322849828117196,0.15844841160570533,-0.4649381726352145,0.2689319811108085,0.625,0.2097117790228166,0.03322849828117196,Moderate
Distance_SMA200,0.014576901459553768,0.13524138304762628,-0.4346470421782615,0.22756810242896017,0.6458333333333334,0.10778432703856926,0.014576901459553768,Weak
Distance_SMA50,-0.016058257797934437,0.1226682577433564,-0.3979618713635644,0.1653677385436438,0.5416666666666666,-0.13090801233625687,0.016058257797934437,Weak
Dollar_Volume,0.003065539416369664,0.13833077164781662,-0.3032431218607152,0.34031728613242757,0.5208333333333334,0.022160936282307288,0.003065539416369664,Noise
Market_Cap,0.07685218276136284,0.16242833056608952,-0.3634322755834357,0.44291053976446904,0.7083333333333334,0.47314518651715687,0.07685218276136284,Strong
Max_Drawdown_252D,0.031245238057974203,0.15393861692709399,-0.4561774129407843,0.3298027788156027,0.5625,0.20297205913427224,0.031245238057974203,Moderate
Momentum_12M,0.0384644834920459,0.12365661553544788,-0.3042988378628529,0.28262920859747104,0.6458333333333334,0.3110588408512565,0.0384644834920459,Moderate
Momentum_1M,-0.013500455999372723,0.11285933247234062,-0.36781297503352733,0.1879335556228145,0.5416666666666666,-0.11962197280124258,0.013500455999372723,Weak
Momentum_3M,-0.0031812975009758173,0.11561170583126207,-0.37940618888266553,0.17475600121285115,0.5833333333333334,-0.027517088153850042,0.0031812975009758173,Noise
Momentum_6M,0.014293693247855031,0.12495026510456007,-0.4295771559395917,0.24498566310914768,0.625,0.11439506139417852,0.014293693247855031,Weak
Volatility_20D,-0.02464554229726239,0.11707611597080829,-0.3212621978755889,0.29812586903190263,0.4375,-0.2105087113020345,0.02464554229726239,Weak
Volatility_60D,-0.031206533886176908,0.13707350088838238,-0.334855949970629,0.3687407043048262,0.4166666666666667,-0.22766277715185873,0.031206533886176908,Moderate
