Factor,Avg_IC,IC_Std,Best_IC,Worst_IC,Timing_Score,Best_Regime,Best_Regime_IC,Rank
Market_Cap,0.06810273885441039,,0.06810273885441039,0.06810273885441039,0.0,SIDEWAYS,0.06810273885441039,1
Momentum_12M,0.041231758550576175,,0.041231758550576175,0.041231758550576175,0.0,SIDEWAYS,0.041231758550576175,2
Volatility_20D,0.03191592622128022,,0.03191592622128022,0.03191592622128022,0.0,SIDEWAYS,0.03191592622128022,3
Distance_52W_High,0.024011096540328673,,0.024011096540328673,0.024011096540328673,0.0,SIDEWAYS,0.024011096540328673,4
Volatility_60D,0.023207493136019865,,0.023207493136019865,0.023207493136019865,0.0,SIDEWAYS,0.023207493136019865,5
Max_Drawdown_252D,0.019358160049745957,,0.019358160049745957,0.019358160049745957,0.0,SIDEWAYS,0.019358160049745957,6
Distance_SMA50,0.011763990985699047,,0.011763990985699047,0.011763990985699047,0.0,SIDEWAYS,0.011763990985699047,7
Momentum_1M,0.00813566698839231,,0.00813566698839231,0.00813566698839231,0.0,SIDEWAYS,0.00813566698839231,8
Momentum_3M,0.0037450124962313722,,0.0037450124962313722,0.0037450124962313722,0.0,SIDEWAYS,0.0037450124962313722,9
Distance_SMA200,0.0007550427001018057,,0.0007550427001018057,0.0007550427001018057,0.0,SIDEWAYS,0.0007550427001018057,10
Momentum_6M,-0.006471810125547739,,-0.006471810125547739,-0.006471810125547739,0.0,SIDEWAYS,-0.006471810125547739,11
ADV_20D,-0.00736086431873591,,-0.00736086431873591,-0.00736086431873591,0.0,SIDEWAYS,-0.00736086431873591,12
Dollar_Volume,-0.00736086431873591,,-0.00736086431873591,-0.00736086431873591,0.0,SIDEWAYS,-0.00736086431873591,13
ATR_14,-0.034824435152027294,,-0.034824435152027294,-0.034824435152027294,0.0,SIDEWAYS,-0.034824435152027294,14
