Factor,Regime,IC,Observations
Momentum_1M,SIDEWAYS,-0.36781297503352733,1486
Momentum_1M,SIDEWAYS_LOW_VOL,0.05088307157388739,60468
Momentum_3M,SIDEWAYS,-0.37940618888266553,1486
Momentum_3M,SIDEWAYS_LOW_VOL,0.04104324521932407,60468
Momentum_6M,SIDEWAYS,-0.4295771559395917,1486
Momentum_6M,SIDEWAYS_LOW_VOL,0.030055875197865393,60468
Momentum_12M,SIDEWAYS,-0.3042988378628529,1486
Momentum_12M,SIDEWAYS_LOW_VOL,0.06730681761639107,60468
Volatility_20D,SIDEWAYS,0.29812586903190263,1486
Volatility_20D,SIDEWAYS_LOW_VOL,0.007009039593216298,60468
Volatility_60D,SIDEWAYS,0.3687407043048262,1486
Volatility_60D,SIDEWAYS_LOW_VOL,0.008440792004824022,60468
ATR_14,SIDEWAYS,-0.25091598539244775,1486
ATR_14,SIDEWAYS_LOW_VOL,-0.03795230852629177,60468
Max_Drawdown_252D,SIDEWAYS,-0.4561774129407843,1486
Max_Drawdown_252D,SIDEWAYS_LOW_VOL,0.04563107685397824,60468
Distance_SMA50,SIDEWAYS,-0.3979618713635644,1486
Distance_SMA50,SIDEWAYS_LOW_VOL,0.05252595070590199,60468
Distance_SMA200,SIDEWAYS,-0.4346470421782615,1486
Distance_SMA200,SIDEWAYS_LOW_VOL,0.03932975287177621,60468
Distance_52W_High,SIDEWAYS,-0.4649381726352145,1486
Distance_52W_High,SIDEWAYS_LOW_VOL,0.0572848462115471,60468
ADV_20D,SIDEWAYS,-0.2909062843273788,1486
ADV_20D,SIDEWAYS_LOW_VOL,-0.003999674912178141,60468
Dollar_Volume,SIDEWAYS,-0.2909062843273788,1486
Dollar_Volume,SIDEWAYS_LOW_VOL,-0.003999674912178141,60468
Market_Cap,SIDEWAYS,-0.3634322755834357,1486
Market_Cap,SIDEWAYS_LOW_VOL,0.07737817001028334,60468
