Symbol,Yahoo_Symbol,Raw_Beta,Beta,Observation_Count
RELIANCE,RELIANCE.NS,1.0869,1.0582,742
HDFCBANK,HDFCBANK.NS,1.0523,1.035,742
BHARTIARTL,BHARTIARTL.NS,0.8122,0.8741,742
ICICIBANK,ICICIBANK.NS,0.922,0.9477,742
SBIN,SBIN.NS,1.1731,1.116,742
TCS,TCS.NS,0.766,0.8433,742
BAJFINANCE,BAJFINANCE.NS,1.1986,1.1331,742
LT,LT.NS,1.3293,1.2207,742
HINDUNILVR,HINDUNILVR.NS,0.4618,0.6394,742
LICI,LICI.NS,1.1524,1.1021,742
INFY,INFY.NS,0.8687,0.9121,742
SUNPHARMA,SUNPHARMA.NS,0.5389,0.6911,742
ADANIPOWER,ADANIPOWER.NS,1.3586,1.2403,742
AXISBANK,AXISBANK.NS,1.1148,1.0769,742
MARUTI,MARUTI.NS,0.897,0.931,742
ADANIPORTS,ADANIPORTS.NS,1.6499,1.4355,742
KOTAKBANK,KOTAKBANK.NS,0.928,0.9518,742
ADANIENT,ADANIENT.NS,1.7385,1.4948,742
TITAN,TITAN.NS,0.8368,0.8906,742
M&M,M&M.NS,1.3335,1.2234,742
ITC,ITC.NS,0.6146,0.7418,742
NTPC,NTPC.NS,1.1089,1.0729,742
ULTRACEMCO,ULTRACEMCO.NS,1.1188,1.0796,742
JSWSTEEL,JSWSTEEL.NS,1.2404,1.1611,742
ONGC,ONGC.NS,1.026,1.0174,742
HCLTECH,HCLTECH.NS,0.8449,0.8961,742
BEL,BEL.NS,1.3036,1.2034,742
BAJAJ-AUTO,BAJAJ-AUTO.NS,0.874,0.9156,742
HAL,HAL.NS,1.3154,1.2113,742
NESTLEIND,NESTLEIND.NS,0.51,0.6717,742
COALINDIA,COALINDIA.NS,0.9582,0.972,742
BAJAJFINSV,BAJAJFINSV.NS,1.1388,1.093,742
POWERGRID,POWERGRID.NS,0.9609,0.9738,742
ASIANPAINT,ASIANPAINT.NS,0.7165,0.8101,742
DMART,DMART.NS,0.4784,0.6505,742
TATASTEEL,TATASTEEL.NS,1.3465,1.2322,742
ADANIGREEN,ADANIGREEN.NS,1.7205,1.4827,742
HINDZINC,HINDZINC.NS,1.098,1.0656,742
HINDALCO,HINDALCO.NS,1.0885,1.0593,742
ETERNAL,ETERNAL.NS,1.1553,1.104,742
SHRIRAMFIN,SHRIRAMFIN.NS,1.6848,1.4588,742
GRASIM,GRASIM.NS,1.0556,1.0372,742
EICHERMOT,EICHERMOT.NS,1.0626,1.042,742
IOC,IOC.NS,1.2631,1.1763,742
WIPRO,WIPRO.NS,0.9831,0.9887,742
INDIGO,INDIGO.NS,1.2154,1.1443,740
ADANIENSOL,ADANIENSOL.NS,1.5545,1.3715,742
DIVISLAB,DIVISLAB.NS,0.6193,0.745,740
VBL,VBL.NS,0.8603,0.9064,742
SBILIFE,SBILIFE.NS,0.8241,0.8821,742
BSE,BSE.NS,1.286,1.1916,742
HYUNDAI,HYUNDAI.NS,0.7656,0.8429,412
PIDILITIND,PIDILITIND.NS,0.642,0.7602,742
TVSMOTOR,TVSMOTOR.NS,1.0677,1.0454,742
CUMMINSIND,CUMMINSIND.NS,1.1565,1.1049,742
SOLARINDS,SOLARINDS.NS,0.9299,0.953,740
TORNTPHARM,TORNTPHARM.NS,0.4305,0.6184,742
JIOFIN,JIOFIN.NS,1.3615,1.2422,699
POWERINDIA,POWERINDIA.NS,1.0321,1.0215,742
MOTHERSON,MOTHERSON.NS,1.445,1.2982,742
TRENT,TRENT.NS,1.1881,1.1261,742
ABB,ABB.NS,1.1588,1.1064,742
POLYCAB,POLYCAB.NS,1.0885,1.0593,742
CGPOWER,CGPOWER.NS,1.0878,1.0588,742
DLF,DLF.NS,1.6483,1.4344,742
TMPV,TMPV.NS,1.2828,1.1895,742
BANKBARODA,BANKBARODA.NS,1.391,1.262,742
PFC,PFC.NS,1.754,1.5052,742
BHEL,BHEL.NS,1.6561,1.4396,742
CHOLAFIN,CHOLAFIN.NS,1.3199,1.2143,742
UNIONBANK,UNIONBANK.NS,1.446,1.2988,742
TECHM,TECHM.NS,0.8488,0.8987,742
SIEMENS,SIEMENS.NS,1.1644,1.1101,740
BPCL,BPCL.NS,1.3027,1.2028,742
TATAPOWER,TATAPOWER.NS,1.249,1.1668,742
GVT&D,GVT&D.NS,0.9352,0.9566,742
BRITANNIA,BRITANNIA.NS,0.4621,0.6396,742
IRFC,IRFC.NS,1.473,1.3169,742
APOLLOHOSP,APOLLOHOSP.NS,0.6236,0.7478,742
PNB,PNB.NS,1.4582,1.307,742
MUTHOOTFIN,MUTHOOTFIN.NS,1.003,1.002,742
VEDL,VEDL.NS,1.3497,1.2343,742
HDFCLIFE,HDFCLIFE.NS,0.769,0.8452,742
CANBK,CANBK.NS,1.43,1.2881,742
JINDALSTEL,JINDALSTEL.NS,1.2232,1.1495,742
BOSCHLTD,BOSCHLTD.NS,0.9343,0.956,740
LTM,LTM.NS,0.9296,0.9528,742
CIPLA,CIPLA.NS,0.5373,0.69,742
INDIANB,INDIANB.NS,1.1901,1.1274,742
ZYDUSLIFE,ZYDUSLIFE.NS,0.7453,0.8294,742
BAJAJHLDNG,BAJAJHLDNG.NS,0.8825,0.9213,742
INDUSTOWER,INDUSTOWER.NS,1.1989,1.1333,742
GAIL,GAIL.NS,1.4416,1.2959,742
TATACONSUM,TATACONSUM.NS,0.6519,0.7668,742
GMRAIRPORT,GMRAIRPORT.NS,1.3981,1.2667,742
MARICO,MARICO.NS,0.4172,0.6095,742
DRREDDY,DRREDDY.NS,0.5422,0.6933,742
GODREJCP,GODREJCP.NS,0.603,0.734,742
LUPIN,LUPIN.NS,0.6116,0.7397,742
HDFCAMC,HDFCAMC.NS,1.4504,1.3018,742
AMBUJACEM,AMBUJACEM.NS,1.4131,1.2768,742
JSWENERGY,JSWENERGY.NS,1.2663,1.1784,742
MANKIND,MANKIND.NS,0.5447,0.6949,740
LLOYDSME,LLOYDSME.NS,1.402,1.2694,723
MAXHEALTH,MAXHEALTH.NS,0.6991,0.7984,742
HEROMOTOCO,HEROMOTOCO.NS,0.947,0.9645,742
MAZDOCK,MAZDOCK.NS,1.4574,1.3065,742
INDHOTEL,INDHOTEL.NS,1.2811,1.1883,742
UNITDSPR,UNITDSPR.NS,0.6795,0.7852,742
BHARATFORG,BHARATFORG.NS,1.3228,1.2163,740
RECLTD,RECLTD.NS,1.8066,1.5404,742
ABCAPITAL,ABCAPITAL.NS,1.4904,1.3286,742
LODHA,LODHA.NS,1.5546,1.3716,742
WAAREEENER,WAAREEENER.NS,1.0975,1.0653,408
SHREECEM,SHREECEM.NS,0.7938,0.8618,742
ASHOKLEY,ASHOKLEY.NS,1.4489,1.3008,742
AUROPHARMA,AUROPHARMA.NS,0.6778,0.7841,740
ICICIGI,ICICIGI.NS,0.73,0.8191,742
