Metric,Value,Engine_Version,Run_Date
CAGR,0.39200151213210765,1.0.0,2026-07-25
Sharpe_Ratio,2.012920070982081,1.0.0,2026-07-25
Sortino_Ratio,2.436925774250754,1.0.0,2026-07-25
Calmar_Ratio,2.12971700797852,1.0.0,2026-07-25
Max_Drawdown,-0.1840627231991666,1.0.0,2026-07-25
Stress_VaR_95,-0.27183533106331026,1.0.0,2026-07-25
Stress_CVaR_95,-0.29999999999999993,1.0.0,2026-07-25
Historical_VaR_95,0.037057436364368423,1.0.0,2026-07-25
Historical_CVaR_95,0.03178943111239796,1.0.0,2026-07-25
Factor_VaR_95,-0.022096313914410075,1.0.0,2026-07-25
Factor_CVaR_95,-0.02500751540272658,1.0.0,2026-07-25
Effective_Factors,4.499999999999999,1.0.0,2026-07-25
Liquidity_Score,49.99999999999997,1.0.0,2026-07-25
Capacity_Utilization,0.0008560139800954481,1.0.0,2026-07-25
