Factor,Eigenvalue,Explained_Variance,Cumulative_Variance
PC_1,70.4183,0.1573029,0.1573029
PC_2,6.2663774,0.013998058,0.17130096
PC_3,3.7430098,0.008361269,0.17966223
PC_4,2.2255929,0.004971609,0.18463384
PC_5,1.9312903,0.004314185,0.18894802
PC_6,1.6746643,0.0037409249,0.19268894
PC_7,1.5638337,0.0034933477,0.1961823
PC_8,1.5214999,0.0033987807,0.19958107
PC_9,1.3822159,0.003087643,0.20266871
PC_10,1.2590826,0.0028125837,0.20548129
PC_11,1.2154274,0.0027150651,0.20819636
PC_12,1.1641836,0.002600595,0.21079695
PC_13,1.1507744,0.0025706408,0.2133676
PC_14,1.0861909,0.0024263721,0.21579397
PC_15,1.0677967,0.0023852824,0.21817926
PC_16,1.0541496,0.0023547972,0.22053406
PC_17,1.0513122,0.0023484589,0.22288251
PC_18,1.0320362,0.0023053994,0.22518791
PC_19,1.0045838,0.0022440753,0.22743198
PC_20,0.9902582,0.0022120741,0.22964406
