Scenario,Symbol,Company_Name,Sector,Weight,Position_Value,Factor_Stress_Return,Stress_PnL,Stress_Value,Contribution,Momentum_PnL,LowVol_PnL,Size_PnL,Liquidity_PnL,Trend_PnL,Loss_Rank
LOWVOL_REVERSAL,POWERINDIA,Hitachi Energy India Limited,Industrials,0.02369572345568145,236957.23455681448,0.617993956022361,146438.13879188427,383395.3733486987,0.014643813879188427,0.0,146438.13879188427,0.0,0.0,0.0,50.0
MULTI_FACTOR_CRISIS,PHOENIXLTD,The Phoenix Mills Limited,Real Estate,0.02098866569632144,209886.65696321442,0.5521788361572773,115894.96996688943,325781.62693010387,0.011589496996688943,24791.272913814137,0.0,0.0,58009.492429284604,33094.2046237907,50.0
SMALL_CAP_SELLOFF,SBIN,State Bank of India,Financial Services,0.023272599684859244,232725.99684859245,0.4924846568560948,114613.98269947166,347339.9795480641,0.011461398269947166,0.0,0.0,114613.98269947166,0.0,0.0,50.0
MULTI_FACTOR_CRISIS,JINDALSTEL,Jindal Steel Limited,Basic Materials,0.017978858162799635,179788.58162799635,0.5156216776393641,92702.89007942923,272491.47170742555,0.009270289007942923,22152.98669424919,0.0,0.0,36569.797605462045,33980.10577971799,49.0
LIQUIDITY_SHOCK,CRAFTSMAN,Craftsman Automation Limited,Consumer Cyclical,0.016270839270321632,162708.39270321632,0.48049581464826596,78180.7017020419,240889.09440525822,0.007818070170204191,0.0,0.0,0.0,78180.7017020419,0.0,50.0
SMALL_CAP_SELLOFF,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,0.02397635874706965,239763.58747069648,0.3253417421925016,78005.10326204065,317768.69073273713,0.007800510326204065,0.0,0.0,78005.10326204065,0.0,0.0,49.0
SMALL_CAP_SELLOFF,ADANIPOWER,Adani Power Limited,Utilities,0.023252624001241545,232526.24001241545,0.3292918867580627,76569.00429444642,309095.2443068619,0.0076569004294446425,0.0,0.0,76569.00429444642,0.0,0.0,48.0
LIQUIDITY_SHOCK,AETHER,Aether Industries Limited,Basic Materials,0.013489740959906727,134897.40959906726,0.5439847452363707,73382.13299379496,208279.5425928622,0.007338213299379497,0.0,0.0,0.0,73382.13299379496,0.0,49.0
LIQUIDITY_SHOCK,PHOENIXLTD,The Phoenix Mills Limited,Real Estate,0.02098866569632144,209886.65696321442,0.34548106385492844,72511.86553660575,282398.52249982016,0.007251186553660575,0.0,0.0,0.0,72511.86553660575,0.0,48.0
MULTI_FACTOR_CRISIS,SONACOMS,Sona BLW Precision Forgings Limited,Consumer Cyclical,0.018200104568211833,182001.04568211833,0.3981553373908692,72464.68774905482,254465.73343117314,0.0072464687749054825,14648.84500883998,0.0,0.0,47950.33655328091,9865.50618693393,48.0
MULTI_FACTOR_CRISIS,AETHER,Aether Industries Limited,Basic Materials,0.013489740959906727,134897.40959906726,0.5229266267430953,70541.44735802189,205438.85695708916,0.007054144735802189,5479.102375880152,0.0,0.0,58705.70639503597,6356.6385871057555,47.0
SMALL_CAP_SELLOFF,TITAN,Titan Company Limited,Consumer Cyclical,0.022405024782387546,224050.24782387546,0.30066777745527,67364.69005150707,291414.93787538254,0.006736469005150707,0.0,0.0,67364.69005150707,0.0,0.0,47.0
