Symbol,Sector,Beta,Momentum_Factor,Quality_Factor,Value_Factor,Growth_Factor,Volatility_252D
PAISALO,Financial Services,1.1873,0.9566088117489987,0.7872287865680032,0.6335493160547156,0.727765698719101,0.5327
ADANIENSOL,Utilities,1.3715,0.9135514018691588,0.48689200069882105,0.11519078473722102,0.6063432860696468,0.5251
ADANIGREEN,Utilities,1.4827,0.880841121495327,0.4783347957214931,0.04535637149028078,0.6486619655941959,0.5226
STLTECH,Technology,1.2024,0.9949933244325768,0.3355030720987248,0.013678905687544997,0.94979969978422,0.5091
HONASA,Consumer Defensive,0.7988,0.8996995994659546,0.4909874231242511,0.15406767458603313,0.8404202194029594,0.4694
HFCL,Technology,1.5122,0.9582777036048065,0.43339758180412824,0.09071274298056156,0.8933347405948026,0.543
UFBL,Consumer Cyclical,0.9661,0.988150867823765,0.23203045067874561,0.5,0.3655253776151609,0.4945
BALAMINES,Basic Materials,1.1476,0.9495994659546061,0.4492113111998918,0.31605471562275017,0.5344127018498005,0.4939
ADANIPOWER,Utilities,1.2403,0.8222630173564752,0.7210796397049845,0.4017278617710583,0.4481580565087994,0.537
GVPIL,Industrials,1.2899,0.9854806408544726,0.9474477818475339,0.6479481641468683,0.4592798747081343,0.5389
JNKINDIA,Industrials,1.2171,0.960113484646195,0.5039921610031673,0.32181425485961124,0.9010120077553682,0.5295
SEAMECLTD,Industrials,0.7501,0.7975634178905207,0.8557718427293842,0.8336933045356372,0.9086950093196619,0.4779
CUPID,Consumer Defensive,0.8147,0.983644859813084,0.8800568175477673,0.035277177825773935,0.9339291930325332,0.4908
APARINDS,Industrials,0.9921,0.9492656875834445,0.667590614147353,0.16558675305975523,0.5462691146576264,0.481
UNIPARTS,Industrials,0.8991,0.92456608811749,0.7811533217934551,0.6976241900647948,0.831497132231419,0.336
GRANULES,Healthcare,1.0135,0.8199265687583444,0.6676929581907993,0.43628509719222464,0.6199302412529928,0.3942
SPARC,Healthcare,1.2593,0.9410881174899867,0.997887156244194,0.9892008639308856,0.990290834036964,0.5114
GLAND,Healthcare,0.7745,0.8783377837116155,0.5555134699433825,0.40244780417566595,0.7531876419722804,0.3833
MUFIN,Financial Services,1.0035,0.7643524699599467,0.6052762531755722,0.11879049676025918,0.6571843297172149,0.4966
PARAS,Industrials,1.2013,0.9367489986648865,0.6160120852496066,0.058315334773218146,0.8028205595053158,0.5503
ADANIENT,Energy,1.4948,0.8157543391188251,0.32171881115503104,0.326133909287257,0.6546753916877757,0.5046
SBC,Industrials,0.718,0.8251001335113486,0.6628858474525632,0.11591072714182865,0.8569124683366169,0.4621
IDEAFORGE,Technology,1.0259,0.9078771695594126,0.3311665403589362,0.5,0.9032925227507271,0.5179
E2E,Technology,0.8538,0.9380841121495327,0.16141478748605978,0.5,0.3612490343270304,0.552
LAURUSLABS,Healthcare,1.0088,0.8513017356475301,0.7891058150067556,0.10727141828653708,0.57265691995776,0.377
POWERINDIA,Industrials,1.0215,0.8756675567423231,0.7537646828170667,0.042476601871850254,0.8532350586724736,0.44
HSCL,Basic Materials,1.076,0.8970293724966623,0.702249784705558,0.28509719222462204,0.5937572897200258,0.484
MTARTECH,Industrials,1.0473,0.8508010680907876,0.5776590019164056,0.02663786897048236,0.8917027572690607,0.4482
CGCL,Financial Services,0.9149,0.7459946595460614,0.8175671279611988,0.6486681065514759,0.8119314412505817,0.5247
AKUMS,Healthcare,1.1202,0.8341121495327103,0.3418690664281203,0.3880489560835133,0.23779917521031257,0.4101
GPIL,Basic Materials,1.0168,0.5936248331108145,0.6989877228545871,0.6573074154067674,0.42567981135947225,0.5853
WELCORP,Basic Materials,1.1637,0.8908544726301736,0.5997108976005544,0.6177105831533477,0.2519696408131895,0.4678
RAIN,Basic Materials,1.2168,0.9330774365821095,0.393541617055574,0.6637868970482361,0.7558122244112956,0.4681
STYLAMIND,Consumer Cyclical,0.7353,0.9190587449933245,0.7957292586231827,0.36573074154067675,0.5079288745890721,0.4155
THERMAX,Industrials,0.8208,0.8362817089452604,0.4608067954485368,0.13606911447084233,0.47617380624531463,0.3628
BHEL,Industrials,1.4396,0.7261348464619494,0.3124049436261118,0.10007199424046076,0.8835108494630021,0.472
SYRMA,Technology,1.2332,0.9617823765020026,0.5217668917261036,0.1238300935925126,0.8084995256835908,0.4566
CGPOWER,Industrials,1.0588,0.8192590120160214,0.6473148617742882,0.059755219582433405,0.644185783449482,0.4268
SAMMAANCAP,Financial Services,1.2069,0.8337783711615487,0.5019218628803443,0.5,0.016711229946524065,0.5748
BSE,Financial Services,1.1916,0.7963951935914553,0.9723417271549474,0.15694744420446363,0.8515190801522862,0.4861
CEIGALL,Industrials,0.9026,0.8795060080106809,0.6533802168281267,0.6565874730021598,0.6731070473377204,0.3301
SATIN,Financial Services,0.8881,0.8145861148197597,0.7323324329736978,0.9575233981281498,0.9215585625562112,0.4636
SHILPAMED,Healthcare,1.0698,0.8840120160213618,0.5340337516731485,0.29301655867530596,0.9011990874928175,0.4759
BBOX,Technology,1.0554,0.9512683578104139,0.63273537886313,0.11735061195104392,0.39931985401987086,0.517
FCL,Basic Materials,1.2077,0.9526034712950601,0.5291781593971437,0.33765298776097913,0.7221877601585448,0.5388
POLYCAB,Industrials,1.0593,0.8162550066755674,0.7849273306294546,0.20734341252699784,0.6052555677502761,0.3626
KIRLOSENG,Industrials,1.0629,0.8713284379172229,0.6846936537584987,0.24262059035277178,0.5723614403865959,0.4406
BHARATFORG,Consumer Cyclical,1.2163,0.7154539385847797,0.5760889293315512,0.10151187904967603,0.43640499305539776,0.3694
CARBORUNIV,Industrials,0.9557,0.6513684913217623,0.2690197948689686,0.06335493160547156,0.34295313819307627,0.35
CONFIPET,Energy,0.9564,0.912716955941255,0.3130617018207582,0.597552195824334,0.6196340427239739,0.5131
BAJAJCON,Consumer Defensive,0.8902,0.9345794392523364,0.8523752207328427,0.2980561555075594,0.7973724179534106,0.3875
NRBBEARING,Consumer Cyclical,1.0191,0.9397530040053405,0.6680794438304343,0.49604031677465804,0.6573121305938643,0.454
APOLLO,Industrials,1.091,0.9732977303070761,0.5523036909542283,0.05399568034557235,0.8918283397060666,0.5851
NEOGEN,Basic Materials,0.9874,0.9018691588785046,0.3162676194439363,0.03959683225341973,0.6158203324578585,0.4619
GAEL,Consumer Defensive,0.9236,0.6999332443257678,0.4078387676167994,0.5982721382289417,0.6973890956633317,0.4646
ELGIEQUIP,Industrials,1.0246,0.8022363150867824,0.7338713720149693,0.29013678905687545,0.541610528706305,0.4612
