Sector,Portfolio_Weight,Momentum_Exposure,LowVol_Exposure,Size_Exposure,Liquidity_Exposure,Trend_Exposure,Crowding_Score,Crowding_Rank
Industrials,0.21578066802630666,0.05344140031706556,-0.20190626968181333,-0.04006084724191986,0.03486921589721263,0.13278257653472633,0.4630603096727377,1
Basic Materials,0.2585383367732018,-0.05512283530218211,0.07251057872669016,0.03342208763480227,-0.030059562666186226,-0.11539788588196082,0.30651295021182157,2
Financial Services,0.09176655316551648,-0.021775201589262577,0.024654280791838436,-0.04538059968448343,0.09263440648662404,-0.009903811492075535,0.194348300044284,3
Utilities,0.04149619732645238,0.020975296558221633,0.01497878482273899,-0.0538138942498424,0.057112301114520925,0.01829358642835289,0.16517386317367683,4
Consumer Defensive,0.05991890271174572,0.05715972223474884,0.026049666198283403,-0.005979398626257331,-0.009303379026096327,0.026836271682520244,0.12532843776790614,5
Consumer Cyclical,0.18691501929850257,-0.0272167966290753,0.016240798927819287,0.004491101971285962,-0.03227216766214926,-0.02493006390188263,0.10515092909221244,6
Real Estate,0.02098866569632144,-0.01946248347750486,0.00569816560377233,0.006490045527376578,-0.029253963899154693,-0.023484352181926665,0.08438901068973513,7
Communication Services,0.022585337020469245,-0.025061302688854592,0.010770755456824575,-0.0066168675891687375,0.004792585767856803,-0.026291621998631727,0.07353313350133643,8
Healthcare,0.06670220933306914,-0.013776781767489582,-0.004029012606886648,-0.021164243533619707,0.01552140712528487,0.008406139520780452,0.06289758455406126,9
Technology,0.03530811064841437,0.004736390716491009,0.006458607388967913,0.01919158755596595,-0.004208948568690414,-0.0078747900528994,0.042470324283014685,10
