Scenario,Sector,Position_Value,Stress_PnL,Stress_Value,Stress_Return,Contribution,Damage_Rank
LIQUIDITY_SHOCK,Basic Materials,2585383.367732018,77802.09388557162,2663185.46161759,0.03009305886957188,0.007780209388557163,9.0
LIQUIDITY_SHOCK,Communication Services,225853.37020469244,-12002.401541992735,213850.9686626997,-0.05314245048065865,-0.0012002401541992736,5.0
LIQUIDITY_SHOCK,Consumer Cyclical,1869150.1929850257,79219.03516578395,1948369.2281508096,0.04238238075414981,0.007921903516578396,10.0
LIQUIDITY_SHOCK,Consumer Defensive,599189.0271174572,22808.634330411245,621997.6614478684,0.038065841158903824,0.0022808634330411244,7.0
LIQUIDITY_SHOCK,Financial Services,917665.5316551648,-232330.81000784755,685334.7216473172,-0.253175914310304,-0.023233081000784757,1.0
LIQUIDITY_SHOCK,Healthcare,667022.0933306913,-38840.86935735822,628181.2239733331,-0.05823025915590172,-0.003884086935735822,4.0
LIQUIDITY_SHOCK,Industrials,2157806.680263066,-87568.59831798394,2070238.0819450824,-0.040582225979255995,-0.008756859831798395,3.0
LIQUIDITY_SHOCK,Real Estate,209886.65696321442,72511.86553660575,282398.52249982016,0.3454810638549285,0.007251186553660575,8.0
LIQUIDITY_SHOCK,Technology,353081.10648414365,10280.110901972756,363361.2173861164,0.02911543753880929,0.0010280110901972755,6.0
LIQUIDITY_SHOCK,Utilities,414961.9732645238,-141954.21462242867,273007.75864209514,-0.3420896944017996,-0.014195421462242867,2.0
LOWVOL_REVERSAL,Basic Materials,2585383.367732018,-65478.280246583236,2519905.087485435,-0.025326333055210648,-0.0065478280246583235,1.0
LOWVOL_REVERSAL,Communication Services,225853.37020469244,-9111.83998573905,216741.53021895338,-0.04034405144134413,-0.0009111839985739051,6.0
LOWVOL_REVERSAL,Consumer Cyclical,1869150.1929850257,-19679.174385586943,1849471.0185994387,-0.010528407219196964,-0.001967917438558694,4.0
LOWVOL_REVERSAL,Consumer Defensive,599189.0271174572,-22245.398047256673,576943.6290702005,-0.03712584349929354,-0.0022245398047256674,3.0
LOWVOL_REVERSAL,Financial Services,917665.5316551648,-22487.487734203663,895178.0439209611,-0.0245051023041518,-0.0022487487734203664,2.0
LOWVOL_REVERSAL,Healthcare,667022.0933306913,489.2848993578118,667511.3782300492,0.0007335362715118309,4.8928489935781184e-05,9.0
LOWVOL_REVERSAL,Industrials,2157806.680263066,192133.24954621063,2349939.929809277,0.08904099301554992,0.019213324954621063,10.0
LOWVOL_REVERSAL,Real Estate,209886.65696321442,-5171.689031798496,204714.96793141591,-0.024640389754289654,-0.0005171689031798496,8.0
LOWVOL_REVERSAL,Technology,353081.10648414365,-6309.296031610443,346771.81045253325,-0.017869254162127715,-0.0006309296031610442,7.0
LOWVOL_REVERSAL,Utilities,414961.9732645238,-13062.454902790778,401899.51836173306,-0.03147867935952753,-0.0013062454902790777,5.0
MOMENTUM_CRASH,Basic Materials,2585383.367732018,80607.40929009872,2665990.777022117,0.031178126345266212,0.008060740929009871,10.0
MOMENTUM_CRASH,Communication Services,225853.37020469244,31341.181946905068,257194.5521515975,0.13876782940409674,0.0031341181946905067,8.0
MOMENTUM_CRASH,Consumer Cyclical,1869150.1929850257,42868.45923176558,1912018.6522167912,0.02293473226103078,0.004286845923176558,9.0
MOMENTUM_CRASH,Consumer Defensive,599189.0271174572,-116639.99541480702,482549.0317026502,-0.19466310318787336,-0.011663999541480702,1.0
MOMENTUM_CRASH,Financial Services,917665.5316551648,31155.229625365326,948820.76128053,0.0339505283250332,0.0031155229625365326,7.0
MOMENTUM_CRASH,Healthcare,667022.0933306913,20181.428242301066,687203.5215729924,0.03025601167350789,0.0020181428242301066,5.0
MOMENTUM_CRASH,Industrials,2157806.680263066,-52477.90621746937,2105328.774045597,-0.024320022130560646,-0.0052477906217469365,2.0
MOMENTUM_CRASH,Real Estate,209886.65696321442,24791.272913814137,234677.92987702857,0.11811743191545118,0.0024791272913814136,6.0
MOMENTUM_CRASH,Technology,353081.10648414365,-3728.8759218558807,349352.2305622878,-0.010560961358104668,-0.0003728875921855881,4.0
MOMENTUM_CRASH,Utilities,414961.9732645238,-22946.40359476771,392015.5696697561,-0.05529760574022569,-0.002294640359476771,3.0
MULTI_FACTOR_CRISIS,Basic Materials,2585383.367732018,314974.1056925739,2900357.473424592,0.12182878161271662,0.03149741056925739,10.0
MULTI_FACTOR_CRISIS,Communication Services,225853.37020469244,58776.000730703054,284629.3709353955,0.2602396443207111,0.005877600073070305,7.0
MULTI_FACTOR_CRISIS,Consumer Cyclical,1869150.1929850257,143807.13856184864,2012957.3315468743,0.07693717663864624,0.014380713856184864,9.0
MULTI_FACTOR_CRISIS,Consumer Defensive,599189.0271174572,-158650.05703863996,440538.9700788173,-0.2647746368151369,-0.015865005703863996,3.0
MULTI_FACTOR_CRISIS,Financial Services,917665.5316551648,-139528.135946599,778137.3957085657,-0.15204683093516266,-0.0139528135946599,4.0
MULTI_FACTOR_CRISIS,Healthcare,667022.0933306913,-21640.928690270615,645381.1646404207,-0.032444095790304855,-0.0021640928690270615,5.0
MULTI_FACTOR_CRISIS,Industrials,2157806.680263066,-304709.83830594283,1853096.8419571235,-0.14121276066713934,-0.030470983830594284,1.0
MULTI_FACTOR_CRISIS,Real Estate,209886.65696321442,115894.96996688943,325781.62693010387,0.5521788361572773,0.011589496996688943,8.0
MULTI_FACTOR_CRISIS,Technology,353081.10648414365,18884.305105001942,371965.41158914566,0.05348432628708217,0.0018884305105001942,6.0
MULTI_FACTOR_CRISIS,Utilities,414961.9732645238,-161434.65457017015,253527.3186943537,-0.38903481516669286,-0.016143465457017014,2.0
SMALL_CAP_SELLOFF,Basic Materials,2585383.367732018,-70935.83570049008,2514447.532031528,-0.02743726001560739,-0.007093583570049008,1.0
SMALL_CAP_SELLOFF,Communication Services,225853.37020469244,12662.282652706986,238515.65285739943,0.05606417403128,0.0012662282652706987,6.0
SMALL_CAP_SELLOFF,Consumer Cyclical,1869150.1929850257,-11146.206660529933,1858003.9863244956,-0.005963248273125384,-0.0011146206660529933,4.0
SMALL_CAP_SELLOFF,Consumer Defensive,599189.0271174572,10943.878771568445,610132.9058890257,0.018264484622184426,0.0010943878771568444,5.0
SMALL_CAP_SELLOFF,Financial Services,917665.5316551648,106248.37223589847,1023913.9038910633,0.11578115181493369,0.010624837223589846,10.0
SMALL_CAP_SELLOFF,Healthcare,667022.0933306913,40570.552125845104,707592.6454565364,0.0608234008011056,0.00405705521258451,7.0
SMALL_CAP_SELLOFF,Industrials,2157806.680263066,75664.60000522505,2233471.2802682915,0.03506551383741221,0.0075664600005225045,8.0
SMALL_CAP_SELLOFF,Real Estate,209886.65696321442,-12963.93458858327,196922.72237463115,-0.06176635892988367,-0.001296393458858327,3.0
SMALL_CAP_SELLOFF,Technology,353081.10648414365,-37997.78552890572,315083.32095523796,-0.10761772530757645,-0.003799778552890572,2.0
SMALL_CAP_SELLOFF,Utilities,414961.9732645238,104774.33272856842,519736.30599309225,0.25249140759647015,0.010477433272856843,9.0
TREND_REVERSAL,Basic Materials,2585383.367732018,172125.02129401782,2757508.389026036,0.0665762081717929,0.017212502129401782,10.0
TREND_REVERSAL,Communication Services,225853.37020469244,37036.74001739217,262890.1102220846,0.16398577530114128,0.003703674001739217,8.0
