Sector,LIQUIDITY_SHOCK,LOWVOL_REVERSAL,MOMENTUM_CRASH,MULTI_FACTOR_CRISIS,SMALL_CAP_SELLOFF,TREND_REVERSAL
Basic Materials,0.03009305886957188,-0.025326333055210648,0.031178126345266212,0.12182878161271662,-0.02743726001560739,0.0665762081717929
Communication Services,-0.05314245048065865,-0.04034405144134413,0.13876782940409674,0.2602396443207111,0.05606417403128,0.16398577530114128
Consumer Cyclical,0.04238238075414981,-0.010528407219196964,0.02293473226103078,0.07693717663864624,-0.005963248273125384,0.020096539774295617
Consumer Defensive,0.038065841158903824,-0.03712584349929354,-0.19466310318787336,-0.2647746368151369,0.018264484622184426,-0.10056420655438661
Financial Services,-0.253175914310304,-0.0245051023041518,0.0339505283250332,-0.15204683093516266,0.11578115181493369,0.01654337218804734
Healthcare,-0.05823025915590172,0.0007335362715118309,0.03025601167350789,-0.032444095790304855,0.0608234008011056,-0.016115900139091373
Industrials,-0.040582225979255995,0.08904099301554992,-0.024320022130560646,-0.14121276066713934,0.03506551383741221,-0.08442695775317392
Real Estate,0.3454810638549285,-0.024640389754289654,0.11811743191545118,0.5521788361572773,-0.06176635892988367,0.15767655315788331
Technology,0.02911543753880929,-0.017869254162127715,-0.010560961358104668,0.05348432628708217,-0.10761772530757645,0.04075293761413939
Utilities,-0.3420896944017996,-0.03147867935952753,-0.05529760574022569,-0.38903481516669286,0.25249140759647015,-0.06006545390502748
