Scenario,Symbol,Company_Name,Sector,Weight,Position_Value,Factor_Stress_Return,Stress_PnL,Stress_Value,Contribution,Momentum_PnL,LowVol_PnL,Size_PnL,Liquidity_PnL,Trend_PnL,Loss_Rank
MULTI_FACTOR_CRISIS,CUPID,Cupid Limited,Consumer Defensive,0.018621254952984737,186212.54952984737,-1.3778308221997533,-256569.39022262188,-70356.84069277451,-0.02565693902226219,-158714.62957230947,0.0,0.0,3724.444225365238,-101579.20487567766,1.0
MOMENTUM_CRASH,CUPID,Cupid Limited,Consumer Defensive,0.018621254952984737,186212.54952984737,-0.8523304684514276,-158714.62957230947,27497.919957537903,-0.015871462957230947,-158714.62957230947,0.0,0.0,0.0,0.0,1.0
MULTI_FACTOR_CRISIS,ATHERENERG,Ather Energy Limited,Consumer Cyclical,0.022158026312308544,221580.26312308543,-0.522308051877244,-115733.1555662659,105847.10755681954,-0.01157331555662659,-49517.35272022761,0.0,0.0,-31947.778525656366,-34268.02432038193,2.0
LIQUIDITY_SHOCK,SBIN,State Bank of India,Financial Services,0.023272599684859244,232725.99684859245,-0.49057377843346955,-114169.27161370973,118556.72523488272,-0.011416927161370972,0.0,0.0,0.0,-114169.27161370973,0.0,1.0
LIQUIDITY_SHOCK,BSE,BSE Limited,Financial Services,0.02168507995311434,216850.7995311434,-0.5097071901546809,-110530.41171181509,106320.3878193283,-0.01105304117118151,0.0,0.0,0.0,-110530.41171181509,0.0,2.0
MULTI_FACTOR_CRISIS,POWERINDIA,Hitachi Energy India Limited,Industrials,0.02369572345568145,236957.23455681448,-0.45217738168376376,-107146.70189292583,129810.53266388865,-0.010714670189292584,-20790.123112031433,0.0,0.0,-67220.68007340097,-19135.898707493434,3.0
TREND_REVERSAL,CUPID,Cupid Limited,Consumer Defensive,0.018621254952984737,186212.54952984737,-0.5455013914590965,-101579.20487567766,84633.3446541697,-0.010157920487567767,0.0,0.0,0.0,0.0,-101579.20487567766,1.0
MULTI_FACTOR_CRISIS,BSE,BSE Limited,Financial Services,0.02168507995311434,216850.7995311434,-0.46783933147695006,-101451.33308289223,115399.46644825116,-0.010145133308289223,454.1669314710367,0.0,0.0,-88424.32936945208,-13481.170644911197,4.0
LIQUIDITY_SHOCK,ADANIPOWER,Adani Power Limited,Utilities,0.023252624001241545,232526.24001241545,-0.4157544567946116,-96673.82060685527,135852.41940556018,-0.009667382060685526,0.0,0.0,0.0,-96673.82060685527,0.0,3.0
MULTI_FACTOR_CRISIS,ADANIPOWER,Adani Power Limited,Utilities,0.023252624001241545,232526.24001241545,-0.4087481719894042,-95044.67554464427,137481.56446777118,-0.009504467554464427,-13997.459325533366,0.0,0.0,-77339.05648548422,-3708.1597336266927,5.0
MULTI_FACTOR_CRISIS,GVT&D,GE Vernova T&D India Ltd,Industrials,0.022655167454010246,226551.67454010245,-0.38037725511019627,-86175.10410218271,140376.57043791976,-0.008617510410218271,-22353.929771642932,0.0,0.0,-40927.03252540804,-22894.141805131738,6.0
LIQUIDITY_SHOCK,POWERINDIA,Hitachi Energy India Limited,Industrials,0.02369572345568145,236957.23455681448,-0.35460343824870477,-84025.85009175121,152931.38446506328,-0.008402585009175121,0.0,0.0,0.0,-84025.85009175121,0.0,4.0
MULTI_FACTOR_CRISIS,APARINDS,APAR Industries Limited,Industrials,0.021034334860252742,210343.34860252743,-0.3517320467694983,-73984.49652831706,136358.85207421036,-0.007398449652831706,-25464.153497754603,0.0,0.0,11636.35361926067,-60156.69664982314,7.0
LIQUIDITY_SHOCK,TATASTEEL,Tata Steel Limited,Basic Materials,0.021762104560095846,217621.04560095846,-0.33024511721959365,-71868.28771393906,145752.7578870194,-0.007186828771393906,0.0,0.0,0.0,-71868.28771393906,0.0,5.0
LIQUIDITY_SHOCK,HINDALCO,Hindalco Industries Limited,Basic Materials,0.021085019525896143,210850.19525896144,-0.31987436977766537,-67445.57332595797,143404.62193300348,-0.006744557332595797,0.0,0.0,0.0,-67445.57332595797,0.0,6.0
MULTI_FACTOR_CRISIS,ADANIENSOL,Adani Energy Solutions Limited,Utilities,0.018243573325210836,182435.73325210836,-0.3639088562424413,-66389.97902552587,116045.75422658249,-0.006638997902552587,-8948.944269234345,0.0,0.0,-36224.315212458714,-21216.719543832805,8.0
TREND_REVERSAL,APARINDS,APAR Industries Limited,Industrials,0.021034334860252742,210343.34860252743,-0.28599286380810385,-60156.69664982314,150186.6519527043,-0.006015669664982314,0.0,0.0,0.0,0.0,-60156.69664982314,2.0
LIQUIDITY_SHOCK,FEDERALBNK,The Federal Bank Limited,Financial Services,0.02065365663362294,206536.5663362294,-0.28524724955084496,-58913.98747908507,147622.57885714434,-0.005891398747908508,0.0,0.0,0.0,-58913.98747908507,0.0,7.0
LIQUIDITY_SHOCK,NATIONALUM,National Aluminium Company Limited,Basic Materials,0.01984674381967204,198467.43819672038,-0.271060637817543,-53796.710383616824,144670.72781310356,-0.005379671038361683,0.0,0.0,0.0,-53796.710383616824,0.0,8.0
SMALL_CAP_SELLOFF,CUPID,Cupid Limited,Consumer Defensive,0.018621254952984737,186212.54952984737,-0.2801874850851637,-52174.425944064424,134038.12358578295,-0.0052174425944064426,0.0,0.0,-52174.425944064424,0.0,0.0,1.0
