Symbol,Risk_Contribution,Risk_Contribution_Pct
20MICRONS.NS,0.00012146050591281164,0.0007544496169032887
21STCENMGM.NS,1.8519200182180155e-05,0.0001150316588737952
360ONE.NS,6.446775877809856e-05,0.00040044025460970675
3IINFOLTD.NS,0.00010568300109731255,0.0006564479465307999
3MINDIA.NS,4.797431021639144e-05,0.0002979915133066994
3PLAND.NS,6.479393122181694e-05,0.0004024662685255749
5PAISA.NS,9.780515621293399e-05,0.0006075148632180289
63MOONS.NS,0.00011252279366027592,0.0006989331876389664
A2ZINFRA.NS,9.738303671977613e-05,0.0006048928760337423
AAATECH.NS,6.149807411567917e-05,0.0003819941149444054
AADHARHFC.NS,2.0914258484745977e-05,0.00012990851785978455
AAKASH.NS,5.0847899213637236e-05,0.0003158407565797831
AAREYDRUGS.NS,7.210270693440364e-05,0.00044786458952673474
AARON.NS,6.051723885229393e-05,0.00037590167540494377
AARTECH.NS,3.795220945486117e-05,0.00023573942549199583
AARTIDRUGS.NS,7.355214026817148e-05,0.00045686771704682737
AARTIIND.NS,8.969864641222094e-05,0.0005571614321368102
AARTIPHARM.NS,4.132697223414355e-05,0.00025670170015761214
AARTISURF.NS,8.316064705799205e-05,0.0005165507737911854
AARVI.NS,7.529456955281694e-05,0.0004676907833299983
AATMAJ.NS,3.324495300310162e-05,0.0002065003917830071
AAVAS.NS,5.254710031567757e-05,0.00032639531183082255
ABAN.NS,9.628829427942817e-05,0.0005980929042361511
ABB.NS,6.33686135898549e-05,0.00039361293522749717
ABBOTINDIA.NS,2.7954405961726234e-05,0.00017363825969671657
ABCAPITAL.NS,0.00010672367916048768,0.0006629120984802883
ABCOTS.NS,1.533098804959993e-05,9.522813999368937e-05
ABFRL.NS,9.595743533542879e-05,0.0005960377802131328
ABINFRA.NS,3.321465341617397e-05,0.00020631218647645006
ABMINTLLTD.NS,3.8089988322876074e-05,0.00023659523630399618
ABREL.NS,0.00011362190753597828,0.0007057603125239227
ABSLAMC.NS,5.1834878488112847e-05,0.00032197135952700056
ABSMARINE.NS,4.709981924797699e-05,0.0002925596293280565
ACC.NS,7.228766324274921e-05,0.00044901344210993845
ACCELYA.NS,6.77943283301477e-05,0.00042110317796313976
ACCENTMIC.NS,3.541561683326327e-05,0.0002199834287816085
ACCORD.NS,1.0162688259145518e-05,6.312534437592151e-05
ACCURACY.NS,7.325352248116528e-05,0.0004550128583558133
ACE.NS,0.00011637670352765506,0.0007228716753076343
ACEINTEG.NS,4.788454402564419e-05,0.00029743393232421327
ACI.NS,2.78241011035733e-05,0.0001728288735544862
ACL.NS,8.6315908098753e-05,0.0005361496175926493
ACUTAAS.NS,6.407177362458218e-05,0.00039798060037786714
ADANIENSOL.NS,9.184947283850497e-05,0.0005705212494794144
ADANIENT.NS,0.00010507723623302255,0.0006526852496248186
ADANIGREEN.NS,8.647943855667864e-05,0.000537165383914441
ADANIPORTS.NS,9.052388451627903e-05,0.0005622873828874809
ADANIPOWER.NS,0.00010012137889943804,0.0006219020362778059
ADFFOODS.NS,9.69523607197262e-05,0.0006022177402700205
ADL.NS,5.68476309967354e-05,0.0003531079761690886
ADOR.NS,8.479599215443477e-05,0.000526708688680833
ADROITINFO.NS,6.0679276328710415e-05,0.0003769081681005542
ADSL.NS,0.000127453275973234,0.0007916735938849148
ADVANIHOTR.NS,8.078785911354564e-05,0.0005018122467100833
ADVENZYMES.NS,8.057101895579563e-05,0.000500465348204151
AEGISLOG.NS,7.327247161892692e-05,0.0004551305605637654
AEROENTER.NS,7.239622153747894e-05,0.0004496877498880512
AEROFLEX.NS,6.262434984291351e-05,0.00038898995515232763
AERONEU.NS,4.530691329773156e-05,0.00028142302819881963
AETHER.NS,2.8924900316532172e-05,0.00017966646687968133
AFFLE.NS,7.832982099642548e-05,0.00048654418980666333
AFSL.NS,2.2424035466597498e-05,0.00013928646879953226
AGARIND.NS,0.00011342583007859736,0.0007045423811355042
AGARWALFT.NS,2.0583748510938502e-05,0.0001278555614584605
AGI.NS,0.00010573871583237708,0.0006567940175454842
AGNI.NS,4.1181784331448616e-05,0.00025579986826794574
AGRITECH.NS,8.775266759369885e-05,0.0005450740218045185
AGROPHOS.NS,0.00010518674552994428,0.0006533654645349167
AGUL.NS,7.917311783835468e-06,4.917823120633411e-05
AHIMSA.NS,4.418774796512815e-06,2.7447135407159193e-05
AHLADA.NS,8.77217423718948e-05,0.000544881930378854
AHLEAST.NS,7.536787312752702e-05,0.00046814610708681984
AHLUCONT.NS,5.673165342473483e-05,0.00035238758369165226
AHLWEST.NS,1.5720267514024857e-05,9.764614196557747e-05
AIAENG.NS,4.035021899816486e-05,0.0002506346160535648
AIIL.NS,4.579906907940222e-05,0.00028448004445400226
AILIMITED.NS,2.4978047371221827e-05,0.00015515066505434973
AIRAN.NS,0.00010218384106895502,0.0006347129807241148
AIROLAM.NS,5.4094852508864406e-05,0.0003360091450718042
AISL.NS,3.2757119934841353e-05,0.00020347022597976312
AJANTPHARM.NS,3.424347370523074e-05,0.00021270268408806373
AJMERA.NS,0.00012205823617108867,0.0007581624070071956
AJOONI.NS,7.910189092515928e-05,0.0004913398874499277
AKASH.NS,7.078167274291831e-05,0.00043965901083107477
AKG.NS,5.433017958135845e-05,0.00033747087469622667
AKI.NS,3.487053841674973e-05,0.0002165976845890387
AKSHAR.NS,3.935390390067972e-05,0.00024444602381970565
AKSHARCHEM.NS,0.00010206994848785906,0.0006340055391279334
