Sector,Positions,Weight,Avg_Alpha
Basic Materials,14,0.2585383367732013,0.8430516953863257
Industrials,10,0.21578066802630622,0.8482492113564669
Consumer Cyclical,9,0.1869150192985022,0.8447459086993971
Financial Services,5,0.0917665531655163,0.8485889570552146
Healthcare,3,0.066702209333069,0.8461640211640212
Consumer Defensive,3,0.0599189027117456,0.833888888888889
Utilities,2,0.041496197326452294,0.8342592592592593
Technology,2,0.0353081106484143,0.8320754716981131
Communication Services,1,0.0225853370204692,0.8710526315789474
Real Estate,1,0.0209886656963214,0.8892857142857142
