Symbol,Volatility_252D,ATR_Pct
20MICRONS,0.537,0.0212
21STCENMGM,0.2574,0.014
360ONE,0.3895,0.0137
3IINFOLTD,0.5863,0.0146
3MINDIA,0.303,0.0084
3PLAND,0.5374,0.0179
5PAISA,0.4701,0.0146
63MOONS,0.5462,0.0124
A2ZINFRA,0.5646,0.0177
AAATECH,0.5222,0.0114
AADHARHFC,0.3372,0.015
AAKASH,0.5105,0.0178
AAREYDRUGS,0.5038,0.0152
AARON,0.5014,0.0122
AARTECH,0.5386,0.0254
AARTIDRUGS,0.4236,0.0121
AARTIIND,0.3614,0.0252
AARTIPHARM,0.4474,0.0174
AARTISURF,0.4696,0.0172
AARVI,0.5354,0.0217
AATMAJ,0.5829,0.0181
AAVAS,0.3649,0.0156
ABAN,0.5315,0.0106
ABB,0.3328,0.0125
ABBOTINDIA,0.2534,0.0103
ABCAPITAL,0.3927,0.0202
ABCOTS,0.5285,0.0286
ABDL,0.4128,0.0243
ABFRL,0.4732,0.0153
ABGSEC,0.0725,0.0039
ABINFRA,0.4855,0.0383
ABMINTLLTD,0.5603,0.0278
ABREL,0.4579,0.0161
ABSLAMC,0.311,0.0217
ABSMARINE,0.5857,0.0245
ACC,0.297,0.0112
ACCELYA,0.3433,0.0073
ACCENTMIC,0.4803,0.015
ACCORD,0.4221,0.0355
ACCURACY,0.5444,0.0192
ACE,0.4989,0.0142
ACEINTEG,0.4465,0.0222
ACI,0.3695,0.0154
ACL,0.5454,0.0097
ACMESOLAR,0.4701,0.024
ACUTAAS,0.4515,0.0214
ADANIENSOL,0.5251,0.0167
ADANIENT,0.5046,0.0116
ADANIGREEN,0.5226,0.0178
ADANIPORTS,0.3891,0.0103
ADANIPOWER,0.537,0.0181
ADFFOODS,0.4757,0.0238
ADL,0.4792,0.0148
ADOR,0.4349,0.0166
ADROITINFO,0.5436,0.0084
ADSL,0.5646,0.0165
ADVANIHOTR,0.4481,0.0125
ADVENZYMES,0.4184,0.0167
AEGISLOG,0.4984,0.0303
AEGISVOPAK,0.4506,0.0281
AEROENTER,0.5088,0.0199
AEROFLEX,0.5212,0.0395
AERONEU,0.4935,0.0097
AETHER,0.3222,0.0098
AFCONS,0.3574,0.0213
AFFLE,0.397,0.0145
AFFORDABLE,0.5105,0.0203
AFIL,0.5465,0.0221
AFSL,0.4261,0.0002
AGARIND,0.5499,0.0519
AGARWALEYE,0.2995,0.0081
AGARWALFT,0.506,0.0157
AGI,0.5439,0.0168
AGIIL,0.5403,0.0191
AGNI,0.6394,0.0251
