Symbol,Company_Name,Sector,Signal,Signal_Score,In_Portfolio
AGI,AGI Greenpac Limited,Consumer Cyclical,REDUCE,39.98998664886515,False
COFORGE,Coforge Limited,Technology,REDUCE,39.95660881174899,False
MANINFRA,Man Infraconstruction Limited,Industrials,REDUCE,39.90320427236315,False
POLYMED,Poly Medicure Limited,Healthcare,REDUCE,39.87650200267022,False
CLEAN,Clean Science and Technology Limited,Basic Materials,REDUCE,39.83644859813084,False
MAHLIFE,Mahindra Lifespace Developers Limited,Real Estate,REDUCE,39.73631508678238,False
EKC,Everest Kanto Cylinder Limited,Industrials,REDUCE,39.70293724966622,False
SURAKSHA,SURAKSHA DIAGNOSTIC LTD,Healthcare,REDUCE,39.686248331108146,False
NDRAUTO,NDR Auto Components Limited,Consumer Cyclical,REDUCE,39.619492656875835,False
ANUP,The Anup Engineering Limited,Industrials,REDUCE,39.58611481975968,False
KOLTEPATIL,Kolte-Patil Developers Limited,Real Estate,REDUCE,39.582777036048064,False
APLLTD,Alembic Pharmaceuticals Limited,Healthcare,REDUCE,39.55607476635514,False
FOSECOIND,Foseco India Limited,Basic Materials,REDUCE,39.489319092122834,False
KPITTECH,KPIT Technologies Limited,Technology,REDUCE,39.44592790387183,False
CRISIL,CRISIL Limited,Financial Services,REDUCE,39.39919893190921,False
METROBRAND,Metro Brands Limited,Consumer Cyclical,REDUCE,39.35580774365821,False
ZOTA,Zota Health Care Limited,Healthcare,REDUCE,39.34245660881175,False
GODREJAGRO,Godrej Agrovet Limited,Consumer Defensive,REDUCE,39.285714285714285,False
MICEL,MIC Electronics Limited,Technology,REDUCE,39.28571428571428,False
MOBIKWIK,ONE MOBIKWIK SYSTEMS LTD,Technology,REDUCE,39.25567423230975,False
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services,REDUCE,39.23898531375167,False
SAMHI,SAMHI Hotels Limited,Consumer Cyclical,REDUCE,39.23230974632844,False
EXCELINDUS,Excel Industries Limited,Basic Materials,REDUCE,39.222296395193595,False
MPSLTD,MPS Limited,Communication Services,REDUCE,39.208945260347136,False
M&MFIN,Mahindra & Mahindra Financial Services Limited,Financial Services,REDUCE,39.16555407209613,False
GARUDA,GARUDA CONSTRUCT N ENG L,Industrials,REDUCE,39.14552736982644,False
RAILTEL,RailTel Corporation of India Limited,Communication Services,REDUCE,39.11882510013351,False
JKTYRE,JK Tyre & Industries Limited,Consumer Cyclical,REDUCE,39.04873164218959,False
JIOFIN,Jio Financial Services Limited,Financial Services,REDUCE,39.00867823765021,False
SYNGENE,Syngene International Limited,Healthcare,REDUCE,39.0086782376502,False
NILKAMAL,Nilkamal Limited,Consumer Cyclical,REDUCE,38.99866488651536,False
VSTTILLERS,V.S.T. Tillers Tractors Limited,Industrials,REDUCE,38.925233644859816,False
WONDERLA,Wonderla Holidays Limited,Consumer Cyclical,REDUCE,38.918558077436586,False
BALKRISIND,Balkrishna Industries Limited,Consumer Cyclical,REDUCE,38.91855807743658,False
DCMSHRIRAM,DCM Shriram Limited,Industrials,REDUCE,38.90186915887851,False
CMSINFO,CMS Info Systems Limited,Industrials,REDUCE,38.78170894526035,False
DMCC,DMCC Speciality Chemicals Limited,Basic Materials,REDUCE,38.77503337783712,False
