Rank,Symbol,Weight,Momentum_Score,Portfolio_Date,Engine_Version
1,SIGMAADV,0.02,0.9959946595460614,2026-06-13,1.0.0
2,PRIZOR,0.02,0.9953271028037383,2026-06-13,1.0.0
3,VENUSREM,0.02,0.9937249666221628,2026-06-13,1.0.0
4,CUPID,0.02,0.9915887850467289,2026-06-13,1.0.0
5,GVPIL,0.02,0.9901869158878505,2026-06-13,1.0.0
6,BAJAJCON,0.02,0.9881842456608811,2026-06-13,1.0.0
7,AEROFLEX,0.02,0.9866488651535381,2026-06-13,1.0.0
8,KOVAI,0.02,0.9858477970627503,2026-06-13,1.0.0
9,BLISSGVS,0.02,0.9845794392523364,2026-06-13,1.0.0
10,UFBL,0.02,0.9771028037383178,2026-06-13,1.0.0
11,STLTECH,0.02,0.97630173564753,2026-06-13,1.0.0
12,SAKAR,0.02,0.97543391188251,2026-06-13,1.0.0
13,GAYAPROJ,0.02,0.9740987983978637,2026-06-13,1.0.0
14,SYRMA,0.02,0.9733644859813084,2026-06-13,1.0.0
15,SENORES,0.02,0.9726969292389853,2026-06-13,1.0.0
16,BHAGYANGR,0.02,0.9720293724966623,2026-06-13,1.0.0
17,AVALON,0.02,0.9718958611481976,2026-06-13,1.0.0
18,DEEDEV,0.02,0.9708277703604806,2026-06-13,1.0.0
19,THANGAMAYL,0.02,0.9704939919893191,2026-06-13,1.0.0
20,MTARTECH,0.02,0.9696261682242989,2026-06-13,1.0.0
21,VMARCIND,0.02,0.9692256341789052,2026-06-13,1.0.0
22,WHEELS,0.02,0.9690253671562081,2026-06-13,1.0.0
23,NGLFINE,0.02,0.9689586114819759,2026-06-13,1.0.0
24,ATHERENERG,0.02,0.9670894526034713,2026-06-13,1.0.0
25,DPEL,0.02,0.9662883845126835,2026-06-13,1.0.0
26,ACUTAAS,0.02,0.9626168224299065,2026-06-13,1.0.0
27,APARINDS,0.02,0.9624165554072097,2026-06-13,1.0.0
28,OMAXAUTO,0.02,0.9621495327102804,2026-06-13,1.0.0
29,SANSERA,0.02,0.9617489986648865,2026-06-13,1.0.0
30,ANLON,0.02,0.9612149532710281,2026-06-13,1.0.0
31,JAYBARMARU,0.02,0.9588785046728971,2026-06-13,1.0.0
32,BBOX,0.02,0.9567423230974633,2026-06-13,1.0.0
33,APOLLO,0.02,0.9556742323097465,2026-06-13,1.0.0
34,RPTECH,0.02,0.9539385847797062,2026-06-13,1.0.0
35,PAISALO,0.02,0.9513351134846462,2026-06-13,1.0.0
36,MWL,0.02,0.9497329773030707,2026-06-13,1.0.0
37,KERNEX,0.02,0.9479305740987982,2026-06-13,1.0.0
38,AIMTRON,0.02,0.9462616822429908,2026-06-13,1.0.0
39,NOVARTIND,0.02,0.945260347129506,2026-06-13,1.0.0
40,HFCL,0.02,0.9451268357810414,2026-06-13,1.0.0
41,GVT&D,0.02,0.9425233644859813,2026-06-13,1.0.0
42,KIRLOSENG,0.02,0.9416555407209611,2026-06-13,1.0.0
43,DIACABS,0.02,0.941388518024032,2026-06-13,1.0.0
44,SPORTKING,0.02,0.9409212283044059,2026-06-13,1.0.0
45,MODISONLTD,0.02,0.9399866488651535,2026-06-13,1.0.0
46,STYLAMIND,0.02,0.9393190921228303,2026-06-13,1.0.0
47,TDPOWERSYS,0.02,0.9392523364485982,2026-06-13,1.0.0
48,HIRECT,0.02,0.938785046728972,2026-06-13,1.0.0
49,SALSTEEL,0.02,0.938785046728972,2026-06-13,1.0.0
50,INDOBORAX,0.02,0.9382510013351135,2026-06-13,1.0.0
