Rank,Symbol,Weight,Size_Score,Portfolio_Date,Engine_Version
1,RELIANCE,0.02,0.9997329773030708,2026-06-13,1.0.0
2,HDFCBANK,0.02,0.9994659546061415,2026-06-13,1.0.0
3,BHARTIARTL,0.02,0.9983978638184245,2026-06-13,1.0.0
4,ICICIBANK,0.02,0.9982643524699599,2026-06-13,1.0.0
5,SBIN,0.02,0.9967957276368492,2026-06-13,1.0.0
6,TCS,0.02,0.9961281708945261,2026-06-13,1.0.0
7,BAJFINANCE,0.02,0.9949265687583445,2026-06-13,1.0.0
8,INFY,0.02,0.9942590120160215,2026-06-13,1.0.0
9,LT,0.02,0.9933244325767692,2026-06-13,1.0.0
10,ADANIPOWER,0.02,0.9913217623497999,2026-06-13,1.0.0
11,AXISBANK,0.02,0.9906542056074767,2026-06-13,1.0.0
12,HINDUNILVR,0.02,0.9894526034712952,2026-06-13,1.0.0
13,SUNPHARMA,0.02,0.9883845126835782,2026-06-13,1.0.0
14,M&M,0.02,0.9877169559412551,2026-06-13,1.0.0
15,ADANIENT,0.02,0.9877169559412551,2026-06-13,1.0.0
16,KOTAKBANK,0.02,0.9869158878504674,2026-06-13,1.0.0
17,MARUTI,0.02,0.9863818424566089,2026-06-13,1.0.0
18,ITC,0.02,0.9846461949265688,2026-06-13,1.0.0
19,COALINDIA,0.02,0.9823765020026703,2026-06-13,1.0.0
20,ADANIPORTS,0.02,0.9817089452603472,2026-06-13,1.0.0
21,NTPC,0.02,0.9813084112149534,2026-06-13,1.0.0
22,ULTRACEMCO,0.02,0.9806408544726303,2026-06-13,1.0.0
23,TITAN,0.02,0.9803738317757009,2026-06-13,1.0.0
24,BEL,0.02,0.9802403204272364,2026-06-13,1.0.0
25,ONGC,0.02,0.9798397863818425,2026-06-13,1.0.0
26,LICI,0.02,0.9798397863818425,2026-06-13,1.0.0
27,HAL,0.02,0.9785046728971963,2026-06-13,1.0.0
28,TATASTEEL,0.02,0.9779706275033379,2026-06-13,1.0.0
29,HCLTECH,0.02,0.9774365821094795,2026-06-13,1.0.0
30,ADANIGREEN,0.02,0.976502002670227,2026-06-13,1.0.0
31,HINDALCO,0.02,0.9758344459279039,2026-06-13,1.0.0
32,ETERNAL,0.02,0.9755674232309747,2026-06-13,1.0.0
33,BAJAJ-AUTO,0.02,0.9754339118825102,2026-06-13,1.0.0
34,POWERGRID,0.02,0.9742323097463286,2026-06-13,1.0.0
35,WIPRO,0.02,0.9734312416555407,2026-06-13,1.0.0
36,SHRIRAMFIN,0.02,0.9730307076101469,2026-06-13,1.0.0
37,BSE,0.02,0.9726301735647531,2026-06-13,1.0.0
38,NESTLEIND,0.02,0.9722296395193593,2026-06-13,1.0.0
39,ASIANPAINT,0.02,0.97196261682243,2026-06-13,1.0.0
40,ADANIENSOL,0.02,0.9702269692923898,2026-06-13,1.0.0
41,INDIGO,0.02,0.9692923898531375,2026-06-13,1.0.0
42,JSWSTEEL,0.02,0.969158878504673,2026-06-13,1.0.0
43,EICHERMOT,0.02,0.9678237650200268,2026-06-13,1.0.0
44,POWERINDIA,0.02,0.9662216288384513,2026-06-13,1.0.0
45,HINDZINC,0.02,0.9659546061415221,2026-06-13,1.0.0
46,HYUNDAI,0.02,0.9656875834445928,2026-06-13,1.0.0
47,GRASIM,0.02,0.9655540720961282,2026-06-13,1.0.0
48,TVSMOTOR,0.02,0.9635514018691589,2026-06-13,1.0.0
49,VBL,0.02,0.9630173564753004,2026-06-13,1.0.0
50,DIVISLAB,0.02,0.9611481975967957,2026-06-13,1.0.0
