Symbol,Current_Weight,Target_Weight,Trade_Weight,Abs_Trade,Trade_Action,Position_Type
SHAIVAL.NS,0.0,0.043787990913469264,0.043787990913469264,0.043787990913469264,BUY,NEW
JAKHARIA.NS,0.0,0.04084934432194114,0.04084934432194114,0.04084934432194114,BUY,NEW
PGINVIT.NS,0.0,0.0316552215999242,0.0316552215999242,0.0316552215999242,BUY,NEW
LAURUSLABS.NS,0.0,0.030849735711886737,0.030849735711886737,0.030849735711886737,BUY,NEW
AHLWEST.NS,0.0,0.030242174796337704,0.030242174796337704,0.030242174796337704,BUY,NEW
MANAV.NS,0.0,0.027837442130595542,0.027837442130595542,0.027837442130595542,BUY,NEW
FEDERALBNK.NS,0.0,0.027262710210483283,0.027262710210483283,0.027262710210483283,BUY,NEW
ASCOM.NS,0.0,0.026506736315563655,0.026506736315563655,0.026506736315563655,BUY,NEW
STYLAMIND.NS,0.0,0.024416076606165352,0.024416076606165352,0.024416076606165352,BUY,NEW
VEDL.NS,0.0,0.02427535362572585,0.02427535362572585,0.02427535362572585,BUY,NEW
CUMMINSIND.NS,0.0,0.024193594637090348,0.024193594637090348,0.024193594637090348,BUY,NEW
PARIN.NS,0.0,0.02327458676483244,0.02327458676483244,0.02327458676483244,BUY,NEW
WHEELS.NS,0.0,0.022631658854199422,0.022631658854199422,0.022631658854199422,BUY,NEW
GESHIP.NS,0.0,0.02130655503838885,0.02130655503838885,0.02130655503838885,BUY,NEW
TORNTPHARM.NS,0.0,0.020769649113018773,0.020769649113018773,0.020769649113018773,BUY,NEW
RELIABLE.NS,0.0,0.020509905149123184,0.020509905149123184,0.020509905149123184,BUY,NEW
MINDPOOL.NS,0.0,0.02035989116997513,0.02035989116997513,0.02035989116997513,BUY,NEW
MAFANG.NS,0.0,0.020322530175168305,0.020322530175168305,0.020322530175168305,BUY,NEW
MCX.NS,0.0,0.02019639419270121,0.02019639419270121,0.02019639419270121,BUY,NEW
NAVINFLUOR.NS,0.0,0.020102600205738574,0.020102600205738574,0.020102600205738574,BUY,NEW
ABCAPITAL.NS,0.0,0.01963020627140133,0.01963020627140133,0.01963020627140133,BUY,NEW
ACCORD.NS,0.0,0.019432976298816296,0.019432976298816296,0.019432976298816296,BUY,NEW
EICHERMOT.NS,0.0,0.01881896438416395,0.01881896438416395,0.01881896438416395,BUY,NEW
MAHICKRA.NS,0.0,0.018778820389743968,0.018778820389743968,0.018778820389743968,BUY,NEW
SBIN.NS,0.0,0.018583431416903034,0.018583431416903034,0.018583431416903034,BUY,NEW
VENUSREM.NS,0.0,0.018331825451876265,0.018331825451876265,0.018331825451876265,BUY,NEW
BAJAJCON.NS,0.0,0.018208387469034144,0.018208387469034144,0.018208387469034144,BUY,NEW
CRAFTSMAN.NS,0.0,0.017990962499256215,0.017990962499256215,0.017990962499256215,BUY,NEW
ADANIPOWER.NS,0.0,0.01776368253084813,0.01776368253084813,0.01776368253084813,BUY,NEW
SHIVAUM.NS,0.0,0.01727650959856517,0.01727650959856517,0.01727650959856517,BUY,NEW
SEAMECLTD.NS,0.0,0.016285257736349174,0.016285257736349174,0.016285257736349174,BUY,NEW
LUMAXIND.NS,0.0,0.016273514737981453,0.016273514737981453,0.016273514737981453,BUY,NEW
KIRLOSENG.NS,0.0,0.01605031576900611,0.01605031576900611,0.01605031576900611,BUY,NEW
KINGFA.NS,0.0,0.01591245078816934,0.01591245078816934,0.01591245078816934,BUY,NEW
NAM-INDIA.NS,0.0,0.01547222684936047,0.01547222684936047,0.01547222684936047,BUY,NEW
BAFNAPH.NS,0.0,0.015260752878755352,0.015260752878755352,0.015260752878755352,BUY,NEW
WINSOME.NS,0.0,0.014943676922828908,0.014943676922828908,0.014943676922828908,BUY,NEW
JSWSTEEL.NS,0.0,0.014865044933758753,0.014865044933758753,0.014865044933758753,BUY,NEW
SHRIRAMFIN.NS,0.0,0.014513514982621418,0.014513514982621418,0.014513514982621418,BUY,NEW
THANGAMAYL.NS,0.0,0.014432282993912663,0.014432282993912663,0.014432282993912663,BUY,NEW
KARURVYSYA.NS,0.0,0.014385082000473602,0.014385082000473602,0.014385082000473602,BUY,NEW
GVPIL.NS,0.0,0.014239664020686701,0.014239664020686701,0.014239664020686701,BUY,NEW
ASTERDM.NS,0.0,0.014201565025982462,0.014201565025982462,0.014201565025982462,BUY,NEW
TFCILTD.NS,0.0,0.014150988033012665,0.014150988033012665,0.014150988033012665,BUY,NEW
GABRIEL.NS,0.0,0.01405624804618152,0.01405624804618152,0.01405624804618152,BUY,NEW
GLENMARK.NS,0.0,0.013991085055239176,0.013991085055239176,0.013991085055239176,BUY,NEW
MTARTECH.NS,0.0,0.013915325065769816,0.013915325065769816,0.013915325065769816,BUY,NEW
EASTSILK.NS,0.0,0.013767645086297332,0.013767645086297332,0.013767645086297332,BUY,NEW
KAPSTON.NS,0.0,0.013745836089328785,0.013745836089328785,0.013745836089328785,BUY,NEW
POWERINDIA.NS,0.0,0.013371605141346887,0.013371605141346887,0.013371605141346887,BUY,NEW
